"Overall Expenditures, 2013-14"
"State of Connecticut"

"District","Type","Total","State % of Total"
"State of Connecticut","Instructional Staff and Services",4726502463,56.4
,="Instructional Supplies and Equipment",172804291,2.1
,="Instruction and Educational Media Services",257830345,3.1
,="Student Support Services",516236716,6.2
,="Administration and Support Services",876169042,10.5
,="Plant Operation and Maintenance",814075841,9.7
,="Transportation",463662634,5.5
,="Students Tuitioned Out",455424539,5.4
,="Other",96425621,1.2
,="Total Expenditures",8379131492,100.0

