"Overall Expenditures, 2007-08"
"State of Connecticut"

"District","Type","Total","State % of Total"
"State of Connecticut","Instructional Staff and Services",4125612554,56.8
,="Instructional Supplies and Equipment",148980716,2.1
,="Instruction and Educational Media Services",246263445,3.4
,="Student Support Services",442077817,6.1
,="Administration and Support Services",750181870,10.3
,="Plant Operation and Maintenance",754107370,10.4
,="Transportation",385456282,5.3
,="Students Tuitioned Out",329514551,4.5
,="Other",83044930,1.1
,="Total Expenditures",7265239535,100.0

