"Overall Expenditures, 2011-12"
"State of Connecticut"

"District","Type","Total","State % of Total"
"State of Connecticut","Instructional Staff and Services",4535119329,57.0
,="Instructional Supplies and Equipment",134201103,1.7
,="Instruction and Educational Media Services",244975686,3.1
,="Student Support Services",501300389,6.3
,="Administration and Support Services",819619964,10.3
,="Plant Operation and Maintenance",770940245,9.7
,="Transportation",443686013,5.6
,="Students Tuitioned Out",414896921,5.2
,="Other",89886898,1.1
,="Total Expenditures",7954626548,100.0

