"Overall Expenditures, 2008-09"
"State of Connecticut"

"District","Type","Total","State % of Total"
"State of Connecticut","Instructional Staff and Services",4257122274,56.4
,="Instructional Supplies and Equipment",151717937,2.0
,="Instruction and Educational Media Services",247824613,3.3
,="Student Support Services",466955263,6.2
,="Administration and Support Services",777553714,10.3
,="Plant Operation and Maintenance",795191862,10.5
,="Transportation",412228496,5.5
,="Students Tuitioned Out",354903141,4.7
,="Other",88266255,1.2
,="Total Expenditures",7551763555,100.0

