"Overall Expenditures, 2009-10"
"State of Connecticut"

"District","Type","Total","State % of Total"
"State of Connecticut","Instructional Staff and Services",4446473814,57.4
,="Instructional Supplies and Equipment",161869258,2.1
,="Instruction and Educational Media Services",249983691,3.2
,="Student Support Services",470574036,6.1
,="Administration and Support Services",787508007,10.2
,="Plant Operation and Maintenance",761125580,9.8
,="Transportation",407576032,5.3
,="Students Tuitioned Out",374669964,4.8
,="Other",86030562,1.1
,="Total Expenditures",7745810944,100.0

