"Overall Expenditures, 2008-09"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
"Achievement First Hartford Academy Inc. District",1086600,461430,66297,258807,1372153,12617,339450,N/A,3879,3601233
="Amistad Academy District",3986010,484620,226701,899585,2298042,530531,599300,N/A,389051,9413840
="Andover School District",2400553,92161,90215,162843,563049,373350,230308,72469,0,3984948
="Ansonia School District",16993759,885453,661651,1349849,3471572,2625628,1284184,1935880,913368,30121344
="Ashford School District",4909398,217462,29384,125280,701327,530416,655938,365356,33783,7568344
="Avon School District",24202787,782975,965182,4116569,3489311,4540271,1787044,1592740,493538,41970417
="Barkhamsted School District",2347376,118058,124972,47793,388651,379916,274037,31251,2395,3714449
="Berlin School District",21429035,1043694,1002603,3636015,4509943,5372753,1970407,1150993,807791,40923234
="Bethany School District",3823142,140274,330886,230098,707993,816670,344373,155217,0,6548653
="Bethel School District",22671050,569552,2755793,2881692,4211860,4112221,2308906,1505469,450437,41466980
="Bloomfield School District",19863565,1651014,691627,3135167,6274516,5485412,1915605,2491099,540939,42048944
="Bolton School District",7043071,194117,546867,839517,1414811,1149674,784710,522656,178680,12674103
="Bozrah School District",1990028,50435,39340,147602,559299,293603,327025,509318,6949,3923599
="Branford School District",26719609,1979030,2179966,2850140,4253335,4026866,2772314,2887691,861705,48530656
="Bridgeport Achievement First District",716210,143040,49407,120700,737133,104742,0,N/A,102345,1973577
="Bridgeport School District",164340625,6137863,5168440,16487572,23032749,28227031,13611730,17994593,1779282,276779885
="Bristol School District",64684295,1504705,4970974,3909079,9402065,10304316,5608543,4836968,1988638,107209583
="Brookfield School District",18491392,507725,1031888,2865008,5871620,2845915,1984414,1419978,622297,35640237
="Brooklyn School District",6746326,218890,181725,816493,891028,1129349,1135639,603583,13661,11736694
="Canaan School District",1223599,52380,47237,108162,269698,232070,139753,81756,17479,2172134
="Canterbury School District",4556188,90783,62441,372239,752042,1130112,810723,717940,18850,8511318
="Canton School District",11866973,476782,385300,1605234,3092811,2849086,1324935,908213,64496,22573830
="Chaplin School District",1966792,84523,134180,314117,350688,278581,191568,4692,5536,3330677
="Charter School for Young Children on Asylum Hill District",978246,35408,11727,88023,349237,202507,0,N/A,11267,1676415
="Cheshire School District",35102354,1247755,2343786,3822860,5548232,6124663,3359788,1580044,987426,60116908
="Chester School District",2429880,60055,40747,607270,623188,404936,147852,26169,0,4340097
