"Overall Expenditures, 2009-10"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
"Achievement First Hartford Academy Inc. District",2088136,361795,107895,407266,1956423,16115,0,N/A,21,4937651
="Amistad Academy District",4545242,436583,313457,1037499,2617137,591456,0,N/A,426015,9967389
="Andover School District",2551179,97429,89868,169517,569103,396214,177353,106075,0,4156738
="Ansonia School District",16976981,1209931,853519,1059269,3604880,2692973,1510807,2174046,873747,30956153
="Ashford School District",5037292,211569,16831,198986,589562,509884,603349,270555,13354,7451382
="Avon School District",25327785,792888,1087124,4401635,3417538,4442122,1973430,1657021,760836,43860379
="Barkhamsted School District",2430383,58021,154214,50227,389855,373452,285318,94167,0,3835637
="Berlin School District",22587298,925502,953730,3774240,4251703,4925751,2047588,1462138,823639,41751589
="Bethany School District",4057761,161351,290201,164285,701284,645372,340971,215419,0,6576644
="Bethel School District",23674256,538149,2834542,2793183,3861715,3821008,2175118,1562600,461620,41722191
="Bloomfield School District",21948698,1171669,792193,3319291,6145800,5275376,1816486,2226574,577945,43274032
="Bolton School District",7422653,192425,517285,932441,1442489,1067187,669336,636490,205078,13085384
="Bozrah School District",2134872,36766,40729,164388,464861,392352,328764,507727,0,4070459
="Branford School District",28648973,1974426,1894058,2982501,4140502,4002988,2808980,2768893,906890,50128211
="Bridgeport Achievement First District",1084890,168939,79322,182495,1159969,178590,0,N/A,149001,3003206
="Bridgeport School District",168495033,4064231,5165920,17502683,23791160,25783210,14848610,19945543,1639187,281235577
="Bristol School District",65351558,2255775,4850377,4224159,10387146,10684340,5239814,5060913,1880871,109934953
="Brookfield School District",20493469,506165,1709049,2343962,4853767,2612694,1829413,1222628,618274,36189421
="Brooklyn School District",6958596,174241,180892,799979,928883,1054547,1091476,578668,30885,11798167
="Canaan School District",1238184,43450,35832,106124,256635,183282,124515,61177,13789,2062988
="Canterbury School District",4693805,175025,49865,391450,793815,1149580,947058,607902,23344,8831844
="Canton School District",11900635,595595,245478,2469624,2930496,2554592,1296164,1043281,618179,23654044
="Chaplin School District",1959843,114180,128538,337537,362951,272728,198506,0,5297,3379580
