"Primary Disability (K-12), 2015-16"
"All Districts, Learning Disability"

"",,"2015-16",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",121,4.8,26.9
"Ashford School District","=""0030011""",11,3.0,25.0
"Avon School District","=""0040011""",84,2.5,29.0
"Barkhamsted School District","=""0050011""",13,5.0,37.1
"Berlin School District","=""0070011""",108,3.7,32.2
"Bethany School District","=""0080011""",13,3.5,27.1
"Bethel School District","=""0090011""",119,4.1,37.5
"Bloomfield School District","=""0110011""",118,5.5,37.5
"Bolton School District","=""0120011""",25,3.2,28.7
"Bozrah School District","=""0130011""",12,4.1,36.4
"Branford School District","=""0140011""",115,3.8,27.5
"Bridgeport School District","=""0150011""",1291,5.7,38.3
"Bristol School District","=""0170011""",569,7.0,41.2
"Brookfield School District","=""0180011""",135,5.0,40.3
"Brooklyn School District","=""0190011""",51,4.4,39.8
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",14,2.2,20.3
"Canton School District","=""0230011""",63,3.8,34.8
"Chaplin School District","=""0240011""",10,5.8,37.0
"Cheshire School District","=""0250011""",130,3.0,26.9
"Chester School District","=""0260011""",15,7.1,44.1
"Clinton School District","=""0270011""",63,3.5,30.9
"Colchester School District","=""0280011""",106,4.1,28.9
"Colebrook School District","=""0290011""",9,10.0,47.4
"Columbia School District","=""0300011""",28,4.1,30.8
"Connecticut Technical High School System","=""9000016""",584,5.5,57.4
"Cornwall School District","=""0310011""",7,7.7,53.8
"Coventry School District","=""0320011""",88,5.2,42.3
"Cromwell School District","=""0330011""",63,3.1,28.4
"Danbury School District","=""0340011""",576,5.3,44.2
"Darien School District","=""0350011""",185,3.8,31.5
"Deep River School District","=""0360011""",17,5.6,39.5
"Derby School District","=""0370011""",54,3.6,26.1
"East Granby School District","=""0400011""",40,4.5,40.0
"East Haddam School District","=""0410011""",41,3.7,25.3
"East Hampton School District","=""0420011""",46,2.4,28.9
"East Hartford School District","=""0430011""",326,4.2,28.3
"East Haven School District","=""0440011""",144,4.3,32.8
"East Lyme School District","=""0450011""",135,5.3,41.3
"East Windsor School District","=""0470011""",71,5.9,37.2
"Eastford School District","=""0390011""",6,3.4,24.0
"Easton School District","=""0460011""",29,3.2,34.1
"Ellington School District","=""0480011""",135,5.0,45.6
"Enfield School District","=""0490011""",270,5.0,34.7
"Essex School District","=""0500011""",13,3.5,24.1
"Fairfield School District","=""0510011""",344,3.4,32.3
"Farmington School District","=""0520011""",128,3.2,26.8
"Franklin School District","=""0530011""",11,4.5,35.5
"Glastonbury School District","=""0540011""",200,3.2,31.3
"Granby School District","=""0560011""",65,3.4,30.2
"Greenwich School District","=""0570011""",383,4.5,42.9
"Griswold School District","=""0580011""",68,3.9,28.1
"Groton School District","=""0590011""",222,4.7,30.0
"Guilford School District","=""0600011""",118,3.5,29.7
"Hamden School District","=""0620011""",307,4.8,30.0
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",1277,6.3,34.2
"Hartland School District","=""0650011""",15,5.6,42.9
"Hebron School District","=""0670011""",27,3.8,30.7
"Kent School District","=""0680011""",13,5.8,52.0
"Killingly School District","=""0690011""",91,4.0,23.2
"Lebanon School District","=""0710011""",61,6.1,43.0
"Ledyard School District","=""0720011""",101,4.3,28.1
"Lisbon School District","=""0730011""",15,2.7,23.4
"Litchfield School District","=""0740011""",45,4.7,39.8
"Madison School District","=""0760011""",136,4.5,38.4
"Manchester School District","=""0770011""",257,3.6,29.4
"Mansfield School District","=""0780011""",54,4.6,39.4
"Marlborough School District","=""0790011""",18,3.3,42.9
"Meriden School District","=""0800011""",537,6.1,35.6
"Middletown School District","=""0830011""",181,3.7,28.1
"Milford School District","=""0840011""",144,2.3,19.2
"Monroe School District","=""0850011""",124,3.9,35.1
"Montville School District","=""0860011""",104,4.4,31.5
"Naugatuck School District","=""0880011""",271,6.2,40.1
"New Britain School District","=""0890011""",604,5.4,34.4
"New Canaan School District","=""0900011""",129,3.1,32.1
"New Fairfield School District","=""0910011""",71,2.9,30.9
"New Hartford School District","=""0920011""",23,4.8,41.1
"New Haven School District","=""0930011""",1051,5.3,37.9
"New London School District","=""0950011""",210,6.0,31.8
"New Milford School District","=""0960011""",172,4.2,30.9
"Newington School District","=""0940011""",233,5.6,45.2
"Newtown School District","=""0970011""",126,2.7,26.6
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",104,5.4,37.4
"North Canaan School District","=""1000011""",12,4.8,26.7
"North Haven School District","=""1010011""",129,4.0,36.0
"North Stonington School District","=""1020011""",18,2.5,27.3
"Norwalk School District","=""1030011""",526,4.6,37.0
"Norwich School District","=""1040011""",255,4.7,29.2
"Old Saybrook School District","=""1060011""",38,2.9,21.6
"Orange School District","=""1070011""",32,2.8,33.7
"Oxford School District","=""1080011""",71,3.5,29.0
"Plainfield School District","=""1090011""",91,4.2,30.2
"Plainville School District","=""1100011""",67,2.8,22.0
"Plymouth School District","=""1110011""",54,3.3,22.9
"Pomfret School District","=""1120011""",18,3.1,27.7
"Portland School District","=""1130011""",65,4.7,46.4
"Preston School District","=""1140011""",14,2.3,14.3
"Putnam School District","=""1160011""",71,6.3,37.4
"Redding School District","=""1170011""",30,3.3,25.9
"Regional School District 01","=""2010012""",38,9.0,54.3
"Regional School District 04","=""2040012""",49,5.1,34.3
"Regional School District 05","=""2050012""",87,3.8,31.4
"Regional School District 06","=""2060012""",50,6.4,42.4
"Regional School District 07","=""2070012""",48,4.7,40.0
"Regional School District 08","=""2080012""",77,4.5,38.1
"Regional School District 09","=""2090012""",46,4.4,35.4
"Regional School District 10","=""2100012""",90,3.7,36.4
"Regional School District 11","=""2110012""",15,5.3,24.6
"Regional School District 12","=""2120012""",42,6.3,37.5
"Regional School District 13","=""2130012""",88,5.1,35.1
"Regional School District 14","=""2140012""",70,4.7,42.4
"Regional School District 15","=""2150012""",186,4.9,37.1
"Regional School District 16","=""2160012""",91,4.1,28.8
"Regional School District 17","=""2170012""",136,6.4,39.3
"Regional School District 18","=""2180012""",58,4.4,36.7
"Regional School District 19","=""2190012""",59,6.0,34.1
"Ridgefield School District","=""1180011""",169,3.4,37.5
"Rocky Hill School District","=""1190011""",83,3.0,31.7
"Salem School District","=""1210011""",34,5.5,36.2
"Salisbury School District","=""1220011""",9,3.5,31.0
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",127,5.6,47.4
"Sharon School District","=""1250011""",16,11.0,66.7
"Shelton School District","=""1260011""",296,5.8,45.7
"Sherman School District","=""1270011""",23,4.8,37.1
"Simsbury School District","=""1280011""",190,4.5,34.6
"Somers School District","=""1290011""",48,3.3,29.4
"South Windsor School District","=""1320011""",162,3.8,30.6
"Southington School District","=""1310011""",231,3.5,29.6
"Sprague School District","=""1330011""",16,3.5,23.9
"Stafford School District","=""1340011""",65,4.3,34.2
"Stamford School District","=""1350011""",753,4.8,41.7
"Sterling School District","=""1360011""",17,3.0,21.8
"Stonington School District","=""1370011""",134,6.1,40.5
"Stratford School District","=""1380011""",247,3.5,29.4
"Suffield School District","=""1390011""",80,3.6,32.4
"Thomaston School District","=""1400011""",54,5.4,37.8
"Thompson School District","=""1410011""",34,3.3,27.4
"Tolland School District","=""1420011""",124,4.7,39.9
"Torrington School District","=""1430011""",302,6.9,37.1
"Trumbull School District","=""1440011""",224,3.5,33.0
"Unified School District #1","=""3360015""",57,14.6,34.1
"Unified School District #2","=""3470015""",11,6.4,8.1
"Union School District","=""1450011""",11,10.5,64.7
"Vernon School District","=""1460011""",162,4.8,31.7
"Voluntown School District","=""1470011""",32,8.4,49.2
"Wallingford School District","=""1480011""",214,3.7,30.8
"Waterbury School District","=""1510011""",1223,6.9,37.0
"Waterford School District","=""1520011""",113,4.2,29.1
"Watertown School District","=""1530011""",100,3.6,28.5
"West Hartford School District","=""1550011""",307,3.1,26.1
"West Haven School District","=""1560011""",336,4.9,33.0
"Westbrook School District","=""1540011""",36,4.8,38.3
"Weston School District","=""1570011""",72,3.0,34.4
"Westport School District","=""1580011""",236,4.2,40.8
"Wethersfield School District","=""1590011""",150,3.9,29.0
"Willington School District","=""1600011""",24,5.7,34.3
"Wilton School District","=""1610011""",231,5.6,42.9
"Winchester School District","=""1620011""",71,6.0,28.5
"Windham School District","=""1630011""",161,5.1,30.6
"Windsor Locks School District","=""1650011""",101,6.0,42.3
