"Primary Disability (K-12), 2010-11"
"All Districts, All Disabilities"

"",,"2010-11",
"District","District Code","Count","Overall Prevalence Rate (%)"
"Andover School District","=""0010011""",22,7.3
"Ansonia School District","=""0020011""",308,11.1
"Ashford School District","=""0030011""",53,12.2
"Avon School District","=""0040011""",366,10.2
"Barkhamsted School District","=""0050011""",35,10.1
"Berlin School District","=""0070011""",308,9.8
"Bethany School District","=""0080011""",63,12.5
"Bethel School District","=""0090011""",314,10.8
"Bloomfield School District","=""0110011""",217,9.2
"Bolton School District","=""0120011""",81,9.6
"Bozrah School District","=""0130011""",49,14.0
"Branford School District","=""0140011""",463,13.4
"Bridgeport School District","=""0150011""",2664,12.4
"Bristol School District","=""0170011""",1182,14.0
"Brookfield School District","=""0180011""",234,8.1
"Brooklyn School District","=""0190011""",135,11.1
"Canaan School District","=""0210011""",16,17.6
"Canterbury School District","=""0220011""",73,10.5
"Canton School District","=""0230011""",153,8.6
"Chaplin School District","=""0240011""",16,10.4
"Cheshire School District","=""0250011""",460,9.7
"Chester School District","=""0260011""",32,11.6
"Clinton School District","=""0270011""",248,12.3
"Colchester School District","=""0280011""",366,11.9
"Colebrook School District","=""0290011""",20,17.4
"Columbia School District","=""0300011""",60,7.9
"Connecticut Technical High School System","=""9000016""",741,7.0
"Cornwall School District","=""0310011""",20,16.8
"Coventry School District","=""0320011""",209,11.0
"Cromwell School District","=""0330011""",195,9.6
"Danbury School District","=""0340011""",1116,11.1
"Darien School District","=""0350011""",522,10.8
"Deep River School District","=""0360011""",35,9.8
"Department of Mental Health and Addiction Services","=""3370015""",6,"*"
"Derby School District","=""0370011""",153,9.9
"East Granby School District","=""0400011""",90,9.9
"East Haddam School District","=""0410011""",155,11.5
"East Hampton School District","=""0420011""",146,7.4
"East Hartford School District","=""0430011""",1058,13.7
"East Haven School District","=""0440011""",435,11.9
"East Lyme School District","=""0450011""",339,12.0
"East Windsor School District","=""0470011""",167,12.3
"Eastford School District","=""0390011""",31,12.8
"Easton School District","=""0460011""",88,8.2
"Ellington School District","=""0480011""",265,9.7
"Enfield School District","=""0490011""",779,13.1
"Essex School District","=""0500011""",41,7.5
"Fairfield School District","=""0510011""",1030,10.2
"Farmington School District","=""0520011""",419,10.2
"Franklin School District","=""0530011""",32,10.9
"Glastonbury School District","=""0540011""",674,9.7
"Granby School District","=""0560011""",176,8.0
"Greenwich School District","=""0570011""",903,10.4
"Griswold School District","=""0580011""",226,12.4
"Groton School District","=""0590011""",628,12.8
"Guilford School District","=""0600011""",358,9.7
"Hamden School District","=""0620011""",883,12.7
"Hampton School District","=""0630011""",18,15.5
"Hartford School District","=""0640011""",3014,14.8
"Hartland School District","=""0650011""",29,9.3
"Hebron School District","=""0670011""",102,9.5
"Kent School District","=""0680011""",41,15.0
"Killingly School District","=""0690011""",351,13.9
"Lebanon School District","=""0710011""",141,11.4
"Ledyard School District","=""0720011""",322,12.9
"Lisbon School District","=""0730011""",81,11.6
"Litchfield School District","=""0740011""",118,10.0
"Madison School District","=""0760011""",363,10.1
"Manchester School District","=""0770011""",951,13.0
"Mansfield School District","=""0780011""",147,11.9
"Marlborough School District","=""0790011""",36,5.5
"Meriden School District","=""0800011""",1198,13.4
"Middletown School District","=""0830011""",602,11.3
"Milford School District","=""0840011""",845,12.1
"Monroe School District","=""0850011""",337,9.0
"Montville School District","=""0860011""",275,10.2
"Naugatuck School District","=""0880011""",532,11.2
"New Britain School District","=""0890011""",1467,13.8
"New Canaan School District","=""0900011""",410,10.0
