"Primary Disability (K-12), Trend"
"All Districts, Emotional Disturbance"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Ansonia School District","=""0020011""",24,0.9,8.1,20,0.8,6.4,31,1.3,9.2,36,1.4,8.7,31,1.2,6.9
"Ashford School District","=""0030011""","*","*","*","*","*","*",0,0,0,"*","*","*","*","*","*"
"Avon School District","=""0040011""",17,0.5,4.6,16,0.5,4.5,17,0.5,4.9,17,0.5,5.4,16,0.5,5.5
"Barkhamsted School District","=""0050011""",0,0,0,0,0,0,0,0,0,"*","*","*","*","*","*"
"Berlin School District","=""0070011""",16,0.5,5.4,16,0.5,5.4,21,0.7,6.9,26,0.9,8.2,24,0.8,7.2
"Bethany School District","=""0080011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",20,0.7,6.4,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""",33,1.5,13.7,26,1.2,11.6,21,1.0,8.9,17,0.8,6.1,19,0.9,6.0
"Bolton School District","=""0120011""",13,1.6,14.9,7,0.9,8.1,8,1.0,9.4,8,1.0,8.7,6,0.8,6.9
"Bozrah School District","=""0130011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",49,1.5,10.8,58,1.8,12.9,42,1.3,10.0,46,1.5,11.2,41,1.4,9.8
"Bridgeport School District","=""0150011""",257,1.2,9.4,254,1.2,9.1,240,1.1,8.5,267,1.2,8.4,274,1.2,8.1
"Bristol School District","=""0170011""",116,1.4,9.6,125,1.5,10.1,123,1.5,9.5,128,1.6,9.4,135,1.6,9.8
"Brookfield School District","=""0180011""",21,0.7,8.5,22,0.8,7.5,18,0.6,5.7,18,0.7,5.6,"*","*","*"
"Brooklyn School District","=""0190011""",13,1.1,9.6,15,1.3,10.6,14,1.2,9.9,10,0.9,7.9,12,1.0,9.4
"Canaan School District","=""0210011""","*","*","*",0,0,0,"*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","*","*","*",6,0.9,9.0,"*","*","*",9,1.4,12.7,9,1.4,13.0
"Canton School District","=""0230011""","*","*","*",11,0.6,7.1,12,0.7,7.3,"*","*","*","*","*","*"
"Chaplin School District","=""0240011""",0,0,0,0,0,0,"*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",45,0.9,9.6,41,0.9,8.9,37,0.8,7.9,35,0.8,7.4,37,0.8,7.6
"Chester School District","=""0260011""",0,0,0,"*","*","*","*","*","*",0,0,0,0,0,0
"Clinton School District","=""0270011""",14,0.7,6.6,15,0.8,7.7,15,0.8,7.4,15,0.8,7.4,17,0.9,8.3
"Colchester School District","=""0280011""",40,1.3,11.6,41,1.4,11.9,32,1.2,8.9,34,1.3,9.4,40,1.5,10.9
"Colebrook School District","=""0290011""","*","*","*","*","*","*",0,0,0,0,0,0,0,0,0
"Columbia School District","=""0300011""","*","*","*",8,1.1,11.6,6,0.9,8.7,6,0.9,8.0,11,1.6,12.1
"Connecticut Technical High School System","=""9000016""",34,0.3,4.5,36,0.3,4.5,39,0.4,4.4,45,0.4,4.7,45,0.4,4.4
"Cornwall School District","=""0310011""",0,0,0,0,0,0,"*","*","*",0,0,0,"*","*","*"
"Coventry School District","=""0320011""",39,2.1,19.1,28,1.5,13.3,23,1.3,10.8,21,1.2,10.2,21,1.2,10.1
"Cromwell School District","=""0330011""",10,0.5,4.9,9,0.4,4.5,10,0.5,4.9,18,0.9,8.4,19,0.9,8.6
"Danbury School District","=""0340011""",61,0.6,5.6,60,0.6,5.3,56,0.5,4.7,46,0.4,3.7,48,0.4,3.7
"Darien School District","=""0350011""",10,0.2,1.7,16,0.3,2.7,20,0.4,3.8,13,0.3,2.4,14,0.3,2.4
"Deep River School District","=""0360011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""",14,0.9,8.6,14,0.9,7.4,18,1.1,8.8,15,1.0,7.0,"*","*","*"
"East Granby School District","=""0400011""","*","*","*","*","*","*","*","*","*",6,0.7,6.5,8,0.9,8.0
"East Haddam School District","=""0410011""",9,0.7,5.6,"*","*","*",6,0.5,3.4,"*","*","*","*","*","*"
"East Hampton School District","=""0420011""","*","*","*","*","*","*",6,0.3,3.9,10,0.5,6.4,7,0.4,4.4
"East Hartford School District","=""0430011""",127,1.6,11.6,113,1.5,10.4,110,1.4,9.8,107,1.4,9.7,114,1.5,9.9
"East Haven School District","=""0440011""",24,0.7,5.5,29,0.8,6.6,36,1.1,8.3,36,1.1,8.4,33,1.0,7.5
"East Lyme School District","=""0450011""",22,0.8,6.6,16,0.6,4.9,17,0.6,5.1,15,0.6,4.4,13,0.5,4.0
"East Windsor School District","=""0470011""",20,1.5,12.0,30,2.3,14.8,25,1.9,12.6,22,1.8,10.1,21,1.8,11.0
"Eastford School District","=""0390011""","*","*","*","*","*","*",0,0,0,0,0,0,0,0,0
"Easton School District","=""0460011""","*","*","*","*","*","*","*","*","*","*","*","*",6,0.7,7.1
"Ellington School District","=""0480011""",26,0.9,9.5,28,1.0,9.8,27,1.0,9.1,"*","*","*",25,0.9,8.4
"Enfield School District","=""0490011""",85,1.5,11.3,81,1.4,10.9,71,1.3,9.5,77,1.4,10.1,77,1.4,9.9
"Essex School District","=""0500011""","*","*","*",0,0,0,"*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""",42,0.4,4.0,45,0.4,4.1,44,0.4,4.1,58,0.6,5.3,55,0.5,5.2
"Farmington School District","=""0520011""",32,0.8,7.9,28,0.7,6.4,29,0.7,6.7,39,1.0,8.4,41,1.0,8.6
"Franklin School District","=""0530011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""",57,0.8,9.3,61,0.9,10.1,55,0.8,9.0,48,0.8,7.8,39,0.6,6.1
"Granby School District","=""0560011""",13,0.6,6.9,16,0.8,8.7,19,0.9,9.9,18,0.9,9.0,18,0.9,8.4
"Greenwich School District","=""0570011""",54,0.6,6.3,51,0.6,5.9,53,0.6,6.2,60,0.7,6.8,57,0.7,6.4
"Griswold School District","=""0580011""",28,1.6,12.5,32,1.8,13.4,34,1.9,13.4,26,1.5,10.6,30,1.7,12.4
"Groton School District","=""0590011""",62,1.2,9.1,58,1.2,8.2,82,1.7,11.3,87,1.8,12.0,77,1.6,10.4
"Guilford School District","=""0600011""",42,1.1,11.2,40,1.1,10.9,39,1.1,10.5,36,1.1,9.2,35,1.0,8.8
"Hamden School District","=""0620011""",65,1.0,8.0,64,1.0,7.9,87,1.3,10.0,88,1.4,9.3,93,1.4,9.1
"Hampton School District","=""0630011""","*","*","*",0,0,0,0,0,0,0,0,0,0,0,0
"Hartford School District","=""0640011""",357,1.8,11.3,340,1.7,10.0,350,1.7,10.2,356,1.7,10.0,348,1.7,9.3
"Hartland School District","=""0650011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""","*","*","*",6,0.7,5.7,"*","*","*",6,0.8,5.7,"*","*","*"
"Kent School District","=""0680011""",0,0,0,0,0,0,"*","*","*",0,0,0,0,0,0
"Killingly School District","=""0690011""",35,1.4,9.7,41,1.7,11.2,46,1.9,12.2,54,2.4,13.6,52,2.3,13.3
"Lebanon School District","=""0710011""",6,0.5,4.3,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""",27,1.1,8.6,"*","*","*","*","*","*","*","*","*",35,1.5,9.7
"Lisbon School District","=""0730011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Litchfield School District","=""0740011""","*","*","*","*","*","*","*","*","*","*","*","*",6,0.6,5.3
"Madison School District","=""0760011""",24,0.7,6.9,16,0.5,4.5,17,0.5,4.7,14,0.4,3.8,16,0.5,4.5
"Manchester School District","=""0770011""",130,1.8,13.3,96,1.4,10.2,83,1.2,9.3,63,0.9,7.1,64,0.9,7.3
"Mansfield School District","=""0780011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Marlborough School District","=""0790011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""",158,1.8,12.5,156,1.7,12.0,157,1.8,11.1,187,2.1,12.6,180,2.1,11.9
"Middletown School District","=""0830011""",66,1.3,10.7,68,1.3,11.4,61,1.2,10.1,62,1.2,9.8,70,1.4,10.9
"Milford School District","=""0840011""",89,1.3,10.8,85,1.3,10.2,76,1.2,9.5,74,1.2,9.7,70,1.1,9.3
"Monroe School District","=""0850011""",22,0.6,6.4,22,0.6,6.0,27,0.8,7.5,24,0.7,6.8,19,0.6,5.4
"Montville School District","=""0860011""",28,1.1,10.0,28,1.1,9.8,32,1.3,11.4,32,1.3,11.3,"*","*","*"
"Naugatuck School District","=""0880011""",27,0.6,4.8,30,0.7,5.2,24,0.5,4.0,34,0.8,5.3,35,0.8,5.2
"New Britain School District","=""0890011""",119,1.1,7.8,130,1.2,8.1,121,1.1,7.4,114,1.0,6.8,107,1.0,6.1
"New Canaan School District","=""0900011""","*","*","*","*","*","*",7,0.2,1.9,"*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","*","*","*",11,0.4,4.0,15,0.6,5.8,13,0.5,5.4,8,0.3,3.5
"New Hartford School District","=""0920011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""",234,1.3,10.6,217,1.2,9.3,201,1.1,8.3,238,1.2,9.0,269,1.4,9.7
"New London School District","=""0950011""",60,1.7,10.2,88,2.5,14.1,79,2.3,12.2,85,2.4,12.8,76,2.2,11.5
"New Milford School District","=""0960011""",52,1.1,8.5,64,1.4,10.8,71,1.6,12.2,67,1.6,11.9,47,1.1,8.4
"Newington School District","=""0940011""",32,0.7,6.2,32,0.7,5.9,29,0.7,5.5,33,0.8,6.3,33,0.8,6.4
"Newtown School District","=""0970011""",18,0.3,4.4,19,0.4,4.8,20,0.4,4.9,19,0.4,4.3,38,0.8,8.0
"North Branford School District","=""0990011""",20,0.9,7.6,18,0.8,6.4,25,1.2,8.7,31,1.5,10.7,24,1.2,8.6
