"Primary Disability (K-12), 2014-15"
"All Districts, All Disabilities"

"",,"2014-15",
"District","District Code","Count","Overall Prevalence Rate (%)"
"Andover School District","=""0010011""",15,5.9
"Ansonia School District","=""0020011""",415,16.4
"Ashford School District","=""0030011""",47,12.5
"Avon School District","=""0040011""",313,9.4
"Barkhamsted School District","=""0050011""",37,12.3
"Berlin School District","=""0070011""",316,10.6
"Bethany School District","=""0080011""",55,14.1
"Bethel School District","=""0090011""",322,11.3
"Bloomfield School District","=""0110011""",278,12.8
"Bolton School District","=""0120011""",92,11.6
"Bozrah School District","=""0130011""",33,10.9
"Branford School District","=""0140011""",412,13.3
"Bridgeport School District","=""0150011""",3176,14.1
"Bristol School District","=""0170011""",1360,16.5
"Brookfield School District","=""0180011""",323,11.8
"Brooklyn School District","=""0190011""",127,11.2
"Canaan School District","=""0210011""",9,11.7
"Canterbury School District","=""0220011""",71,11.0
"Canton School District","=""0230011""",174,10.5
"Chaplin School District","=""0240011""",23,14.7
"Cheshire School District","=""0250011""",473,10.5
"Chester School District","=""0260011""",35,15.9
"Clinton School District","=""0270011""",202,10.6
"Colchester School District","=""0280011""",361,13.4
"Colebrook School District","=""0290011""",19,19.8
"Columbia School District","=""0300011""",75,10.8
"Connecticut Technical High School System","=""9000016""",965,8.9
"Cornwall School District","=""0310011""",16,17.6
"Coventry School District","=""0320011""",205,11.9
"Cromwell School District","=""0330011""",214,10.5
"Danbury School District","=""0340011""",1239,11.7
"Darien School District","=""0350011""",553,11.3
"Deep River School District","=""0360011""",48,15.2
"Department of Mental Health and Addiction Services","=""3370015""",7,"*"
"Derby School District","=""0370011""",213,13.8
"East Granby School District","=""0400011""",93,10.2
"East Haddam School District","=""0410011""",170,14.7
"East Hampton School District","=""0420011""",156,8.2
"East Hartford School District","=""0430011""",1107,14.1
"East Haven School District","=""0440011""",427,13.0
"East Lyme School District","=""0450011""",343,13.2
"East Windsor School District","=""0470011""",218,17.5
"Eastford School District","=""0390011""",22,11.8
"Easton School District","=""0460011""",89,9.7
"Ellington School District","=""0480011""",289,10.6
"Enfield School District","=""0490011""",762,14.1
"Essex School District","=""0500011""",59,14.4
"Fairfield School District","=""0510011""",1096,10.8
"Farmington School District","=""0520011""",465,11.6
