"Primary Disability (K-12), 2012-13"
"All Districts, All Disabilities"

"",,"2012-13",
"District","District Code","Count","Overall Prevalence Rate (%)"
"Andover School District","=""0010011""",22,7.6
"Ansonia School District","=""0020011""",312,12.1
"Ashford School District","=""0030011""",50,12.5
"Avon School District","=""0040011""",356,10.3
"Barkhamsted School District","=""0050011""",37,11.2
"Berlin School District","=""0070011""",299,9.8
"Bethany School District","=""0080011""",54,11.7
"Bethel School District","=""0090011""",319,10.9
"Bloomfield School District","=""0110011""",224,10.2
"Bolton School District","=""0120011""",86,10.5
"Bozrah School District","=""0130011""",40,12.0
"Branford School District","=""0140011""",448,13.6
"Bridgeport School District","=""0150011""",2784,12.9
"Bristol School District","=""0170011""",1233,14.9
"Brookfield School District","=""0180011""",292,10.4
"Brooklyn School District","=""0190011""",142,11.9
"Canaan School District","=""0210011""",13,16.9
"Canterbury School District","=""0220011""",67,9.6
"Canton School District","=""0230011""",154,8.7
"Chaplin School District","=""0240011""",16,10.1
"Cheshire School District","=""0250011""",463,10.0
"Chester School District","=""0260011""",43,17.0
"Clinton School District","=""0270011""",196,10.0
"Colchester School District","=""0280011""",345,11.9
"Colebrook School District","=""0290011""",15,14.2
"Columbia School District","=""0300011""",69,9.7
"Connecticut Technical High School System","=""9000016""",797,7.5
"Cornwall School District","=""0310011""",16,15.5
"Coventry School District","=""0320011""",211,11.6
"Cromwell School District","=""0330011""",199,9.8
"Danbury School District","=""0340011""",1122,10.9
"Darien School District","=""0350011""",583,12.0
"Deep River School District","=""0360011""",41,11.8
"Department of Mental Health and Addiction Services","=""3370015""","*","*"
"Derby School District","=""0370011""",188,12.0
"East Granby School District","=""0400011""",91,10.1
"East Haddam School District","=""0410011""",160,12.7
"East Hampton School District","=""0420011""",152,7.8
"East Hartford School District","=""0430011""",1089,14.0
"East Haven School District","=""0440011""",442,12.6
"East Lyme School District","=""0450011""",326,12.1
"East Windsor School District","=""0470011""",203,15.3
"Eastford School District","=""0390011""",28,13.0
"Easton School District","=""0460011""",75,7.5
"Ellington School District","=""0480011""",287,10.4
"Enfield School District","=""0490011""",746,13.3
"Essex School District","=""0500011""",44,9.1
"Fairfield School District","=""0510011""",1103,10.8
"Farmington School District","=""0520011""",438,10.7
"Franklin School District","=""0530011""",33,12.0
"Glastonbury School District","=""0540011""",606,9.0
"Granby School District","=""0560011""",183,8.8
"Greenwich School District","=""0570011""",867,10.0
"Griswold School District","=""0580011""",238,13.3
"Groton School District","=""0590011""",706,14.3
"Guilford School District","=""0600011""",367,10.2
"Hamden School District","=""0620011""",807,12.0
"Hampton School District","=""0630011""",18,18.4
"Hartford School District","=""0640011""",3388,16.6
"Hartland School District","=""0650011""",29,9.9
"Hebron School District","=""0670011""",106,11.5
"Kent School District","=""0680011""",28,11.0
"Killingly School District","=""0690011""",367,14.9
"Lebanon School District","=""0710011""",151,13.3
"Ledyard School District","=""0720011""",334,13.5
"Lisbon School District","=""0730011""",81,13.1
"Litchfield School District","=""0740011""",120,11.5
"Madison School District","=""0760011""",352,10.5
"Manchester School District","=""0770011""",940,13.3
"Mansfield School District","=""0780011""",141,11.5
"Marlborough School District","=""0790011""",58,9.2
"Meriden School District","=""0800011""",1295,14.4
"Middletown School District","=""0830011""",594,11.5
"Milford School District","=""0840011""",831,12.4
"Monroe School District","=""0850011""",365,10.4
"Montville School District","=""0860011""",287,11.5
"Naugatuck School District","=""0880011""",582,12.7
"New Britain School District","=""0890011""",1608,14.8
"New Canaan School District","=""0900011""",384,9.1
"New Fairfield School District","=""0910011""",274,10.1
"New Hartford School District","=""0920011""",57,10.0
"New Haven School District","=""0930011""",2342,12.6
"New London School District","=""0950011""",623,18.0
"New Milford School District","=""0960011""",592,13.2
"Newington School District","=""0940011""",540,12.2
"Newtown School District","=""0970011""",396,7.7
"Norfolk School District","=""0980011""",18,16.5
"North Branford School District","=""0990011""",280,13.1
"North Canaan School District","=""1000011""",43,14.3
"North Haven School District","=""1010011""",353,9.9
"North Stonington School District","=""1020011""",68,9.2
"Norwalk School District","=""1030011""",1187,10.5
"Norwich School District","=""1040011""",891,16.2
"Old Saybrook School District","=""1060011""",205,14.2
"Orange School District","=""1070011""",112,9.1
"Oxford School District","=""1080011""",154,7.2
"Plainfield School District","=""1090011""",293,12.4
"Plainville School District","=""1100011""",312,13.0
"Plymouth School District","=""1110011""",247,14.2
"Pomfret School District","=""1120011""",67,10.3
"Portland School District","=""1130011""",124,8.8
"Preston School District","=""1140011""",82,13.3
"Putnam School District","=""1160011""",174,14.8
"Redding School District","=""1170011""",134,12.4
"Regional School District 01","=""2010012""",58,13.6
"Regional School District 04","=""2040012""",139,13.7
"Regional School District 05","=""2050012""",278,11.6
"Regional School District 06","=""2060012""",111,12.6
"Regional School District 07","=""2070012""",113,10.6
"Regional School District 08","=""2080012""",227,12.1
"Regional School District 09","=""2090012""",123,11.8
"Regional School District 10","=""2100012""",262,9.9
"Regional School District 11","=""2110012""",69,20.9
"Regional School District 12","=""2120012""",126,15.6
"Regional School District 13","=""2130012""",278,14.2
"Regional School District 14","=""2140012""",200,11.8
"Regional School District 15","=""2150012""",496,12.1
"Regional School District 16","=""2160012""",266,11.2
"Regional School District 17","=""2170012""",311,13.7
"Regional School District 18","=""2180012""",158,11.1
"Regional School District 19","=""2190012""",174,16.0
"Ridgefield School District","=""1180011""",446,8.5
"Rocky Hill School District","=""1190011""",217,8.4
"Salem School District","=""1210011""",62,8.9
"Salisbury School District","=""1220011""",35,12.0
"Scotland School District","=""1230011""",21,19.1
"Seymour School District","=""1240011""",243,10.3
"Sharon School District","=""1250011""",29,16.7
"Shelton School District","=""1260011""",569,11.0
"Sherman School District","=""1270011""",69,12.6
"Simsbury School District","=""1280011""",534,11.6
"Somers School District","=""1290011""",165,10.5
"South Windsor School District","=""1320011""",539,12.3
"Southington School District","=""1310011""",774,11.6
"Sprague School District","=""1330011""",40,9.0
"Stafford School District","=""1340011""",183,11.3
"Stamford School District","=""1350011""",1532,9.8
"Sterling School District","=""1360011""",91,14.6
"Stonington School District","=""1370011""",305,12.7
"Stratford School District","=""1380011""",722,9.9
"Suffield School District","=""1390011""",247,10.4
"Thomaston School District","=""1400011""",143,12.6
"Thompson School District","=""1410011""",129,10.9
"Tolland School District","=""1420011""",315,10.9
"Torrington School District","=""1430011""",731,16.1
"Trumbull School District","=""1440011""",600,9.0
"Unified School District #1","=""3360015""",244,38.1
"Unified School District #2","=""3470015""",175,77.1
"Union School District","=""1450011""",8,8.0
"Vernon School District","=""1460011""",447,12.6
"Voluntown School District","=""1470011""",40,10.3
"Wallingford School District","=""1480011""",764,12.4
"Waterbury School District","=""1510011""",2951,17.1
"Waterford School District","=""1520011""",353,12.5
"Watertown School District","=""1530011""",346,11.5
"West Hartford School District","=""1550011""",1090,10.7
"West Haven School District","=""1560011""",865,12.3
"Westbrook School District","=""1540011""",87,10.2
"Weston School District","=""1570011""",212,8.8
"Westport School District","=""1580011""",577,10.0
"Wethersfield School District","=""1590011""",456,11.9
"Willington School District","=""1600011""",63,13.6
"Wilton School District","=""1610011""",499,11.7
"Winchester School District","=""1620011""",250,19.3
"Windham School District","=""1630011""",508,16.4
"Windsor Locks School District","=""1650011""",205,11.3
"Windsor School District","=""1640011""",586,14.9
"Wolcott School District","=""1660011""",231,8.6
"Woodbridge School District","=""1670011""",65,8.9
"Woodstock School District","=""1690011""",87,6.9

