"Primary Disability (K-12), 2011-12"
"All Districts, Autism"

"",,"2011-12",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",35,1.3,11.7
"Ashford School District","=""0030011""",6,1.4,12.8
"Avon School District","=""0040011""",55,1.6,14.9
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",42,1.4,14.3
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",31,1.1,9.9
"Bloomfield School District","=""0110011""",14,0.6,5.8
"Bolton School District","=""0120011""","*","*","*"
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",45,1.3,10.0
"Bridgeport School District","=""0150011""",188,0.9,6.9
"Bristol School District","=""0170011""",67,0.8,5.5
"Brookfield School District","=""0180011""",36,1.3,14.5
"Brooklyn School District","=""0190011""","*","*","*"
"Canterbury School District","=""0220011""",12,1.7,17.1
"Canton School District","=""0230011""",25,1.4,15.3
"Cheshire School District","=""0250011""",64,1.3,13.7
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",24,1.2,11.3
"Colchester School District","=""0280011""",33,1.1,9.5
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""",38,0.4,5.0
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""","*","*","*"
"Cromwell School District","=""0330011""",23,1.1,11.3
"Danbury School District","=""0340011""",101,1.0,9.3
"Darien School District","=""0350011""",55,1.1,9.4
"Deep River School District","=""0360011""",6,1.7,15.4
"Derby School District","=""0370011""",12,0.8,7.4
"East Granby School District","=""0400011""",7,0.8,8.2
"East Haddam School District","=""0410011""",21,1.6,13.0
"East Hampton School District","=""0420011""",27,1.4,18.9
"East Hartford School District","=""0430011""",90,1.1,8.2
"East Haven School District","=""0440011""",48,1.4,11.1
"East Lyme School District","=""0450011""",47,1.7,14.1
"East Windsor School District","=""0470011""",16,1.2,9.6
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",13,1.3,17.3
"Ellington School District","=""0480011""","*","*","*"
"Enfield School District","=""0490011""",72,1.3,9.6
"Essex School District","=""0500011""",6,1.1,14.3
"Fairfield School District","=""0510011""",144,1.4,13.6
"Farmington School District","=""0520011""",78,1.9,19.4
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",79,1.2,12.8
"Granby School District","=""0560011""",14,0.6,7.4
"Greenwich School District","=""0570011""",86,1.0,10.0
"Griswold School District","=""0580011""",18,1.0,8.0
"Groton School District","=""0590011""",90,1.8,13.2
"Guilford School District","=""0600011""",53,1.4,14.2
"Hamden School District","=""0620011""",105,1.6,12.9
"Hartford School District","=""0640011""",229,1.1,7.3
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""",10,1.0,9.4
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",45,1.8,12.5
"Lebanon School District","=""0710011""",13,1.1,9.3
"Ledyard School District","=""0720011""",49,2.0,15.6
"Lisbon School District","=""0730011""",11,1.7,13.3
"Litchfield School District","=""0740011""",8,0.7,6.6
"Madison School District","=""0760011""",46,1.3,13.1
"Manchester School District","=""0770011""",85,1.2,8.7
"Mansfield School District","=""0780011""",14,1.1,9.2
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",107,1.2,8.4
"Middletown School District","=""0830011""",57,1.1,9.2
"Milford School District","=""0840011""",84,1.2,10.2
"Monroe School District","=""0850011""",34,0.9,9.9
"Montville School District","=""0860011""",33,1.3,11.7
"Naugatuck School District","=""0880011""",49,1.1,8.8
"New Britain School District","=""0890011""",138,1.3,9.0
"New Canaan School District","=""0900011""",38,0.9,9.5
"New Fairfield School District","=""0910011""",15,0.5,5.4
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",192,1.1,8.7
"New London School District","=""0950011""",55,1.6,9.3
"New Milford School District","=""0960011""",74,1.6,12.1
"Newington School District","=""0940011""",54,1.2,10.4
"Newtown School District","=""0970011""",75,1.4,18.5
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",22,1.0,8.3
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",48,1.3,14.0
"North Stonington School District","=""1020011""","*","*","*"
"Norwalk School District","=""1030011""",103,0.9,9.4
"Norwich School District","=""1040011""",60,1.1,7.0
"Old Saybrook School District","=""1060011""",28,1.9,15.1
"Orange School District","=""1070011""","*","*","*"
"Oxford School District","=""1080011""",19,0.9,14.2
"Plainfield School District","=""1090011""",40,1.6,13.3
"Plainville School District","=""1100011""","*","*","*"
"Plymouth School District","=""1110011""",23,1.3,9.6
"Pomfret School District","=""1120011""",12,1.8,15.4
"Portland School District","=""1130011""",10,0.7,8.8
"Preston School District","=""1140011""",14,2.3,15.2
"Putnam School District","=""1160011""",24,2.0,14.3
"Redding School District","=""1170011""",16,1.4,10.8
"Regional School District 01","=""2010012""",6,1.3,9.2
"Regional School District 04","=""2040012""",18,1.9,13.1
"Regional School District 05","=""2050012""",40,1.6,14.3
"Regional School District 06","=""2060012""","*","*","*"
"Regional School District 07","=""2070012""",13,1.2,9.7
"Regional School District 08","=""2080012""",15,0.8,6.3
"Regional School District 09","=""2090012""",14,1.4,11.2
"Regional School District 10","=""2100012""",35,1.3,13.3
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",12,1.4,9.3
"Regional School District 13","=""2130012""",31,1.6,11.3
"Regional School District 14","=""2140012""",32,1.8,15.5
"Regional School District 15","=""2150012""",56,1.3,11.1
"Regional School District 16","=""2160012""",44,1.8,17.6
"Regional School District 17","=""2170012""",34,1.4,10.9
"Regional School District 18","=""2180012""",15,1.1,9.8
"Regional School District 19","=""2190012""",9,0.8,5.1
"Ridgefield School District","=""1180011""",72,1.3,17.1
"Rocky Hill School District","=""1190011""",29,1.1,13.6
"Salem School District","=""1210011""",11,1.6,19.0
"Salisbury School District","=""1220011""","*","*","*"
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",31,1.3,13.1
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",59,1.1,10.9
"Sherman School District","=""1270011""",8,1.4,11.6
"Simsbury School District","=""1280011""",94,2.0,17.0
"Somers School District","=""1290011""",17,1.1,10.4
"South Windsor School District","=""1320011""",64,1.4,12.5
"Southington School District","=""1310011""",77,1.1,10.7
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",24,1.4,14.3
"Stamford School District","=""1350011""",119,0.8,8.1
"Sterling School District","=""1360011""","*","*","*"
"Stonington School District","=""1370011""",41,1.7,13.5
"Stratford School District","=""1380011""",106,1.4,15.2
"Suffield School District","=""1390011""",37,1.5,15.0
"Thomaston School District","=""1400011""","*","*","*"
"Thompson School District","=""1410011""",7,0.6,5.3
"Tolland School District","=""1420011""",46,1.5,14.8
"Torrington School District","=""1430011""",55,1.2,7.1
"Trumbull School District","=""1440011""",87,1.3,15.4
"Unified School District #2","=""3470015""","*","*","*"
"Vernon School District","=""1460011""",39,1.1,9.2
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",86,1.4,10.8
"Waterbury School District","=""1510011""",179,1.1,6.4
"Waterford School District","=""1520011""",28,1.0,8.2
"Watertown School District","=""1530011""",30,1.0,9.0
"West Hartford School District","=""1550011""",154,1.5,14.1
"West Haven School District","=""1560011""",73,1.0,8.8
"Westbrook School District","=""1540011""",9,1.0,12.0
"Weston School District","=""1570011""",36,1.5,16.5
"Westport School District","=""1580011""",55,1.0,9.7
"Wethersfield School District","=""1590011""",58,1.5,13.8
"Willington School District","=""1600011""",6,1.3,10.0
"Wilton School District","=""1610011""",54,1.3,11.7
"Winchester School District","=""1620011""",41,3.1,15.8
"Windham School District","=""1630011""",38,1.2,7.2
"Windsor Locks School District","=""1650011""",23,1.3,10.8
"Windsor School District","=""1640011""",52,1.3,9.6
"Wolcott School District","=""1660011""",22,0.8,8.9
"Woodbridge School District","=""1670011""",9,1.3,14.1
"Woodstock School District","=""1690011""",9,0.7,10.5

