"Primary Disability (K-12), 2015-16"
"All Districts, Emotional Disturbance"

"",,"2015-16",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Ansonia School District","=""0020011""",31,1.2,6.9
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",16,0.5,5.5
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",24,0.8,7.2
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""","*","*","*"
"Bloomfield School District","=""0110011""",19,0.9,6.0
"Bolton School District","=""0120011""",6,0.8,6.9
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",41,1.4,9.8
"Bridgeport School District","=""0150011""",274,1.2,8.1
"Bristol School District","=""0170011""",135,1.6,9.8
"Brookfield School District","=""0180011""","*","*","*"
"Brooklyn School District","=""0190011""",12,1.0,9.4
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",9,1.4,13.0
"Canton School District","=""0230011""","*","*","*"
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",37,0.8,7.6
"Clinton School District","=""0270011""",17,0.9,8.3
"Colchester School District","=""0280011""",40,1.5,10.9
"Columbia School District","=""0300011""",11,1.6,12.1
"Connecticut Technical High School System","=""9000016""",45,0.4,4.4
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",21,1.2,10.1
"Cromwell School District","=""0330011""",19,0.9,8.6
"Danbury School District","=""0340011""",48,0.4,3.7
"Darien School District","=""0350011""",14,0.3,2.4
"Deep River School District","=""0360011""","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""","*","*","*"
"East Granby School District","=""0400011""",8,0.9,8.0
"East Haddam School District","=""0410011""","*","*","*"
"East Hampton School District","=""0420011""",7,0.4,4.4
"East Hartford School District","=""0430011""",114,1.5,9.9
"East Haven School District","=""0440011""",33,1.0,7.5
"East Lyme School District","=""0450011""",13,0.5,4.0
"East Windsor School District","=""0470011""",21,1.8,11.0
"Easton School District","=""0460011""",6,0.7,7.1
"Ellington School District","=""0480011""",25,0.9,8.4
"Enfield School District","=""0490011""",77,1.4,9.9
"Essex School District","=""0500011""","*","*","*"
"Fairfield School District","=""0510011""",55,0.5,5.2
"Farmington School District","=""0520011""",41,1.0,8.6
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",39,0.6,6.1
"Granby School District","=""0560011""",18,0.9,8.4
"Greenwich School District","=""0570011""",57,0.7,6.4
"Griswold School District","=""0580011""",30,1.7,12.4
"Groton School District","=""0590011""",77,1.6,10.4
"Guilford School District","=""0600011""",35,1.0,8.8
"Hamden School District","=""0620011""",93,1.4,9.1
"Hartford School District","=""0640011""",348,1.7,9.3
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""","*","*","*"
"Killingly School District","=""0690011""",52,2.3,13.3
"Lebanon School District","=""0710011""","*","*","*"
"Ledyard School District","=""0720011""",35,1.5,9.7
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""",6,0.6,5.3
"Madison School District","=""0760011""",16,0.5,4.5
"Manchester School District","=""0770011""",64,0.9,7.3
"Mansfield School District","=""0780011""","*","*","*"
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",180,2.1,11.9
"Middletown School District","=""0830011""",70,1.4,10.9
"Milford School District","=""0840011""",70,1.1,9.3
"Monroe School District","=""0850011""",19,0.6,5.4
