"Primary Disability (K-12), 2014-15"
"All Districts, Emotional Disturbance"

"",,"2014-15",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Ansonia School District","=""0020011""",36,1.4,8.7
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",17,0.5,5.4
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",26,0.9,8.2
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""","*","*","*"
"Bloomfield School District","=""0110011""",17,0.8,6.1
"Bolton School District","=""0120011""",8,1.0,8.7
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",46,1.5,11.2
"Bridgeport School District","=""0150011""",267,1.2,8.4
"Bristol School District","=""0170011""",128,1.6,9.4
"Brookfield School District","=""0180011""",18,0.7,5.6
"Brooklyn School District","=""0190011""",10,0.9,7.9
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",9,1.4,12.7
"Canton School District","=""0230011""","*","*","*"
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",35,0.8,7.4
"Clinton School District","=""0270011""",15,0.8,7.4
"Colchester School District","=""0280011""",34,1.3,9.4
"Columbia School District","=""0300011""",6,0.9,8.0
"Connecticut Technical High School System","=""9000016""",45,0.4,4.7
"Coventry School District","=""0320011""",21,1.2,10.2
"Cromwell School District","=""0330011""",18,0.9,8.4
"Danbury School District","=""0340011""",46,0.4,3.7
"Darien School District","=""0350011""",13,0.3,2.4
"Deep River School District","=""0360011""","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",15,1.0,7.0
"East Granby School District","=""0400011""",6,0.7,6.5
"East Haddam School District","=""0410011""","*","*","*"
"East Hampton School District","=""0420011""",10,0.5,6.4
"East Hartford School District","=""0430011""",107,1.4,9.7
"East Haven School District","=""0440011""",36,1.1,8.4
"East Lyme School District","=""0450011""",15,0.6,4.4
"East Windsor School District","=""0470011""",22,1.8,10.1
"Easton School District","=""0460011""","*","*","*"
"Ellington School District","=""0480011""","*","*","*"
"Enfield School District","=""0490011""",77,1.4,10.1
"Essex School District","=""0500011""","*","*","*"
"Fairfield School District","=""0510011""",58,0.6,5.3
"Farmington School District","=""0520011""",39,1.0,8.4
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",48,0.8,7.8
"Granby School District","=""0560011""",18,0.9,9.0
"Greenwich School District","=""0570011""",60,0.7,6.8
"Griswold School District","=""0580011""",26,1.5,10.6
"Groton School District","=""0590011""",87,1.8,12.0
"Guilford School District","=""0600011""",36,1.1,9.2
"Hamden School District","=""0620011""",88,1.4,9.3
"Hartford School District","=""0640011""",356,1.7,10.0
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""",6,0.8,5.7
"Killingly School District","=""0690011""",54,2.4,13.6
"Lebanon School District","=""0710011""","*","*","*"
"Ledyard School District","=""0720011""","*","*","*"
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""","*","*","*"
"Madison School District","=""0760011""",14,0.4,3.8
"Manchester School District","=""0770011""",63,0.9,7.1
"Mansfield School District","=""0780011""","*","*","*"
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",187,2.1,12.6
"Middletown School District","=""0830011""",62,1.2,9.8
"Milford School District","=""0840011""",74,1.2,9.7
"Monroe School District","=""0850011""",24,0.7,6.8
"Montville School District","=""0860011""",32,1.3,11.3
"Naugatuck School District","=""0880011""",34,0.8,5.3
"New Britain School District","=""0890011""",114,1.0,6.8
"New Canaan School District","=""0900011""","*","*","*"
"New Fairfield School District","=""0910011""",13,0.5,5.4
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",238,1.2,9.0
"New London School District","=""0950011""",85,2.4,12.8
"New Milford School District","=""0960011""",67,1.6,11.9
"Newington School District","=""0940011""",33,0.8,6.3
"Newtown School District","=""0970011""",19,0.4,4.3
"North Branford School District","=""0990011""",31,1.5,10.7
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",49,1.5,12.7
"North Stonington School District","=""1020011""","*","*","*"
"Norwalk School District","=""1030011""",58,0.5,4.4
"Norwich School District","=""1040011""",112,2.0,12.2
"Old Saybrook School District","=""1060011""",11,0.8,5.5
"Orange School District","=""1070011""","*","*","*"
"Oxford School District","=""1080011""",15,0.7,6.5
"Plainfield School District","=""1090011""",38,1.7,12.3
"Plainville School District","=""1100011""","*","*","*"
"Plymouth School District","=""1110011""",27,1.6,11.5
"Pomfret School District","=""1120011""","*","*","*"
"Portland School District","=""1130011""","*","*","*"
"Preston School District","=""1140011""","*","*","*"
"Putnam School District","=""1160011""",17,1.5,9.4
"Redding School District","=""1170011""","*","*","*"
"Regional School District 01","=""2010012""",8,2.0,11.8
"Regional School District 04","=""2040012""",13,1.3,9.8
"Regional School District 05","=""2050012""",20,0.9,7.4
"Regional School District 06","=""2060012""",9,1.1,8.3
"Regional School District 07","=""2070012""",15,1.5,12.9
"Regional School District 08","=""2080012""",24,1.4,10.9
"Regional School District 09","=""2090012""",10,0.9,8.3
"Regional School District 10","=""2100012""",19,0.8,7.5
"Regional School District 11","=""2110012""",9,2.9,12.7
"Regional School District 12","=""2120012""",12,1.7,10.4
