"Primary Disability (K-12), 2014-15"
"All Districts, Learning Disability"

"",,"2014-15",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",104,4.1,25.1
"Ashford School District","=""0030011""",9,2.4,19.1
"Avon School District","=""0040011""",85,2.5,27.2
"Barkhamsted School District","=""0050011""",12,4.0,32.4
"Berlin School District","=""0070011""",100,3.4,31.6
"Bethany School District","=""0080011""",19,4.9,34.5
"Bethel School District","=""0090011""",118,4.2,36.6
"Bloomfield School District","=""0110011""",105,4.8,37.8
"Bolton School District","=""0120011""",19,2.4,20.7
"Bozrah School District","=""0130011""",12,3.9,36.4
"Branford School District","=""0140011""",109,3.5,26.5
"Bridgeport School District","=""0150011""",1193,5.3,37.6
"Bristol School District","=""0170011""",536,6.5,39.4
"Brookfield School District","=""0180011""",119,4.3,36.8
"Brooklyn School District","=""0190011""",55,4.9,43.3
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",11,1.7,15.5
"Canton School District","=""0230011""",68,4.1,39.1
"Chaplin School District","=""0240011""",10,6.4,43.5
"Cheshire School District","=""0250011""",127,2.8,26.8
"Chester School District","=""0260011""",16,7.3,45.7
"Clinton School District","=""0270011""",57,3.0,28.2
"Colchester School District","=""0280011""",115,4.3,31.9
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",28,4.0,37.3
"Connecticut Technical High School System","=""9000016""",562,5.2,58.2
"Cornwall School District","=""0310011""",8,8.8,50.0
"Coventry School District","=""0320011""",81,4.7,39.5
"Cromwell School District","=""0330011""",66,3.2,30.8
"Danbury School District","=""0340011""",555,5.2,44.8
"Darien School District","=""0350011""",177,3.6,32.0
"Deep River School District","=""0360011""",16,5.1,33.3
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",52,3.4,24.4
"East Granby School District","=""0400011""",34,3.7,36.6
"East Haddam School District","=""0410011""",46,4.0,27.1
"East Hampton School District","=""0420011""",42,2.2,26.9
"East Hartford School District","=""0430011""",309,3.9,27.9
"East Haven School District","=""0440011""",131,4.0,30.7
"East Lyme School District","=""0450011""",135,5.2,39.4
"East Windsor School District","=""0470011""",83,6.7,38.1
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",38,4.2,42.7
"Ellington School District","=""0480011""",143,5.3,49.5
"Enfield School District","=""0490011""",251,4.6,32.9
"Essex School District","=""0500011""",11,2.7,18.6
"Fairfield School District","=""0510011""",346,3.4,31.6
"Farmington School District","=""0520011""",130,3.2,28.0
"Franklin School District","=""0530011""",11,4.4,34.4
"Glastonbury School District","=""0540011""",171,2.7,27.7
"Granby School District","=""0560011""",65,3.3,32.7
"Greenwich School District","=""0570011""",361,4.2,41.1
"Griswold School District","=""0580011""",65,3.7,26.4
"Groton School District","=""0590011""",214,4.4,29.4
"Guilford School District","=""0600011""",110,3.2,28.1
"Hamden School District","=""0620011""",278,4.3,29.3
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",1259,6.1,35.4
"Hartland School District","=""0650011""",14,5.2,42.4
"Hebron School District","=""0670011""",34,4.4,32.4
"Kent School District","=""0680011""",15,6.4,62.5
"Killingly School District","=""0690011""",91,4.0,22.9
"Lebanon School District","=""0710011""",64,6.1,40.8
"Ledyard School District","=""0720011""",96,4.0,27.1
"Lisbon School District","=""0730011""",13,2.2,18.6
"Litchfield School District","=""0740011""",46,4.7,40.4
"Madison School District","=""0760011""",147,4.7,40.4
"Manchester School District","=""0770011""",286,4.0,32.1
"Mansfield School District","=""0780011""",58,4.9,40.6
"Marlborough School District","=""0790011""",22,3.7,47.8
"Meriden School District","=""0800011""",531,6.0,35.8
"Middletown School District","=""0830011""",184,3.6,29.0
"Milford School District","=""0840011""",135,2.1,17.7
"Monroe School District","=""0850011""",117,3.5,33.3
"Montville School District","=""0860011""",81,3.3,28.5
"Naugatuck School District","=""0880011""",264,6.0,41.2
"New Britain School District","=""0890011""",582,5.3,34.5
"New Canaan School District","=""0900011""",116,2.8,30.1
"New Fairfield School District","=""0910011""",72,2.8,29.8
"New Hartford School District","=""0920011""",20,4.0,37.7
"New Haven School District","=""0930011""",1012,5.2,38.4
"New London School District","=""0950011""",204,5.8,30.7
"New Milford School District","=""0960011""",164,3.9,29.1
"Newington School District","=""0940011""",232,5.4,44.0
"Newtown School District","=""0970011""",109,2.3,24.9
"Norfolk School District","=""0980011""",7,6.8,35.0
"North Branford School District","=""0990011""",99,4.9,34.3
"North Canaan School District","=""1000011""",10,3.7,22.2
"North Haven School District","=""1010011""",123,3.7,31.9
"North Stonington School District","=""1020011""",23,3.1,35.9
"Norwalk School District","=""1030011""",491,4.3,37.3
"Norwich School District","=""1040011""",253,4.6,27.7
"Old Saybrook School District","=""1060011""",48,3.5,24.1
"Orange School District","=""1070011""",37,3.2,36.3
"Oxford School District","=""1080011""",67,3.3,28.9
"Plainfield School District","=""1090011""",89,4.0,28.9
"Plainville School District","=""1100011""",65,2.7,20.6
"Plymouth School District","=""1110011""",61,3.7,26.1
"Pomfret School District","=""1120011""",18,3.1,32.1
"Portland School District","=""1130011""",57,4.2,41.6
"Preston School District","=""1140011""",18,3.0,17.5
"Putnam School District","=""1160011""",66,5.6,36.7
"Redding School District","=""1170011""",29,3.0,23.2
"Regional School District 01","=""2010012""",36,9.0,52.9
"Regional School District 04","=""2040012""",53,5.3,40.2
"Regional School District 05","=""2050012""",86,3.7,31.9
"Regional School District 06","=""2060012""",51,6.5,47.2
"Regional School District 07","=""2070012""",48,4.8,41.4
"Regional School District 08","=""2080012""",79,4.5,35.7
"Regional School District 09","=""2090012""",38,3.5,31.4
"Regional School District 10","=""2100012""",82,3.3,32.4
"Regional School District 11","=""2110012""",28,9.0,39.4
"Regional School District 12","=""2120012""",41,5.8,35.7
"Regional School District 13","=""2130012""",97,5.4,37.3
"Regional School District 14","=""2140012""",67,4.4,38.3
"Regional School District 15","=""2150012""",179,4.6,37.8
"Regional School District 16","=""2160012""",88,3.8,27.8
"Regional School District 17","=""2170012""",129,5.9,39.3
"Regional School District 18","=""2180012""",58,4.4,35.2
"Regional School District 19","=""2190012""",57,5.7,34.5
"Ridgefield School District","=""1180011""",171,3.3,36.6
"Rocky Hill School District","=""1190011""",79,3.0,32.8
"Salem School District","=""1210011""",32,5.0,41.6
"Salisbury School District","=""1220011""",11,4.3,34.4
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",121,5.2,45.1
"Sharon School District","=""1250011""",17,10.6,51.5
"Shelton School District","=""1260011""",269,5.3,43.2
"Sherman School District","=""1270011""",24,4.7,33.3
"Simsbury School District","=""1280011""",197,4.5,35.1
"Somers School District","=""1290011""",52,3.5,32.5
"South Windsor School District","=""1320011""",154,3.5,28.2
"Southington School District","=""1310011""",243,3.6,30.6
"Sprague School District","=""1330011""",11,2.5,18.3
"Stafford School District","=""1340011""",66,4.3,35.7
"Stamford School District","=""1350011""",699,4.4,40.2
"Sterling School District","=""1360011""",23,3.9,29.5
"Stonington School District","=""1370011""",136,5.9,40.7
"Stratford School District","=""1380011""",229,3.2,29.4
"Suffield School District","=""1390011""",80,3.5,34.5
"Thomaston School District","=""1400011""",50,4.9,36.5
"Thompson School District","=""1410011""",30,2.9,24.6
"Tolland School District","=""1420011""",126,4.6,40.6
"Torrington School District","=""1430011""",286,6.4,37.7
"Trumbull School District","=""1440011""",208,3.2,32.8
"Unified School District #1","=""3360015""",63,15.4,36.0
"Unified School District #2","=""3470015""",11,5.1,7.3
"Union School District","=""1450011""",7,6.4,38.9
"Vernon School District","=""1460011""",153,4.5,30.6
"Voluntown School District","=""1470011""",30,7.6,50.0
"Wallingford School District","=""1480011""",210,3.5,30.5
"Waterbury School District","=""1510011""",1159,6.5,35.7
"Waterford School District","=""1520011""",119,4.4,30.4
"Watertown School District","=""1530011""",98,3.5,28.7
"West Hartford School District","=""1550011""",297,3.0,25.6
"West Haven School District","=""1560011""",297,4.3,30.6
"Westbrook School District","=""1540011""",27,3.4,30.0
"Weston School District","=""1570011""",68,2.8,34.0
"Westport School District","=""1580011""",232,4.1,40.3
"Wethersfield School District","=""1590011""",146,3.8,28.5
"Willington School District","=""1600011""",20,4.8,35.1
"Wilton School District","=""1610011""",232,5.5,42.6
"Winchester School District","=""1620011""",64,5.3,27.6
"Windham School District","=""1630011""",146,4.7,29.1
