"Primary Disability (K-12), Trend"
"All Districts, Autism"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",35,1.3,11.7,39,1.5,12.5,38,1.5,11.2,48,1.9,11.6,50,2.0,11.1
"Ashford School District","=""0030011""",6,1.4,12.8,10,2.5,20.0,9,2.3,19.1,6,1.6,12.8,"*","*","*"
"Avon School District","=""0040011""",55,1.6,14.9,52,1.5,14.6,54,1.6,15.5,53,1.6,16.9,53,1.6,18.3
"Barkhamsted School District","=""0050011""","*","*","*","*","*","*",0,0,0,"*","*","*","*","*","*"
"Berlin School District","=""0070011""",42,1.4,14.3,39,1.3,13.0,36,1.2,11.8,37,1.2,11.7,38,1.3,11.3
"Bethany School District","=""0080011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",31,1.1,9.9,33,1.1,10.3,35,1.2,11.1,32,1.1,9.9,38,1.3,12.0
"Bloomfield School District","=""0110011""",14,0.6,5.8,18,0.8,8.0,16,0.8,6.8,22,1.0,7.9,26,1.2,8.3
"Bolton School District","=""0120011""","*","*","*","*","*","*","*","*","*","*","*","*",6,0.8,6.9
"Bozrah School District","=""0130011""","*","*","*",8,2.4,20.0,9,2.7,24.3,6,2.0,18.2,6,2.0,18.2
"Branford School District","=""0140011""",45,1.3,10.0,42,1.3,9.4,41,1.3,9.8,42,1.4,10.2,36,1.2,8.6
"Bridgeport School District","=""0150011""",188,0.9,6.9,198,0.9,7.1,217,1.0,7.7,255,1.1,8.0,285,1.2,8.4
"Bristol School District","=""0170011""",67,0.8,5.5,79,1.0,6.4,85,1.0,6.6,83,1.0,6.1,96,1.2,6.9
"Brookfield School District","=""0180011""",36,1.3,14.5,41,1.5,14.0,44,1.6,13.9,44,1.6,13.6,47,1.7,14.0
"Brooklyn School District","=""0190011""","*","*","*","*","*","*","*","*","*",9,0.8,7.1,12,1.0,9.4
"Canterbury School District","=""0220011""",12,1.7,17.1,14,2.0,20.9,15,2.3,22.4,19,2.9,26.8,18,2.8,26.1
"Canton School District","=""0230011""",25,1.4,15.3,24,1.4,15.6,23,1.3,13.9,27,1.6,15.5,28,1.7,15.5
"Chaplin School District","=""0240011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",64,1.3,13.7,61,1.3,13.2,61,1.3,13.1,68,1.5,14.4,70,1.6,14.5
"Chester School District","=""0260011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""",24,1.2,11.3,24,1.2,12.2,28,1.4,13.8,26,1.4,12.9,21,1.2,10.3
"Colchester School District","=""0280011""",33,1.1,9.5,35,1.2,10.1,33,1.2,9.1,35,1.3,9.7,40,1.5,10.9
"Colebrook School District","=""0290011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","*","*","*","*","*","*",6,0.9,8.7,"*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""",38,0.4,5.0,38,0.4,4.8,45,0.4,5.1,53,0.5,5.5,53,0.5,5.2
"Cornwall School District","=""0310011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","*","*","*","*","*","*","*","*","*","*","*","*",19,1.1,9.1
"Cromwell School District","=""0330011""",23,1.1,11.3,27,1.3,13.6,33,1.6,16.1,29,1.4,13.6,33,1.6,14.9
"Danbury School District","=""0340011""",101,1.0,9.3,114,1.1,10.2,138,1.3,11.5,143,1.4,11.5,149,1.4,11.4
"Darien School District","=""0350011""",55,1.1,9.4,56,1.2,9.6,46,0.9,8.8,41,0.8,7.4,42,0.9,7.2
"Deep River School District","=""0360011""",6,1.7,15.4,8,2.3,19.5,6,1.8,14.0,6,1.9,12.5,6,2.0,14.0
"Derby School District","=""0370011""",12,0.8,7.4,15,1.0,8.0,18,1.1,8.8,26,1.7,12.2,28,1.9,13.5
"East Granby School District","=""0400011""",7,0.8,8.2,9,1.0,9.9,10,1.1,11.9,10,1.1,10.8,11,1.2,11.0
"East Haddam School District","=""0410011""",21,1.6,13.0,22,1.7,13.8,28,2.3,16.1,30,2.6,17.6,33,3.0,20.4
"East Hampton School District","=""0420011""",27,1.4,18.9,31,1.6,20.4,34,1.7,22.1,36,1.9,23.1,38,2.0,23.9
"East Hartford School District","=""0430011""",90,1.1,8.2,98,1.3,9.0,97,1.2,8.7,118,1.5,10.7,143,1.8,12.4
"East Haven School District","=""0440011""",48,1.4,11.1,57,1.6,12.9,56,1.7,12.9,55,1.7,12.9,61,1.8,13.9
"East Lyme School District","=""0450011""",47,1.7,14.1,45,1.7,13.8,49,1.9,14.6,48,1.8,14.0,45,1.8,13.8
"East Windsor School District","=""0470011""",16,1.2,9.6,19,1.4,9.4,18,1.4,9.1,26,2.1,11.9,25,2.1,13.1
"Eastford School District","=""0390011""","*","*","*","*","*","*",6,3.0,27.3,"*","*","*","*","*","*"
"Easton School District","=""0460011""",13,1.3,17.3,11,1.1,14.7,9,1.0,10.6,"*","*","*","*","*","*"
"Ellington School District","=""0480011""","*","*","*","*","*","*","*","*","*",26,1.0,9.0,28,1.0,9.5
"Enfield School District","=""0490011""",72,1.3,9.6,69,1.2,9.2,85,1.6,11.3,92,1.7,12.1,96,1.8,12.3
"Essex School District","=""0500011""",6,1.1,14.3,8,1.7,18.2,8,1.8,17.8,11,2.7,18.6,10,2.7,18.5
"Fairfield School District","=""0510011""",144,1.4,13.6,156,1.5,14.1,141,1.4,13.0,135,1.3,12.3,124,1.2,11.6
"Farmington School District","=""0520011""",78,1.9,19.4,80,2.0,18.3,81,2.0,18.6,84,2.1,18.1,89,2.2,18.6
"Franklin School District","=""0530011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""",79,1.2,12.8,78,1.2,12.9,83,1.3,13.5,94,1.5,15.2,101,1.6,15.8
"Granby School District","=""0560011""",14,0.6,7.4,15,0.7,8.2,18,0.9,9.4,21,1.1,10.6,25,1.3,11.6
"Greenwich School District","=""0570011""",86,1.0,10.0,85,1.0,9.8,91,1.1,10.7,98,1.1,11.1,107,1.3,12.0
"Griswold School District","=""0580011""",18,1.0,8.0,24,1.3,10.1,26,1.5,10.2,33,1.9,13.4,32,1.9,13.2
"Groton School District","=""0590011""",90,1.8,13.2,90,1.8,12.7,108,2.2,14.8,108,2.2,14.9,101,2.1,13.6
"Guilford School District","=""0600011""",53,1.4,14.2,63,1.8,17.2,64,1.8,17.2,69,2.0,17.6,67,2.0,16.9
"Hamden School District","=""0620011""",105,1.6,12.9,113,1.7,14.0,123,1.8,14.1,143,2.2,15.1,159,2.5,15.5
"Hampton School District","=""0630011""",0,0,0,0,0,0,"*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""",229,1.1,7.3,276,1.4,8.1,314,1.5,9.2,363,1.8,10.2,392,1.9,10.5
"Hartland School District","=""0650011""","*","*","*","*","*","*","*","*","*",6,2.2,18.2,6,2.2,17.1
"Hebron School District","=""0670011""",10,1.0,9.4,7,0.8,6.6,10,1.2,10.5,14,1.8,13.3,13,1.8,14.8
"Kent School District","=""0680011""","*","*","*",6,2.4,21.4,"*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""",45,1.8,12.5,48,2.0,13.1,52,2.2,13.8,54,2.4,13.6,57,2.5,14.5
"Lebanon School District","=""0710011""",13,1.1,9.3,16,1.4,10.6,20,1.8,12.8,20,1.9,12.7,21,2.1,14.8
"Ledyard School District","=""0720011""",49,2.0,15.6,50,2.0,15.0,49,2.0,14.2,49,2.0,13.8,49,2.1,13.6
"Lisbon School District","=""0730011""",11,1.7,13.3,8,1.3,9.9,8,1.3,9.4,6,1.0,8.6,8,1.4,12.5
"Litchfield School District","=""0740011""",8,0.7,6.6,6,0.6,5.0,6,0.6,5.5,"*","*","*",10,1.0,8.8
"Madison School District","=""0760011""",46,1.3,13.1,49,1.5,13.9,48,1.5,13.4,55,1.7,15.1,48,1.6,13.6
"Manchester School District","=""0770011""",85,1.2,8.7,97,1.4,10.3,96,1.4,10.8,97,1.3,10.9,115,1.6,13.2
"Mansfield School District","=""0780011""",14,1.1,9.2,14,1.1,9.9,15,1.3,10.7,17,1.4,11.9,16,1.4,11.7
"Marlborough School District","=""0790011""","*","*","*",6,0.9,10.3,6,1.0,11.5,6,1.0,13.0,"*","*","*"
"Meriden School District","=""0800011""",107,1.2,8.4,127,1.4,9.8,131,1.5,9.3,142,1.6,9.6,159,1.8,10.5
"Middletown School District","=""0830011""",57,1.1,9.2,57,1.1,9.6,68,1.3,11.3,76,1.5,12.0,74,1.5,11.5
"Milford School District","=""0840011""",84,1.2,10.2,86,1.3,10.3,88,1.4,11.0,101,1.6,13.3,100,1.6,13.3
"Monroe School District","=""0850011""",34,0.9,9.9,35,1.0,9.6,34,1.0,9.5,38,1.1,10.8,46,1.4,13.0
"Montville School District","=""0860011""",33,1.3,11.7,31,1.2,10.8,32,1.3,11.4,29,1.2,10.2,36,1.5,10.9
"Naugatuck School District","=""0880011""",49,1.1,8.8,58,1.3,10.0,72,1.6,11.9,73,1.6,11.4,75,1.7,11.1
"New Britain School District","=""0890011""",138,1.3,9.0,142,1.3,8.8,147,1.4,9.0,154,1.4,9.1,174,1.6,9.9
"New Canaan School District","=""0900011""",38,0.9,9.5,47,1.1,12.2,47,1.1,13.0,51,1.2,13.2,52,1.2,12.9
"New Fairfield School District","=""0910011""",15,0.5,5.4,15,0.6,5.5,14,0.5,5.4,18,0.7,7.4,22,0.9,9.6
"New Hartford School District","=""0920011""","*","*","*",0,0,0,"*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""",192,1.1,8.7,219,1.2,9.4,240,1.3,9.9,255,1.3,9.7,288,1.5,10.4
"New London School District","=""0950011""",55,1.6,9.3,62,1.8,10.0,65,1.9,10.1,77,2.2,11.6,79,2.2,12.0
"New Milford School District","=""0960011""",74,1.6,12.1,81,1.8,13.7,77,1.8,13.2,76,1.8,13.5,80,1.9,14.4
"Newington School District","=""0940011""",54,1.2,10.4,64,1.4,11.9,63,1.5,11.8,64,1.5,12.1,58,1.4,11.3
"Newtown School District","=""0970011""",75,1.4,18.5,80,1.6,20.2,80,1.6,19.7,89,1.9,20.3,94,2.1,19.9
"Norfolk School District","=""0980011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"North Branford School District","=""0990011""",22,1.0,8.3,23,1.1,8.2,25,1.2,8.7,20,1.0,6.9,17,0.9,6.1
"North Canaan School District","=""1000011""","*","*","*","*","*","*",6,2.1,13.6,9,3.3,20.0,8,3.2,17.8
"North Haven School District","=""1010011""",48,1.3,14.0,54,1.5,15.3,62,1.8,16.7,58,1.7,15.0,51,1.6,14.2
"North Stonington School District","=""1020011""","*","*","*","*","*","*",7,0.9,10.8,8,1.1,12.5,6,0.8,9.1
"Norwalk School District","=""1030011""",103,0.9,9.4,122,1.1,10.3,126,1.1,10.3,130,1.1,9.9,143,1.2,10.1
"Norwich School District","=""1040011""",60,1.1,7.0,70,1.3,7.9,79,1.4,9.0,92,1.7,10.1,102,1.9,11.7
"Old Saybrook School District","=""1060011""",28,1.9,15.1,27,1.9,13.2,30,2.2,14.3,34,2.5,17.1,35,2.7,19.9
"Orange School District","=""1070011""","*","*","*",13,1.1,11.6,14,1.2,12.8,11,1.0,10.8,15,1.3,15.8
"Oxford School District","=""1080011""",19,0.9,14.2,27,1.3,17.5,29,1.4,13.9,29,1.4,12.5,32,1.6,13.1
"Plainfield School District","=""1090011""",40,1.6,13.3,39,1.6,13.3,35,1.5,12.7,33,1.5,10.7,43,2.0,14.3
"Plainville School District","=""1100011""","*","*","*",33,1.4,10.6,36,1.5,11.0,39,1.6,12.4,42,1.8,13.8
"Plymouth School District","=""1110011""",23,1.3,9.6,26,1.5,10.5,28,1.7,12.0,27,1.6,11.5,31,1.9,13.1
"Pomfret School District","=""1120011""",12,1.8,15.4,13,2.0,19.4,13,2.1,20.0,14,2.4,25.0,15,2.6,23.1
"Portland School District","=""1130011""",10,0.7,8.8,11,0.8,8.9,12,0.8,9.4,14,1.0,10.2,16,1.1,11.4
"Preston School District","=""1140011""",14,2.3,15.2,14,2.3,17.1,13,2.1,14.3,13,2.2,12.6,14,2.3,14.3
"Putnam School District","=""1160011""",24,2.0,14.3,31,2.6,17.8,29,2.5,15.2,31,2.6,17.2,28,2.5,14.7
"Redding School District","=""1170011""",16,1.4,10.8,15,1.4,11.2,14,1.4,10.8,12,1.3,9.6,9,1.0,7.8
"Regional School District 01","=""2010012""",6,1.3,9.2,6,1.4,10.3,8,1.9,13.1,8,2.0,11.8,9,2.1,12.9
"Regional School District 04","=""2040012""",18,1.9,13.1,24,2.4,17.3,25,2.5,17.2,20,2.0,15.2,27,2.8,18.9
"Regional School District 05","=""2050012""",40,1.6,14.3,38,1.6,13.7,40,1.7,14.9,44,1.9,16.3,40,1.7,14.4
"Regional School District 06","=""2060012""","*","*","*",8,0.9,7.2,9,1.1,8.1,8,1.0,7.4,11,1.4,9.3
"Regional School District 07","=""2070012""",13,1.2,9.7,17,1.6,15.0,17,1.6,14.0,13,1.3,11.2,13,1.3,10.8
"Regional School District 08","=""2080012""",15,0.8,6.3,18,1.0,7.9,16,0.9,7.3,19,1.1,8.6,21,1.2,10.4
"Regional School District 09","=""2090012""",14,1.4,11.2,15,1.4,12.2,14,1.3,11.2,17,1.6,14.0,21,2.0,16.2
"Regional School District 10","=""2100012""",35,1.3,13.3,38,1.4,14.5,38,1.5,15.1,44,1.7,17.4,42,1.7,17.0
"Regional School District 11","=""2110012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""",12,1.4,9.3,14,1.7,11.1,12,1.6,9.5,13,1.8,11.3,13,1.9,11.6
"Regional School District 13","=""2130012""",31,1.6,11.3,34,1.7,12.2,40,2.1,14.7,40,2.2,15.4,39,2.3,15.5
"Regional School District 14","=""2140012""",32,1.8,15.5,31,1.8,15.5,32,2.0,17.4,25,1.6,14.3,24,1.6,14.5
"Regional School District 15","=""2150012""",56,1.3,11.1,66,1.6,13.3,74,1.8,15.7,77,2.0,16.3,83,2.2,16.6
"Regional School District 16","=""2160012""",44,1.8,17.6,47,2.0,17.7,47,2.0,16.4,52,2.3,16.4,46,2.0,14.6
"Regional School District 17","=""2170012""",34,1.4,10.9,35,1.5,11.3,34,1.5,10.6,37,1.7,11.3,37,1.7,10.7
"Regional School District 18","=""2180012""",15,1.1,9.8,14,1.0,8.9,18,1.3,11.2,16,1.2,9.7,18,1.4,11.4
"Regional School District 19","=""2190012""",9,0.8,5.1,14,1.3,8.0,17,1.7,10.2,16,1.6,9.7,22,2.3,12.7
"Ridgefield School District","=""1180011""",72,1.3,17.1,72,1.4,16.1,70,1.3,15.5,71,1.4,15.2,69,1.4,15.3
"Rocky Hill School District","=""1190011""",29,1.1,13.6,36,1.4,16.6,35,1.4,15.5,39,1.5,16.2,44,1.6,16.8
"Salem School District","=""1210011""",11,1.6,19.0,9,1.3,14.5,10,1.5,14.9,11,1.7,14.3,12,1.9,12.8
"Salisbury School District","=""1220011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Scotland School District","=""1230011""","*","*","*",0,0,0,0,0,0,0,0,0,0,0,0
"Seymour School District","=""1240011""",31,1.3,13.1,40,1.7,16.5,35,1.5,13.7,35,1.5,13.1,37,1.6,13.8
"Sharon School District","=""1250011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""",59,1.1,10.9,67,1.3,11.8,67,1.3,11.0,68,1.3,10.9,77,1.5,11.9
"Sherman School District","=""1270011""",8,1.4,11.6,6,1.1,8.7,9,1.7,13.6,10,2.0,13.9,7,1.5,11.3
"Simsbury School District","=""1280011""",94,2.0,17.0,98,2.1,18.4,101,2.3,18.8,100,2.3,17.8,94,2.2,17.1
"Somers School District","=""1290011""",17,1.1,10.4,16,1.0,9.7,"*","*","*",18,1.2,11.3,24,1.7,14.7
"South Windsor School District","=""1320011""",64,1.4,12.5,74,1.7,13.7,81,1.8,14.6,90,2.1,16.5,89,2.1,16.8
"Southington School District","=""1310011""",77,1.1,10.7,88,1.3,11.4,90,1.3,11.5,96,1.4,12.1,98,1.5,12.5
"Sprague School District","=""1330011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stafford School District","=""1340011""",24,1.4,14.3,26,1.6,14.2,26,1.7,14.3,25,1.6,13.5,25,1.6,13.2
"Stamford School District","=""1350011""",119,0.8,8.1,126,0.8,8.2,130,0.8,7.8,155,1.0,8.9,167,1.1,9.2
"Sterling School District","=""1360011""","*","*","*",13,2.1,14.3,14,2.3,15.7,13,2.2,16.7,11,1.9,14.1
"Stonington School District","=""1370011""",41,1.7,13.5,47,2.0,15.4,44,1.9,14.3,48,2.1,14.4,50,2.3,15.1
"Stratford School District","=""1380011""",106,1.4,15.2,115,1.6,15.9,121,1.6,16.0,123,1.7,15.8,130,1.8,15.5
