"Primary Disability (K-12), 2015-16"
"State of Connecticut"

"",,"2015-16",,
"District","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"State of Connecticut","All Disabilities",70055,13.4,100.0
"State of Connecticut","Autism",8222,1.6,11.7
"State of Connecticut","Emotional Disturbance",5413,1.0,7.7
"State of Connecticut","Intellectual Disability",2406,0.5,3.4
"State of Connecticut","Learning Disability",24287,4.6,34.7
"State of Connecticut","Other Disabilities",5484,1.0,7.8
"State of Connecticut","Other Health Impairment",14553,2.8,20.8
"State of Connecticut","Speech Language Impairment",9690,1.9,13.8

