"Primary Disability (K-12), Trend"
"All Districts, Other Health Impairment"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",0,0,0,"*","*","*",7,2.5,36.8,7,2.8,46.7,"*","*","*"
"Ansonia School District","=""0020011""",73,2.7,24.5,77,3.0,24.7,80,3.2,23.7,96,3.8,23.1,106,4.2,23.6
"Ashford School District","=""0030011""",10,2.3,21.3,12,3.0,24.0,14,3.6,29.8,12,3.2,25.5,12,3.3,27.3
"Avon School District","=""0040011""",77,2.2,20.8,76,2.2,21.3,72,2.1,20.7,63,1.9,20.1,54,1.6,18.6
"Barkhamsted School District","=""0050011""","*","*","*","*","*","*","*","*","*",7,2.3,18.9,"*","*","*"
"Berlin School District","=""0070011""",52,1.7,17.7,58,1.9,19.4,56,1.8,18.4,53,1.8,16.8,57,1.9,17.0
"Bethany School District","=""0080011""",8,1.7,12.7,8,1.7,14.8,10,2.4,19.2,10,2.6,18.2,7,1.9,14.6
"Bethel School District","=""0090011""",44,1.5,14.0,54,1.8,16.9,62,2.1,19.6,61,2.1,18.9,58,2.0,18.3
"Bloomfield School District","=""0110011""",24,1.1,10.0,24,1.1,10.7,33,1.6,14.0,45,2.1,16.2,50,2.3,15.9
"Bolton School District","=""0120011""",23,2.8,26.4,27,3.3,31.4,23,2.8,27.1,28,3.5,30.4,25,3.2,28.7
"Bozrah School District","=""0130011""",8,2.4,19.5,7,2.1,17.5,"*","*","*","*","*","*",8,2.7,24.2
"Branford School District","=""0140011""",100,3.0,22.1,106,3.2,23.7,104,3.2,24.8,107,3.5,26.0,111,3.7,26.6
"Bridgeport School District","=""0150011""",402,1.9,14.7,450,2.1,16.2,484,2.2,17.2,558,2.5,17.6,596,2.6,17.7
"Bristol School District","=""0170011""",300,3.6,24.8,301,3.6,24.4,317,3.8,24.5,328,4.0,24.1,327,4.0,23.7
"Brookfield School District","=""0180011""",53,1.9,21.4,71,2.5,24.3,83,3.0,26.3,81,3.0,25.1,76,2.8,22.7
"Brooklyn School District","=""0190011""",20,1.7,14.8,22,1.8,15.5,22,1.9,15.6,16,1.4,12.6,11,1.0,8.6
"Canaan School District","=""0210011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",19,2.7,27.1,18,2.6,26.9,19,2.9,28.4,17,2.6,23.9,15,2.3,21.7
"Canton School District","=""0230011""",40,2.3,24.5,38,2.2,24.7,38,2.2,23.0,35,2.1,20.1,36,2.2,19.9
"Chaplin School District","=""0240011""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""",115,2.4,24.6,123,2.7,26.6,115,2.5,24.6,119,2.6,25.2,129,2.9,26.7
"Chester School District","=""0260011""",7,2.7,21.2,9,3.6,20.9,7,3.1,20.0,"*","*","*","*","*","*"
"Clinton School District","=""0270011""",37,1.9,17.4,40,2.0,20.4,49,2.5,24.1,50,2.6,24.8,50,2.7,24.5
"Colchester School District","=""0280011""",37,1.2,10.7,51,1.8,14.8,59,2.1,16.3,54,2.0,15.0,56,2.2,15.3
"Colebrook School District","=""0290011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",16,2.2,28.1,18,2.5,26.1,19,2.7,27.5,23,3.3,30.7,30,4.4,33.0
"Connecticut Technical High School System","=""9000016""",203,1.9,26.7,208,2.0,26.1,227,2.1,25.8,248,2.3,25.7,271,2.5,26.6
"Cornwall School District","=""0310011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",16,0.9,7.8,24,1.3,11.4,30,1.7,14.1,35,2.0,17.1,39,2.3,18.8
"Cromwell School District","=""0330011""",30,1.5,14.8,21,1.0,10.6,24,1.2,11.7,32,1.6,15.0,31,1.5,14.0
"Danbury School District","=""0340011""",170,1.7,15.7,171,1.7,15.2,181,1.7,15.1,192,1.8,15.5,205,1.9,15.7
"Darien School District","=""0350011""",152,3.2,26.1,155,3.2,26.6,148,3.0,28.4,159,3.3,28.8,180,3.7,30.7
"Deep River School District","=""0360011""",7,1.9,17.9,8,2.3,19.5,9,2.7,20.9,14,4.4,29.2,14,4.6,32.6
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*",0,0,0,0,0,0,"*","*","*","*","*","*"
"Derby School District","=""0370011""",21,1.4,13.0,28,1.8,14.9,45,2.8,22.0,51,3.3,23.9,45,3.0,21.7
"East Granby School District","=""0400011""",20,2.3,23.5,17,1.9,18.7,12,1.3,14.3,15,1.7,16.1,15,1.7,15.0
"East Haddam School District","=""0410011""",24,1.9,14.8,25,2.0,15.6,26,2.2,14.9,25,2.2,14.7,24,2.2,14.8
"East Hampton School District","=""0420011""",26,1.3,18.2,22,1.1,14.5,21,1.1,13.6,24,1.3,15.4,25,1.3,15.7
"East Hartford School District","=""0430011""",189,2.4,17.3,204,2.6,18.7,232,3.0,20.8,231,2.9,20.9,255,3.3,22.2
"East Haven School District","=""0440011""",87,2.4,20.1,85,2.4,19.2,80,2.4,18.4,72,2.2,16.9,75,2.3,17.1
"East Lyme School District","=""0450011""",82,3.0,24.6,79,2.9,24.2,78,2.9,23.3,76,2.9,22.2,75,2.9,22.9
"East Windsor School District","=""0470011""",29,2.2,17.5,35,2.6,17.2,33,2.5,16.7,30,2.4,13.8,27,2.3,14.1
"Eastford School District","=""0390011""","*","*","*",7,3.3,25.0,"*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""",17,1.6,22.7,16,1.6,21.3,15,1.6,17.6,11,1.2,12.4,16,1.8,18.8
"Ellington School District","=""0480011""",22,0.8,8.1,34,1.2,11.8,28,1.0,9.5,34,1.3,11.8,49,1.8,16.6
"Enfield School District","=""0490011""",79,1.4,10.5,101,1.8,13.5,103,1.9,13.7,107,2.0,14.0,108,2.0,13.9
"Essex School District","=""0500011""",7,1.3,16.7,12,2.5,27.3,7,1.5,15.6,7,1.7,11.9,8,2.2,14.8
"Fairfield School District","=""0510011""",241,2.4,22.8,254,2.5,23.0,250,2.4,23.1,254,2.5,23.2,260,2.6,24.4
"Farmington School District","=""0520011""",81,2.0,20.1,103,2.5,23.5,108,2.7,24.8,102,2.5,21.9,104,2.6,21.8
"Franklin School District","=""0530011""","*","*","*",8,2.9,24.2,6,2.3,17.6,6,2.4,18.8,9,3.7,29.0
"Glastonbury School District","=""0540011""",154,2.3,25.0,163,2.4,26.9,171,2.6,27.9,152,2.4,24.6,154,2.5,24.1
"Granby School District","=""0560011""",42,1.9,22.3,43,2.1,23.5,51,2.5,26.6,59,3.0,29.6,67,3.5,31.2
"Greenwich School District","=""0570011""",152,1.8,17.7,171,2.0,19.7,156,1.8,18.3,146,1.7,16.6,163,1.9,18.3
"Griswold School District","=""0580011""",52,2.9,23.2,57,3.2,23.9,63,3.5,24.8,62,3.6,25.2,62,3.6,25.6
"Groton School District","=""0590011""",102,2.0,14.9,102,2.1,14.4,109,2.2,15.0,104,2.2,14.3,113,2.4,15.3
"Guilford School District","=""0600011""",71,1.9,19.0,76,2.1,20.7,86,2.4,23.1,81,2.4,20.7,88,2.6,22.2
"Hamden School District","=""0620011""",160,2.4,19.7,163,2.4,20.2,168,2.5,19.2,195,3.0,20.5,205,3.2,20.0
"Hampton School District","=""0630011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""",381,1.9,12.1,486,2.4,14.3,563,2.8,16.5,626,3.1,17.6,687,3.4,18.4
"Hartland School District","=""0650011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""",11,1.1,10.4,17,1.8,16.0,16,1.9,16.8,14,1.8,13.3,15,2.1,17.0
"Kent School District","=""0680011""","*","*","*",0,0,0,0,0,0,0,0,0,"*","*","*"
"Killingly School District","=""0690011""",75,3.0,20.9,89,3.6,24.3,89,3.7,23.5,93,4.1,23.4,92,4.0,23.5
"Lebanon School District","=""0710011""",22,1.9,15.7,27,2.4,17.9,29,2.6,18.6,28,2.7,17.8,28,2.8,19.7
"Ledyard School District","=""0720011""",59,2.4,18.8,72,2.9,21.6,76,3.1,22.1,85,3.5,24.0,99,4.2,27.6
"Lisbon School District","=""0730011""",15,2.4,18.1,14,2.3,17.3,18,2.9,21.2,13,2.2,18.6,13,2.3,20.3
"Litchfield School District","=""0740011""",25,2.2,20.7,26,2.5,21.7,22,2.2,20.0,27,2.8,23.7,25,2.6,22.1
"Madison School District","=""0760011""",91,2.6,26.0,95,2.8,27.0,100,3.1,27.9,100,3.2,27.5,103,3.4,29.1
"Manchester School District","=""0770011""",150,2.1,15.3,164,2.3,17.4,166,2.3,18.6,171,2.4,19.2,171,2.4,19.6
"Mansfield School District","=""0780011""",29,2.3,19.1,23,1.9,16.3,22,1.9,15.7,23,2.0,16.1,22,1.9,16.1
"Marlborough School District","=""0790011""",9,1.4,18.4,6,0.9,10.3,6,1.0,11.5,6,1.0,13.0,6,1.1,14.3
"Meriden School District","=""0800011""",240,2.7,18.9,239,2.7,18.5,284,3.2,20.1,303,3.4,20.4,319,3.7,21.1
"Middletown School District","=""0830011""",113,2.2,18.3,96,1.9,16.2,109,2.1,18.1,124,2.5,19.5,123,2.5,19.1
"Milford School District","=""0840011""",208,3.0,25.3,215,3.2,25.9,199,3.1,24.8,204,3.2,26.8,206,3.3,27.5
"Monroe School District","=""0850011""",76,2.1,22.2,78,2.2,21.4,77,2.3,21.5,74,2.2,21.1,93,2.9,26.3
"Montville School District","=""0860011""",55,2.1,19.6,60,2.4,20.9,52,2.1,18.6,59,2.4,20.8,68,2.9,20.6
"Naugatuck School District","=""0880011""",123,2.7,22.0,129,2.8,22.2,134,3.0,22.2,142,3.2,22.2,157,3.6,23.3
"New Britain School District","=""0890011""",324,3.0,21.2,353,3.2,22.0,338,3.1,20.7,372,3.4,22.1,405,3.6,23.1
"New Canaan School District","=""0900011""",87,2.1,21.8,78,1.9,20.3,66,1.6,18.2,76,1.8,19.7,84,2.0,20.9
"New Fairfield School District","=""0910011""",62,2.2,22.2,66,2.4,24.1,66,2.5,25.7,60,2.4,24.8,60,2.5,26.1
"New Hartford School District","=""0920011""",10,1.7,16.7,13,2.3,22.8,10,1.9,18.9,10,2.0,18.9,11,2.3,19.6
"New Haven School District","=""0930011""",434,2.4,19.6,479,2.6,20.5,491,2.6,20.3,543,2.8,20.6,572,2.9,20.6
"New London School District","=""0950011""",138,4.0,23.4,144,4.2,23.1,147,4.3,22.8,138,4.0,20.8,142,4.0,21.5
"New Milford School District","=""0960011""",149,3.3,24.4,145,3.2,24.5,134,3.1,23.0,129,3.0,22.9,137,3.3,24.6
"Newington School District","=""0940011""",70,1.6,13.5,73,1.7,13.5,82,1.9,15.4,79,1.9,15.0,74,1.8,14.4
"Newtown School District","=""0970011""",65,1.2,16.0,66,1.3,16.7,68,1.4,16.7,92,1.9,21.0,102,2.2,21.6
"Norfolk School District","=""0980011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""",40,1.8,15.2,52,2.4,18.6,52,2.5,18.0,50,2.5,17.3,59,3.1,21.2
"North Canaan School District","=""1000011""","*","*","*",6,2.0,14.0,"*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""",57,1.6,16.6,68,1.9,19.3,66,1.9,17.8,68,2.0,17.6,60,1.9,16.8
"North Stonington School District","=""1020011""",21,2.8,29.2,15,2.0,22.1,20,2.7,30.8,15,2.0,23.4,18,2.5,27.3
"Norwalk School District","=""1030011""",198,1.8,18.1,237,2.1,20.0,225,2.0,18.4,243,2.1,18.5,259,2.2,18.2
"Norwich School District","=""1040011""",161,2.9,18.7,183,3.3,20.5,176,3.2,20.1,179,3.2,19.6,180,3.3,20.6
"Old Saybrook School District","=""1060011""",57,3.8,30.8,66,4.6,32.2,59,4.3,28.1,55,4.0,27.6,46,3.5,26.1
"Orange School District","=""1070011""",19,1.5,14.8,19,1.5,17.0,17,1.5,15.6,15,1.3,14.7,11,1.0,11.6
"Oxford School District","=""1080011""",22,1.0,16.4,31,1.5,20.1,50,2.4,24.0,60,3.0,25.9,64,3.2,26.1
"Plainfield School District","=""1090011""",53,2.2,17.6,54,2.3,18.4,60,2.6,21.7,64,2.9,20.8,62,2.8,20.6
"Plainville School District","=""1100011""",78,3.2,25.3,83,3.5,26.6,89,3.8,27.3,80,3.4,25.4,77,3.2,25.3
"Plymouth School District","=""1110011""",61,3.4,25.4,63,3.6,25.5,56,3.3,24.0,62,3.7,26.5,65,4.0,27.5
"Pomfret School District","=""1120011""",7,1.1,9.0,11,1.7,16.4,8,1.3,12.3,7,1.2,12.5,9,1.5,13.8
"Portland School District","=""1130011""",23,1.6,20.4,29,2.1,23.4,27,1.9,21.3,21,1.5,15.3,21,1.5,15.0
"Preston School District","=""1140011""",23,3.7,25.0,17,2.8,20.7,18,2.9,19.8,19,3.2,18.4,22,3.6,22.4
"Putnam School District","=""1160011""",18,1.5,10.7,14,1.2,8.0,18,1.5,9.4,18,1.5,10.0,23,2.0,12.1
"Redding School District","=""1170011""",38,3.3,25.7,33,3.0,24.6,34,3.4,26.2,28,2.9,22.4,30,3.3,25.9
"Regional School District 01","=""2010012""",11,2.3,16.9,11,2.6,19.0,9,2.1,14.8,8,2.0,11.8,8,1.9,11.4
"Regional School District 04","=""2040012""",33,3.4,24.1,30,3.0,21.6,34,3.4,23.4,30,3.0,22.7,34,3.6,23.8
"Regional School District 05","=""2050012""",67,2.7,24.0,65,2.7,23.4,61,2.5,22.7,61,2.6,22.6,60,2.6,21.7
"Regional School District 06","=""2060012""",24,2.6,20.5,23,2.6,20.7,21,2.5,18.9,19,2.4,17.6,21,2.7,17.8
"Regional School District 07","=""2070012""",31,2.9,23.1,19,1.8,16.8,19,1.8,15.7,18,1.8,15.5,20,1.9,16.7
"Regional School District 08","=""2080012""",81,4.3,34.0,75,4.0,33.0,74,4.0,33.6,73,4.1,33.0,61,3.6,30.2
"Regional School District 09","=""2090012""",42,4.1,33.6,42,4.0,34.1,39,3.6,31.2,41,3.8,33.9,39,3.7,30.0
"Regional School District 10","=""2100012""",52,1.9,19.8,52,2.0,19.8,52,2.0,20.6,51,2.0,20.2,47,1.9,19.0
"Regional School District 11","=""2110012""",20,6.0,28.6,17,5.2,24.6,13,4.1,20.6,15,4.8,21.1,18,6.3,29.5
"Regional School District 12","=""2120012""",28,3.2,21.7,29,3.6,23.0,30,3.9,23.8,26,3.7,22.6,27,4.0,24.1
"Regional School District 13","=""2130012""",60,3.0,21.9,57,2.9,20.5,53,2.8,19.4,50,2.8,19.2,49,2.8,19.5
"Regional School District 14","=""2140012""",43,2.4,20.9,42,2.5,21.0,38,2.3,20.7,37,2.4,21.1,34,2.3,20.6
"Regional School District 15","=""2150012""",89,2.1,17.6,88,2.1,17.7,84,2.1,17.9,79,2.0,16.7,93,2.5,18.6
"Regional School District 16","=""2160012""",56,2.3,22.4,55,2.3,20.7,63,2.7,22.0,68,3.0,21.5,65,2.9,20.6
"Regional School District 17","=""2170012""",67,2.8,21.5,67,3.0,21.5,76,3.4,23.8,74,3.4,22.6,79,3.7,22.8
"Regional School District 18","=""2180012""",23,1.6,15.0,24,1.7,15.2,29,2.1,18.0,30,2.3,18.2,25,1.9,15.8
"Regional School District 19","=""2190012""",51,4.5,28.8,55,5.0,31.6,47,4.6,28.1,46,4.6,27.9,43,4.4,24.9
"Ridgefield School District","=""1180011""",45,0.8,10.7,56,1.1,12.6,69,1.3,15.3,78,1.5,16.7,74,1.5,16.4
"Rocky Hill School District","=""1190011""",34,1.3,16.0,35,1.4,16.1,45,1.8,19.9,52,2.0,21.6,56,2.0,21.4
"Salem School District","=""1210011""",12,1.7,20.7,14,2.0,22.6,13,2.0,19.4,12,1.9,15.6,21,3.4,22.3
"Salisbury School District","=""1220011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Scotland School District","=""1230011""",6,5.0,26.1,"*","*","*",7,6.1,35.0,8,7.1,40.0,"*","*","*"
"Seymour School District","=""1240011""",30,1.3,12.7,32,1.4,13.2,35,1.5,13.7,34,1.5,12.7,31,1.4,11.6
"Sharon School District","=""1250011""","*","*","*","*","*","*",6,3.8,17.1,6,3.8,18.2,"*","*","*"
"Shelton School District","=""1260011""",111,2.1,20.6,108,2.1,19.0,113,2.2,18.6,111,2.2,17.8,108,2.1,16.7
"Sherman School District","=""1270011""",15,2.7,21.7,13,2.4,18.8,10,1.9,15.2,14,2.7,19.4,14,2.9,22.6
"Simsbury School District","=""1280011""",113,2.4,20.5,124,2.7,23.2,124,2.8,23.1,134,3.1,23.8,142,3.3,25.9
"Somers School District","=""1290011""",21,1.3,12.8,20,1.3,12.1,20,1.3,11.7,28,1.9,17.5,40,2.8,24.5
"South Windsor School District","=""1320011""",179,4.0,34.8,183,4.2,34.0,173,3.9,31.2,158,3.6,28.9,138,3.2,26.0
"Southington School District","=""1310011""",147,2.2,20.4,160,2.4,20.7,168,2.5,21.5,190,2.9,24.0,206,3.1,26.4
"Sprague School District","=""1330011""",9,2.0,22.0,12,2.7,30.0,10,2.3,22.2,15,3.4,25.0,16,3.5,23.9
"Stafford School District","=""1340011""",26,1.5,15.5,31,1.9,16.9,37,2.4,20.3,37,2.4,20.0,42,2.8,22.1
"Stamford School District","=""1350011""",232,1.5,15.9,263,1.7,17.2,314,2.0,18.9,327,2.1,18.8,360,2.3,19.9
"Sterling School District","=""1360011""",9,1.5,13.0,13,2.1,14.3,"*","*","*",12,2.0,15.4,19,3.3,24.4
"Stonington School District","=""1370011""",47,1.9,15.5,54,2.2,17.7,63,2.7,20.5,78,3.4,23.4,70,3.2,21.1
"Stratford School District","=""1380011""",185,2.5,26.5,191,2.6,26.5,197,2.7,26.1,203,2.8,26.0,210,2.9,25.0
"Suffield School District","=""1390011""",49,2.0,19.8,44,1.9,17.8,52,2.2,21.3,55,2.4,23.7,57,2.5,23.1
"Thomaston School District","=""1400011""",34,2.9,24.8,30,2.6,21.0,27,2.5,19.4,22,2.2,16.1,21,2.1,14.7
"Thompson School District","=""1410011""",36,3.0,27.3,29,2.5,22.5,25,2.3,21.2,17,1.6,13.9,16,1.6,12.9
"Tolland School District","=""1420011""",62,2.1,19.9,61,2.1,19.4,57,2.1,19.2,53,1.9,17.1,65,2.4,20.9
"Torrington School District","=""1430011""",134,2.9,17.4,132,2.9,18.1,150,3.3,20.4,162,3.6,21.4,181,4.1,22.2
"Trumbull School District","=""1440011""",136,2.0,24.1,151,2.3,25.2,156,2.4,25.9,165,2.5,26.0,167,2.6,24.6
"Unified School District #1","=""3360015""",63,8.5,21.3,44,6.9,18.0,56,10.4,24.0,36,8.8,20.6,39,10.0,23.4
"Unified School District #2","=""3470015""",24,9.1,12.1,30,13.2,17.1,27,11.8,17.4,26,12.1,17.3,21,12.1,15.6
"Union School District","=""1450011""",6,5.9,54.5,"*","*","*","*","*","*","*","*","*","*","*","*"
