"Primary Disability (K-12), Trend"
"All Districts, Speech Language Impairment"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",6,2.1,30.0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",43,1.6,14.4,39,1.5,12.5,46,1.9,13.6,59,2.3,14.2,62,2.5,13.8
"Ashford School District","=""0030011""",17,3.9,36.2,13,3.2,26.0,11,2.8,23.4,11,2.9,23.4,8,2.2,18.2
"Avon School District","=""0040011""",80,2.3,21.6,71,2.1,19.9,66,1.9,19.0,56,1.7,17.9,50,1.5,17.2
"Barkhamsted School District","=""0050011""",10,2.9,34.5,14,4.2,37.8,16,5.4,44.4,13,4.3,35.1,11,4.2,31.4
"Berlin School District","=""0070011""",79,2.6,26.9,79,2.6,26.4,77,2.5,25.2,71,2.4,22.5,74,2.5,22.1
"Bethany School District","=""0080011""",17,3.5,27.0,13,2.8,24.1,12,2.8,23.1,14,3.6,25.5,16,4.3,33.3
"Bethel School District","=""0090011""",48,1.6,15.3,47,1.6,14.7,39,1.3,12.3,42,1.5,13.0,37,1.3,11.7
"Bloomfield School District","=""0110011""",54,2.4,22.4,45,2.1,20.1,41,1.9,17.4,43,2.0,15.5,49,2.3,15.6
"Bolton School District","=""0120011""",8,1.0,9.2,11,1.3,12.8,14,1.7,16.5,20,2.5,21.7,12,1.5,13.8
"Bozrah School District","=""0130011""",8,2.4,19.5,"*","*","*","*","*","*","*","*","*",0,0,0
"Branford School District","=""0140011""",98,2.9,21.7,82,2.5,18.3,77,2.4,18.4,69,2.2,16.7,71,2.3,17.0
"Bridgeport School District","=""0150011""",431,2.0,15.8,402,1.9,14.4,383,1.7,13.6,382,1.7,12.0,356,1.6,10.6
"Bristol School District","=""0170011""",220,2.6,18.2,193,2.3,15.7,165,2.0,12.8,152,1.8,11.2,124,1.5,9.0
"Brookfield School District","=""0180011""",44,1.5,17.7,45,1.6,15.4,45,1.6,14.2,44,1.6,13.6,39,1.4,11.6
"Brooklyn School District","=""0190011""",22,1.8,16.3,21,1.8,14.8,20,1.7,14.2,23,2.0,18.1,26,2.3,20.3
"Canaan School District","=""0210011""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Canterbury School District","=""0220011""",8,1.1,11.4,7,1.0,10.4,"*","*","*",7,1.1,9.9,8,1.2,11.6
"Canton School District","=""0230011""",21,1.2,12.9,18,1.0,11.7,17,1.0,10.3,13,0.8,7.5,18,1.1,9.9
"Chaplin School District","=""0240011""",9,5.9,60.0,"*","*","*","*","*","*","*","*","*",7,4.1,25.9
"Cheshire School District","=""0250011""",66,1.4,14.1,64,1.4,13.8,70,1.5,15.0,65,1.4,13.7,56,1.3,11.6
"Chester School District","=""0260011""",7,2.7,21.2,8,3.2,18.6,8,3.5,22.9,9,4.1,25.7,7,3.3,20.6
"Clinton School District","=""0270011""",47,2.4,22.1,38,1.9,19.4,35,1.8,17.2,33,1.7,16.3,28,1.5,13.7
"Colchester School District","=""0280011""",108,3.6,31.2,86,3.0,24.9,84,3.0,23.3,94,3.5,26.0,103,4.0,28.1
"Colebrook School District","=""0290011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",7,1.0,12.3,8,1.1,11.6,"*","*","*",6,0.9,8.0,6,0.9,6.6
"Connecticut Technical High School System","=""9000016""",46,0.4,6.1,46,0.4,5.8,50,0.5,5.7,47,0.4,4.9,49,0.5,4.8
"Cornwall School District","=""0310011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",32,1.7,15.7,42,2.3,19.9,35,2.0,16.4,25,1.4,12.2,"*","*","*"
"Cromwell School District","=""0330011""",61,3.0,30.0,54,2.7,27.1,53,2.6,25.9,44,2.2,20.6,51,2.5,23.0
"Danbury School District","=""0340011""",155,1.5,14.3,156,1.5,13.9,130,1.2,10.9,139,1.3,11.2,154,1.4,11.8
"Darien School District","=""0350011""",123,2.6,21.1,115,2.4,19.7,96,2.0,18.4,104,2.1,18.8,109,2.3,18.6
"Deep River School District","=""0360011""","*","*","*",7,2.0,17.1,"*","*","*",6,1.9,12.5,"*","*","*"
"Derby School District","=""0370011""",55,3.6,34.0,64,4.1,34.0,53,3.3,25.9,39,2.5,18.3,43,2.9,20.8
"East Granby School District","=""0400011""",17,1.9,20.0,17,1.9,18.7,18,2.0,21.4,21,2.3,22.6,19,2.1,19.0
"East Haddam School District","=""0410011""",51,4.0,31.5,46,3.6,28.8,48,4.0,27.6,47,4.1,27.6,48,4.4,29.6
"East Hampton School District","=""0420011""",35,1.8,24.5,48,2.5,31.6,46,2.4,29.9,35,1.8,22.4,36,1.9,22.6
"East Hartford School District","=""0430011""",276,3.5,25.3,261,3.4,24.0,233,3.0,20.8,201,2.6,18.2,170,2.2,14.8
"East Haven School District","=""0440011""",109,3.1,25.2,101,2.9,22.9,95,2.8,21.8,83,2.5,19.4,68,2.1,15.5
"East Lyme School District","=""0450011""",30,1.1,9.0,34,1.3,10.4,35,1.3,10.4,43,1.7,12.5,41,1.6,12.5
"East Windsor School District","=""0470011""",20,1.5,12.0,24,1.8,11.8,27,2.1,13.6,30,2.4,13.8,24,2.0,12.6
"Eastford School District","=""0390011""",13,5.7,44.8,8,3.7,28.6,8,4.0,36.4,9,4.8,40.9,9,5.1,36.0
"Easton School District","=""0460011""",15,1.4,20.0,14,1.4,18.7,16,1.7,18.8,20,2.2,22.5,19,2.1,22.4
"Ellington School District","=""0480011""",37,1.3,13.6,36,1.3,12.5,32,1.2,10.8,27,1.0,9.3,"*","*","*"
"Enfield School District","=""0490011""",180,3.1,24.0,174,3.1,23.3,172,3.2,22.9,147,2.7,19.3,143,2.7,18.4
"Essex School District","=""0500011""",18,3.4,42.9,16,3.3,36.4,20,4.4,44.4,22,5.4,37.3,16,4.4,29.6
"Fairfield School District","=""0510011""",201,2.0,19.0,220,2.2,19.9,218,2.1,20.1,224,2.2,20.4,208,2.1,19.5
"Farmington School District","=""0520011""",76,1.9,18.9,74,1.8,16.9,63,1.6,14.4,72,1.8,15.5,80,2.0,16.7
"Franklin School District","=""0530011""",8,2.9,25.8,7,2.6,21.2,8,3.1,23.5,7,2.8,21.9,"*","*","*"
"Glastonbury School District","=""0540011""",104,1.5,16.9,85,1.3,14.0,91,1.4,14.8,94,1.5,15.2,94,1.5,14.7
"Granby School District","=""0560011""",41,1.9,21.8,32,1.5,17.5,28,1.4,14.6,22,1.1,11.1,26,1.3,12.1
"Greenwich School District","=""0570011""",193,2.2,22.4,162,1.9,18.7,155,1.8,18.1,161,1.9,18.3,135,1.6,15.1
"Griswold School District","=""0580011""",33,1.8,14.7,36,2.0,15.1,42,2.3,16.5,38,2.2,15.4,30,1.7,12.4
"Groton School District","=""0590011""",121,2.4,17.7,125,2.5,17.7,111,2.3,15.2,102,2.1,14.0,127,2.7,17.2
"Guilford School District","=""0600011""",48,1.3,12.8,43,1.2,11.7,39,1.1,10.5,53,1.5,13.5,45,1.3,11.3
"Hamden School District","=""0620011""",161,2.4,19.8,148,2.2,18.3,152,2.3,17.4,168,2.6,17.7,173,2.7,16.9
"Hampton School District","=""0630011""","*","*","*",9,9.2,50.0,6,6.1,40.0,"*","*","*",7,7.4,43.8
"Hartford School District","=""0640011""",427,2.1,13.6,505,2.5,14.9,508,2.5,14.9,504,2.5,14.2,555,2.7,14.9
"Hartland School District","=""0650011""",14,4.5,45.2,11,3.7,37.9,9,3.2,28.1,9,3.4,27.3,8,3.0,22.9
"Hebron School District","=""0670011""",41,4.1,38.7,35,3.8,33.0,28,3.3,29.5,32,4.2,30.5,24,3.4,27.3
"Kent School District","=""0680011""",9,3.4,29.0,"*","*","*","*","*","*","*","*","*",7,3.1,28.0
"Killingly School District","=""0690011""",72,2.9,20.1,66,2.7,18.0,61,2.6,16.1,56,2.4,14.1,52,2.3,13.3
"Lebanon School District","=""0710011""",30,2.6,21.4,28,2.5,18.5,24,2.2,15.4,27,2.6,17.2,12,1.2,8.5
"Ledyard School District","=""0720011""",52,2.1,16.6,51,2.1,15.3,49,2.0,14.2,47,2.0,13.3,"*","*","*"
"Lisbon School District","=""0730011""",22,3.5,26.5,23,3.7,28.4,25,4.1,29.4,22,3.7,31.4,16,2.8,25.0
"Litchfield School District","=""0740011""",34,3.0,28.1,27,2.6,22.5,21,2.1,19.1,19,1.9,16.7,15,1.6,13.3
"Madison School District","=""0760011""",27,0.8,7.7,25,0.7,7.1,24,0.7,6.7,22,0.7,6.0,28,0.9,7.9
"Manchester School District","=""0770011""",206,2.9,21.0,189,2.7,20.1,167,2.4,18.7,151,2.1,16.9,152,2.1,17.4
"Mansfield School District","=""0780011""",24,1.9,15.8,24,2.0,17.0,30,2.5,21.4,27,2.3,18.9,28,2.4,20.4
"Marlborough School District","=""0790011""",7,1.1,14.3,9,1.4,15.5,8,1.3,15.4,9,1.5,19.6,8,1.5,19.0
"Meriden School District","=""0800011""",171,1.9,13.5,149,1.7,11.5,141,1.6,10.0,129,1.5,8.7,125,1.4,8.3
"Middletown School District","=""0830011""",136,2.6,22.0,137,2.7,23.1,129,2.5,21.4,112,2.2,17.6,110,2.2,17.1
"Milford School District","=""0840011""",215,3.1,26.2,210,3.1,25.3,203,3.1,25.3,168,2.7,22.1,153,2.5,20.4
"Monroe School District","=""0850011""",51,1.4,14.9,67,1.9,18.4,69,2.0,19.3,60,1.8,17.1,41,1.3,11.6
"Montville School District","=""0860011""",51,2.0,18.1,59,2.4,20.6,53,2.1,18.9,55,2.3,19.4,60,2.5,18.2
"Naugatuck School District","=""0880011""",79,1.7,14.1,79,1.7,13.6,69,1.5,11.4,70,1.6,10.9,73,1.7,10.8
"New Britain School District","=""0890011""",173,1.6,11.3,180,1.7,11.2,176,1.6,10.8,188,1.7,11.1,187,1.7,10.7
"New Canaan School District","=""0900011""",120,2.9,30.1,113,2.7,29.4,109,2.6,30.1,104,2.5,26.9,96,2.3,23.9
"New Fairfield School District","=""0910011""",55,2.0,19.7,53,2.0,19.3,52,2.0,20.2,40,1.6,16.5,35,1.4,15.2
"New Hartford School District","=""0920011""",29,5.0,48.3,20,3.5,35.1,16,3.0,30.2,11,2.2,20.8,12,2.5,21.4
"New Haven School District","=""0930011""",307,1.7,13.9,274,1.5,11.7,250,1.3,10.3,253,1.3,9.6,257,1.3,9.3
"New London School District","=""0950011""",107,3.1,18.1,97,2.8,15.6,113,3.3,17.5,95,2.7,14.3,81,2.3,12.3
"New Milford School District","=""0960011""",91,2.0,14.9,72,1.6,12.2,63,1.4,10.8,56,1.3,9.9,48,1.2,8.6
"Newington School District","=""0940011""",87,2.0,16.7,85,1.9,15.7,74,1.7,13.9,65,1.5,12.3,59,1.4,11.5
"Newtown School District","=""0970011""",95,1.8,23.4,86,1.7,21.7,92,1.9,22.7,78,1.6,17.8,71,1.5,15.0
"Norfolk School District","=""0980011""",8,7.4,50.0,7,6.4,38.9,8,8.0,47.1,8,7.8,40.0,8,7.6,50.0
"North Branford School District","=""0990011""",81,3.6,30.7,70,3.3,25.0,57,2.7,19.7,61,3.0,21.1,47,2.4,16.9
"North Canaan School District","=""1000011""",16,5.6,42.1,15,5.0,34.9,15,5.3,34.1,13,4.8,28.9,11,4.4,24.4
"North Haven School District","=""1010011""",51,1.4,14.9,47,1.3,13.3,46,1.3,12.4,45,1.3,11.7,34,1.1,9.5
"North Stonington School District","=""1020011""",18,2.4,25.0,16,2.2,23.5,15,2.0,23.1,11,1.5,17.2,14,1.9,21.2
"Norwalk School District","=""1030011""",222,2.0,20.3,226,2.0,19.0,206,1.8,16.9,228,2.0,17.3,245,2.1,17.2
"Norwich School District","=""1040011""",136,2.5,15.8,150,2.7,16.8,158,2.9,18.1,154,2.8,16.8,131,2.4,15.0
"Old Saybrook School District","=""1060011""",33,2.2,17.8,37,2.6,18.0,30,2.2,14.3,28,2.0,14.1,28,2.1,15.9
"Orange School District","=""1070011""",49,3.9,38.3,36,2.9,32.1,32,2.7,29.4,30,2.6,29.4,28,2.4,29.5
"Oxford School District","=""1080011""",21,1.0,15.7,17,0.8,11.0,34,1.6,16.3,40,2.0,17.2,46,2.3,18.8
"Plainfield School District","=""1090011""",47,1.9,15.6,40,1.7,13.7,34,1.5,12.3,42,1.9,13.6,30,1.4,10.0
"Plainville School District","=""1100011""",46,1.9,14.9,46,1.9,14.7,44,1.9,13.5,49,2.1,15.6,44,1.8,14.5
"Plymouth School District","=""1110011""",32,1.8,13.3,36,2.1,14.6,31,1.8,13.3,37,2.2,15.8,38,2.3,16.1
"Pomfret School District","=""1120011""",19,2.9,24.4,10,1.5,14.9,11,1.8,16.9,10,1.7,17.9,11,1.9,16.9
"Portland School District","=""1130011""",23,1.6,20.4,18,1.3,14.5,23,1.6,18.1,25,1.8,18.2,19,1.4,13.6
"Preston School District","=""1140011""",25,4.1,27.2,26,4.2,31.7,30,4.9,33.0,35,5.8,34.0,33,5.4,33.7
"Putnam School District","=""1160011""",36,3.0,21.4,24,2.0,13.8,27,2.3,14.1,22,1.9,12.2,23,2.0,12.1
"Redding School District","=""1170011""",45,3.9,30.4,42,3.9,31.3,43,4.2,33.1,43,4.5,34.4,41,4.5,35.3
"Regional School District 01","=""2010012""","*","*","*",0,0,0,"*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""",16,1.6,11.7,12,1.2,8.6,8,0.8,5.5,6,0.6,4.5,8,0.8,5.6
"Regional School District 05","=""2050012""",37,1.5,13.3,41,1.7,14.7,33,1.4,12.3,33,1.4,12.2,38,1.7,13.7
"Regional School District 06","=""2060012""",17,1.8,14.5,12,1.4,10.8,10,1.2,9.0,11,1.4,10.2,14,1.8,11.9
"Regional School District 07","=""2070012""",14,1.3,10.4,13,1.2,11.5,9,0.8,7.4,10,1.0,8.6,10,1.0,8.3
"Regional School District 08","=""2080012""",19,1.0,8.0,17,0.9,7.5,13,0.7,5.9,9,0.5,4.1,7,0.4,3.5
"Regional School District 09","=""2090012""",16,1.6,12.8,14,1.3,11.4,12,1.1,9.6,12,1.1,9.9,9,0.9,6.9
"Regional School District 10","=""2100012""",38,1.4,14.4,39,1.5,14.9,36,1.4,14.3,30,1.2,11.9,27,1.1,10.9
"Regional School District 11","=""2110012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""",21,2.4,16.3,13,1.6,10.3,12,1.6,9.5,15,2.1,13.0,15,2.2,13.4
"Regional School District 13","=""2130012""",62,3.1,22.6,60,3.1,21.6,55,2.9,20.1,50,2.8,19.2,50,2.9,19.9
"Regional School District 14","=""2140012""",44,2.5,21.4,36,2.1,18.0,25,1.5,13.6,20,1.3,11.4,15,1.0,9.1
"Regional School District 15","=""2150012""",90,2.1,17.8,87,2.1,17.5,67,1.7,14.3,72,1.9,15.2,73,1.9,14.6
"Regional School District 16","=""2160012""",47,1.9,18.8,53,2.2,19.9,58,2.5,20.2,75,3.3,23.7,75,3.3,23.7
"Regional School District 17","=""2170012""",42,1.8,13.5,30,1.3,9.6,31,1.4,9.7,32,1.5,9.8,34,1.6,9.8
"Regional School District 18","=""2180012""",30,2.1,19.6,35,2.5,22.2,29,2.1,18.0,30,2.3,18.2,28,2.1,17.7
"Regional School District 19","=""2190012""",10,0.9,5.6,9,0.8,5.2,7,0.7,4.2,8,0.8,4.8,11,1.1,6.4
"Ridgefield School District","=""1180011""",65,1.2,15.5,71,1.3,15.9,59,1.1,13.1,65,1.3,13.9,57,1.1,12.6
"Rocky Hill School District","=""1190011""",41,1.6,19.2,41,1.6,18.9,30,1.2,13.3,31,1.2,12.9,31,1.1,11.8
"Salem School District","=""1210011""","*","*","*","*","*","*",8,1.2,11.9,"*","*","*",9,1.4,9.6
"Salisbury School District","=""1220011""","*","*","*",7,2.4,20.0,8,3.0,25.8,9,3.5,28.1,9,3.5,31.0
"Scotland School District","=""1230011""",12,10.1,52.2,13,11.8,61.9,8,7.0,40.0,7,6.3,35.0,6,5.7,37.5
"Seymour School District","=""1240011""",46,1.9,19.5,33,1.4,13.6,38,1.6,14.8,39,1.7,14.6,34,1.5,12.7
"Sharon School District","=""1250011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""",110,2.1,20.4,104,2.0,18.3,124,2.4,20.4,103,2.0,16.5,84,1.7,13.0
"Sherman School District","=""1270011""",15,2.7,21.7,13,2.4,18.8,15,2.8,22.7,12,2.4,16.7,10,2.1,16.1
"Simsbury School District","=""1280011""",86,1.8,15.6,71,1.5,13.3,58,1.3,10.8,62,1.4,11.0,49,1.2,8.9
"Somers School District","=""1290011""",39,2.4,23.8,37,2.4,22.4,36,2.4,21.1,29,2.0,18.1,25,1.7,15.3
"South Windsor School District","=""1320011""",74,1.7,14.4,72,1.6,13.4,73,1.7,13.2,63,1.4,11.5,59,1.4,11.1
"Southington School District","=""1310011""",134,2.0,18.6,127,1.9,16.4,132,2.0,16.9,128,1.9,16.1,125,1.9,16.0
"Sprague School District","=""1330011""",10,2.2,24.4,13,2.9,32.5,12,2.7,26.7,11,2.5,18.3,10,2.2,14.9
"Stafford School District","=""1340011""",24,1.4,14.3,20,1.2,10.9,18,1.1,9.9,"*","*","*",20,1.3,10.5
"Stamford School District","=""1350011""",254,1.6,17.4,259,1.7,16.9,264,1.7,15.9,256,1.6,14.7,251,1.6,13.9
"Sterling School District","=""1360011""",13,2.2,18.8,13,2.1,14.3,12,2.0,13.5,10,1.7,12.8,9,1.6,11.5
"Stonington School District","=""1370011""",35,1.4,11.5,41,1.7,13.4,33,1.4,10.7,32,1.4,9.6,40,1.8,12.1
"Stratford School District","=""1380011""",51,0.7,7.3,55,0.8,7.6,71,1.0,9.4,74,1.0,9.5,72,1.0,8.6
"Suffield School District","=""1390011""",42,1.8,17.0,44,1.9,17.8,36,1.5,14.8,25,1.1,10.8,27,1.2,10.9
"Thomaston School District","=""1400011""",22,1.9,16.1,27,2.4,18.9,25,2.3,18.0,20,2.0,14.6,21,2.1,14.7
"Thompson School District","=""1410011""",45,3.7,34.1,39,3.3,30.2,36,3.3,30.5,40,3.8,32.8,34,3.3,27.4
"Tolland School District","=""1420011""",24,0.8,7.7,22,0.8,7.0,21,0.8,7.1,21,0.8,6.8,16,0.6,5.1
"Torrington School District","=""1430011""",102,2.2,13.2,90,2.0,12.3,70,1.6,9.5,91,2.0,12.0,94,2.1,11.5
"Trumbull School District","=""1440011""",43,0.6,7.6,57,0.9,9.5,49,0.7,8.1,51,0.8,8.0,55,0.9,8.1
"Unified School District #1","=""3360015""","*","*","*","*","*","*","*","*","*",6,1.5,3.4,"*","*","*"
"Unified School District #2","=""3470015""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Union School District","=""1450011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""",99,2.7,23.3,87,2.4,19.5,87,2.5,18.5,98,2.9,19.6,98,2.9,19.2
"Voluntown School District","=""1470011""",17,4.1,37.8,11,2.8,27.5,9,2.3,22.0,12,3.0,20.0,16,4.2,24.6
"Wallingford School District","=""1480011""",137,2.2,17.2,124,2.0,16.2,118,2.0,16.5,110,1.8,16.0,113,1.9,16.3
"Waterbury School District","=""1510011""",616,3.6,22.0,575,3.3,19.5,589,3.4,19.0,599,3.4,18.5,544,3.1,16.4
"Waterford School District","=""1520011""",59,2.1,17.4,58,2.1,16.4,50,1.8,13.4,43,1.6,11.0,45,1.7,11.6
