"Primary Disability (K-12), 2011-12"
"All Districts, All Disabilities"

"",,"2011-12",
"District","District Code","Count","Overall Prevalence Rate (%)"
"Andover School District","=""0010011""",20,6.9
"Ansonia School District","=""0020011""",298,11.1
"Ashford School District","=""0030011""",47,10.8
"Avon School District","=""0040011""",370,10.5
"Barkhamsted School District","=""0050011""",29,8.6
"Berlin School District","=""0070011""",294,9.6
"Bethany School District","=""0080011""",63,13.0
"Bethel School District","=""0090011""",314,10.8
"Bloomfield School District","=""0110011""",241,10.6
"Bolton School District","=""0120011""",87,10.4
"Bozrah School District","=""0130011""",41,12.1
"Branford School District","=""0140011""",452,13.5
"Bridgeport School District","=""0150011""",2735,12.7
"Bristol School District","=""0170011""",1211,14.4
"Brookfield School District","=""0180011""",248,8.7
"Brooklyn School District","=""0190011""",135,11.3
"Canaan School District","=""0210011""",14,15.7
"Canterbury School District","=""0220011""",70,9.9
"Canton School District","=""0230011""",163,9.3
"Chaplin School District","=""0240011""",15,9.8
"Cheshire School District","=""0250011""",468,9.8
"Chester School District","=""0260011""",33,12.6
"Clinton School District","=""0270011""",213,10.7
"Colchester School District","=""0280011""",346,11.6
"Colebrook School District","=""0290011""",14,13.9
"Columbia School District","=""0300011""",57,7.8
"Connecticut Technical High School System","=""9000016""",760,7.1
"Cornwall School District","=""0310011""",18,17.0
"Coventry School District","=""0320011""",204,11.0
"Cromwell School District","=""0330011""",203,10.1
"Danbury School District","=""0340011""",1086,10.6
"Darien School District","=""0350011""",583,12.1
"Deep River School District","=""0360011""",39,10.8
"Department of Mental Health and Addiction Services","=""3370015""",6,"*"
"Derby School District","=""0370011""",162,10.6
"East Granby School District","=""0400011""",85,9.7
"East Haddam School District","=""0410011""",162,12.7
"East Hampton School District","=""0420011""",143,7.3
"East Hartford School District","=""0430011""",1092,13.9
"East Haven School District","=""0440011""",433,12.2
"East Lyme School District","=""0450011""",334,12.2
"East Windsor School District","=""0470011""",166,12.4
"Eastford School District","=""0390011""",29,12.6
"Easton School District","=""0460011""",75,7.2
"Ellington School District","=""0480011""",273,9.9
"Enfield School District","=""0490011""",751,13.0
"Essex School District","=""0500011""",42,8.0
"Fairfield School District","=""0510011""",1058,10.3
"Farmington School District","=""0520011""",403,9.9
"Franklin School District","=""0530011""",31,11.2
"Glastonbury School District","=""0540011""",616,9.1
"Granby School District","=""0560011""",188,8.7
"Greenwich School District","=""0570011""",861,10.0
