"Primary Disability (K-12), 2011-12"
"All Districts, Emotional Disturbance"

"",,"2011-12",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Ansonia School District","=""0020011""",24,0.9,8.1
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",17,0.5,4.6
"Berlin School District","=""0070011""",16,0.5,5.4
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",20,0.7,6.4
"Bloomfield School District","=""0110011""",33,1.5,13.7
"Bolton School District","=""0120011""",13,1.6,14.9
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",49,1.5,10.8
"Bridgeport School District","=""0150011""",257,1.2,9.4
"Bristol School District","=""0170011""",116,1.4,9.6
"Brookfield School District","=""0180011""",21,0.7,8.5
"Brooklyn School District","=""0190011""",13,1.1,9.6
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""","*","*","*"
"Canton School District","=""0230011""","*","*","*"
"Cheshire School District","=""0250011""",45,0.9,9.6
"Clinton School District","=""0270011""",14,0.7,6.6
"Colchester School District","=""0280011""",40,1.3,11.6
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""",34,0.3,4.5
"Coventry School District","=""0320011""",39,2.1,19.1
"Cromwell School District","=""0330011""",10,0.5,4.9
"Danbury School District","=""0340011""",61,0.6,5.6
"Darien School District","=""0350011""",10,0.2,1.7
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",14,0.9,8.6
"East Granby School District","=""0400011""","*","*","*"
"East Haddam School District","=""0410011""",9,0.7,5.6
"East Hampton School District","=""0420011""","*","*","*"
"East Hartford School District","=""0430011""",127,1.6,11.6
"East Haven School District","=""0440011""",24,0.7,5.5
"East Lyme School District","=""0450011""",22,0.8,6.6
"East Windsor School District","=""0470011""",20,1.5,12.0
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""","*","*","*"
"Ellington School District","=""0480011""",26,0.9,9.5
"Enfield School District","=""0490011""",85,1.5,11.3
"Essex School District","=""0500011""","*","*","*"
"Fairfield School District","=""0510011""",42,0.4,4.0
"Farmington School District","=""0520011""",32,0.8,7.9
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",57,0.8,9.3
"Granby School District","=""0560011""",13,0.6,6.9
"Greenwich School District","=""0570011""",54,0.6,6.3
"Griswold School District","=""0580011""",28,1.6,12.5
"Groton School District","=""0590011""",62,1.2,9.1
"Guilford School District","=""0600011""",42,1.1,11.2
"Hamden School District","=""0620011""",65,1.0,8.0
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",357,1.8,11.3
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""","*","*","*"
"Killingly School District","=""0690011""",35,1.4,9.7
"Lebanon School District","=""0710011""",6,0.5,4.3
"Ledyard School District","=""0720011""",27,1.1,8.6
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""","*","*","*"
"Madison School District","=""0760011""",24,0.7,6.9
"Manchester School District","=""0770011""",130,1.8,13.3
"Mansfield School District","=""0780011""","*","*","*"
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",158,1.8,12.5
"Middletown School District","=""0830011""",66,1.3,10.7
"Milford School District","=""0840011""",89,1.3,10.8
"Monroe School District","=""0850011""",22,0.6,6.4
"Montville School District","=""0860011""",28,1.1,10.0
"Naugatuck School District","=""0880011""",27,0.6,4.8
"New Britain School District","=""0890011""",119,1.1,7.8
"New Canaan School District","=""0900011""","*","*","*"
"New Fairfield School District","=""0910011""","*","*","*"
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",234,1.3,10.6
"New London School District","=""0950011""",60,1.7,10.2
"New Milford School District","=""0960011""",52,1.1,8.5
"Newington School District","=""0940011""",32,0.7,6.2
"Newtown School District","=""0970011""",18,0.3,4.4
"North Branford School District","=""0990011""",20,0.9,7.6
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",41,1.1,12.0
"Norwalk School District","=""1030011""",39,0.3,3.6
"Norwich School District","=""1040011""",127,2.3,14.7
"Old Saybrook School District","=""1060011""","*","*","*"
"Oxford School District","=""1080011""","*","*","*"
"Plainfield School District","=""1090011""",36,1.5,12.0
"Plainville School District","=""1100011""",27,1.1,8.8
"Plymouth School District","=""1110011""",34,1.9,14.2
"Pomfret School District","=""1120011""","*","*","*"
"Portland School District","=""1130011""",8,0.6,7.1
"Preston School District","=""1140011""","*","*","*"
"Putnam School District","=""1160011""",11,0.9,6.5
"Redding School District","=""1170011""","*","*","*"
"Regional School District 01","=""2010012""",7,1.5,10.8
"Regional School District 04","=""2040012""","*","*","*"
"Regional School District 05","=""2050012""",9,0.4,3.2
"Regional School District 06","=""2060012""",9,1.0,7.7
"Regional School District 07","=""2070012""",17,1.6,12.7
"Regional School District 08","=""2080012""",27,1.4,11.3
"Regional School District 09","=""2090012""",10,1.0,8.0
"Regional School District 10","=""2100012""",25,0.9,9.5
"Regional School District 11","=""2110012""",11,3.3,15.7
"Regional School District 12","=""2120012""","*","*","*"
"Regional School District 13","=""2130012""",13,0.7,4.7
"Regional School District 14","=""2140012""",7,0.4,3.4
"Regional School District 15","=""2150012""",13,0.3,2.6
"Regional School District 16","=""2160012""",8,0.3,3.2
"Regional School District 17","=""2170012""",29,1.2,9.3
"Regional School District 18","=""2180012""",13,0.9,8.5
"Regional School District 19","=""2190012""",24,2.1,13.6
"Ridgefield School District","=""1180011""",42,0.8,10.0
"Rocky Hill School District","=""1190011""","*","*","*"
"Salem School District","=""1210011""","*","*","*"
"Salisbury School District","=""1220011""","*","*","*"
"Seymour School District","=""1240011""",14,0.6,5.9
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",34,0.6,6.3
"Sherman School District","=""1270011""","*","*","*"
"Simsbury School District","=""1280011""",25,0.5,4.5
"Somers School District","=""1290011""",11,0.7,6.7
"South Windsor School District","=""1320011""",12,0.3,2.3
"Southington School District","=""1310011""",68,1.0,9.4
"Sprague School District","=""1330011""",6,1.3,14.6
"Stafford School District","=""1340011""",23,1.3,13.7
"Stamford School District","=""1350011""",41,0.3,2.8
"Sterling School District","=""1360011""",7,1.2,10.1
"Stonington School District","=""1370011""",25,1.0,8.2
"Stratford School District","=""1380011""",42,0.6,6.0
"Suffield School District","=""1390011""",8,0.3,3.2
"Thomaston School District","=""1400011""",11,0.9,8.0
"Thompson School District","=""1410011""",11,0.9,8.3
"Tolland School District","=""1420011""",25,0.8,8.0
"Torrington School District","=""1430011""",70,1.5,9.1
