"Primary Disability (K-12), 2013-14"
"All Districts, Intellectual Disability"

"",,"2013-14",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",18,0.7,5.3
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",11,0.3,3.2
"Berlin School District","=""0070011""","*","*","*"
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""","*","*","*"
"Bloomfield School District","=""0110011""",15,0.7,6.4
"Bolton School District","=""0120011""","*","*","*"
"Branford School District","=""0140011""",18,0.6,4.3
"Bridgeport School District","=""0150011""",133,0.6,4.7
"Bristol School District","=""0170011""",10,0.1,0.8
"Brookfield School District","=""0180011""","*","*","*"
"Brooklyn School District","=""0190011""","*","*","*"
"Canton School District","=""0230011""","*","*","*"
"Cheshire School District","=""0250011""",26,0.6,5.6
"Clinton School District","=""0270011""",7,0.4,3.4
"Colchester School District","=""0280011""",15,0.5,4.2
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""","*","*","*"
"Coventry School District","=""0320011""","*","*","*"
"Cromwell School District","=""0330011""",9,0.4,4.4
"Danbury School District","=""0340011""",50,0.5,4.2
"Darien School District","=""0350011""",10,0.2,1.9
"Deep River School District","=""0360011""","*","*","*"
"Derby School District","=""0370011""",7,0.4,3.4
"East Granby School District","=""0400011""","*","*","*"
"East Haddam School District","=""0410011""",7,0.6,4.0
"East Hampton School District","=""0420011""","*","*","*"
"East Hartford School District","=""0430011""",34,0.4,3.0
"East Haven School District","=""0440011""",12,0.4,2.8
"East Lyme School District","=""0450011""",8,0.3,2.4
"East Windsor School District","=""0470011""",12,0.9,6.1
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""","*","*","*"
"Ellington School District","=""0480011""","*","*","*"
"Enfield School District","=""0490011""",27,0.5,3.6
"Fairfield School District","=""0510011""",28,0.3,2.6
"Farmington School District","=""0520011""",16,0.4,3.7
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",19,0.3,3.1
"Granby School District","=""0560011""","*","*","*"
"Greenwich School District","=""0570011""",27,0.3,3.2
"Griswold School District","=""0580011""",7,0.4,2.8
"Groton School District","=""0590011""",35,0.7,4.8
"Guilford School District","=""0600011""",16,0.5,4.3
"Hamden School District","=""0620011""",24,0.4,2.7
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",169,0.8,4.9
"Hartland School District","=""0650011""","*","*","*"
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",18,0.8,4.8
"Lebanon School District","=""0710011""",12,1.1,7.7
"Ledyard School District","=""0720011""","*","*","*"
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""","*","*","*"
"Madison School District","=""0760011""",8,0.2,2.2
"Manchester School District","=""0770011""",17,0.2,1.9
"Mansfield School District","=""0780011""","*","*","*"
"Meriden School District","=""0800011""",56,0.6,4.0
"Middletown School District","=""0830011""",31,0.6,5.1
"Milford School District","=""0840011""",10,0.2,1.2
"Monroe School District","=""0850011""",15,0.4,4.2
"Montville School District","=""0860011""","*","*","*"
"Naugatuck School District","=""0880011""",22,0.5,3.6
"New Britain School District","=""0890011""",94,0.9,5.7
"New Canaan School District","=""0900011""",6,0.1,1.7
"New Fairfield School District","=""0910011""",7,0.3,2.7
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",170,0.9,7.0
"New London School District","=""0950011""",30,0.9,4.6
"New Milford School District","=""0960011""",18,0.4,3.1
"Newington School District","=""0940011""",16,0.4,3.0
"Newtown School District","=""0970011""",14,0.3,3.4
"North Branford School District","=""0990011""",13,0.6,4.5
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",18,0.5,4.9
"North Stonington School District","=""1020011""","*","*","*"
"Norwalk School District","=""1030011""",37,0.3,3.0
"Norwich School District","=""1040011""",48,0.9,5.5
"Old Saybrook School District","=""1060011""","*","*","*"
"Orange School District","=""1070011""","*","*","*"
"Oxford School District","=""1080011""",7,0.3,3.4
"Plainfield School District","=""1090011""",12,0.5,4.3
"Plainville School District","=""1100011""","*","*","*"
"Plymouth School District","=""1110011""",6,0.4,2.6
"Pomfret School District","=""1120011""","*","*","*"
"Preston School District","=""1140011""","*","*","*"
"Putnam School District","=""1160011""",16,1.4,8.4
"Regional School District 01","=""2010012""","*","*","*"
"Regional School District 04","=""2040012""","*","*","*"
"Regional School District 05","=""2050012""",10,0.4,3.7
"Regional School District 06","=""2060012""","*","*","*"
"Regional School District 07","=""2070012""",6,0.6,5.0
"Regional School District 08","=""2080012""",10,0.5,4.5
"Regional School District 09","=""2090012""","*","*","*"
"Regional School District 10","=""2100012""",10,0.4,4.0
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",6,0.8,4.8
"Regional School District 13","=""2130012""","*","*","*"
"Regional School District 14","=""2140012""",8,0.5,4.3
"Regional School District 15","=""2150012""","*","*","*"
"Regional School District 16","=""2160012""",7,0.3,2.4
"Regional School District 17","=""2170012""",6,0.3,1.9
"Regional School District 18","=""2180012""",9,0.6,5.6
"Regional School District 19","=""2190012""",9,0.9,5.4
"Ridgefield School District","=""1180011""",10,0.2,2.2
"Rocky Hill School District","=""1190011""",7,0.3,3.1
"Salem School District","=""1210011""","*","*","*"
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",9,0.4,3.5
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",13,0.3,2.1
"Sherman School District","=""1270011""","*","*","*"
"Simsbury School District","=""1280011""",16,0.4,3.0
"Somers School District","=""1290011""","*","*","*"
"South Windsor School District","=""1320011""",12,0.3,2.2
"Southington School District","=""1310011""",16,0.2,2.0
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""","*","*","*"
"Stamford School District","=""1350011""",59,0.4,3.6
"Sterling School District","=""1360011""","*","*","*"
"Stonington School District","=""1370011""",11,0.5,3.6
"Stratford School District","=""1380011""",33,0.4,4.4
"Suffield School District","=""1390011""",6,0.3,2.5
"Thomaston School District","=""1400011""",6,0.6,4.3
"Thompson School District","=""1410011""","*","*","*"
"Tolland School District","=""1420011""",8,0.3,2.7
"Torrington School District","=""1430011""",15,0.3,2.0
"Trumbull School District","=""1440011""",24,0.4,4.0
"Unified School District #1","=""3360015""","*","*","*"
"Unified School District #2","=""3470015""","*","*","*"
"Vernon School District","=""1460011""",21,0.6,4.5
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",23,0.4,3.2
"Waterbury School District","=""1510011""",103,0.6,3.3
"Waterford School District","=""1520011""",15,0.5,4.0
"Watertown School District","=""1530011""",17,0.6,4.9
"West Hartford School District","=""1550011""",31,0.3,2.7
"West Haven School District","=""1560011""",23,0.3,2.5
"Westbrook School District","=""1540011""","*","*","*"
"Weston School District","=""1570011""","*","*","*"
"Westport School District","=""1580011""",7,0.1,1.3
"Wethersfield School District","=""1590011""",13,0.3,2.7
"Willington School District","=""1600011""","*","*","*"
"Wilton School District","=""1610011""","*","*","*"
"Winchester School District","=""1620011""",10,0.8,4.2
"Windham School District","=""1630011""",29,0.9,6.0
"Windsor Locks School District","=""1650011""",16,0.9,7.7
"Windsor School District","=""1640011""",15,0.4,2.6
"Wolcott School District","=""1660011""",14,0.5,6.2
"Woodbridge School District","=""1670011""","*","*","*"
"Woodstock School District","=""1690011""","*","*","*"

