"Primary Disability (K-12), 2013-14"
"All Districts, Speech Language Impairment"

"",,"2013-14",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",46,1.9,13.6
"Ashford School District","=""0030011""",11,2.8,23.4
"Avon School District","=""0040011""",66,1.9,19.0
"Barkhamsted School District","=""0050011""",16,5.4,44.4
"Berlin School District","=""0070011""",77,2.5,25.2
"Bethany School District","=""0080011""",12,2.8,23.1
"Bethel School District","=""0090011""",39,1.3,12.3
"Bloomfield School District","=""0110011""",41,1.9,17.4
"Bolton School District","=""0120011""",14,1.7,16.5
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",77,2.4,18.4
"Bridgeport School District","=""0150011""",383,1.7,13.6
"Bristol School District","=""0170011""",165,2.0,12.8
"Brookfield School District","=""0180011""",45,1.6,14.2
"Brooklyn School District","=""0190011""",20,1.7,14.2
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""","*","*","*"
"Canton School District","=""0230011""",17,1.0,10.3
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",70,1.5,15.0
"Chester School District","=""0260011""",8,3.5,22.9
"Clinton School District","=""0270011""",35,1.8,17.2
"Colchester School District","=""0280011""",84,3.0,23.3
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""",50,0.5,5.7
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",35,2.0,16.4
"Cromwell School District","=""0330011""",53,2.6,25.9
"Danbury School District","=""0340011""",130,1.2,10.9
"Darien School District","=""0350011""",96,2.0,18.4
"Deep River School District","=""0360011""","*","*","*"
"Derby School District","=""0370011""",53,3.3,25.9
"East Granby School District","=""0400011""",18,2.0,21.4
"East Haddam School District","=""0410011""",48,4.0,27.6
"East Hampton School District","=""0420011""",46,2.4,29.9
"East Hartford School District","=""0430011""",233,3.0,20.8
"East Haven School District","=""0440011""",95,2.8,21.8
"East Lyme School District","=""0450011""",35,1.3,10.4
"East Windsor School District","=""0470011""",27,2.1,13.6
"Eastford School District","=""0390011""",8,4.0,36.4
"Easton School District","=""0460011""",16,1.7,18.8
"Ellington School District","=""0480011""",32,1.2,10.8
"Enfield School District","=""0490011""",172,3.2,22.9
"Essex School District","=""0500011""",20,4.4,44.4
"Fairfield School District","=""0510011""",218,2.1,20.1
"Farmington School District","=""0520011""",63,1.6,14.4
"Franklin School District","=""0530011""",8,3.1,23.5
"Glastonbury School District","=""0540011""",91,1.4,14.8
"Granby School District","=""0560011""",28,1.4,14.6
"Greenwich School District","=""0570011""",155,1.8,18.1
"Griswold School District","=""0580011""",42,2.3,16.5
"Groton School District","=""0590011""",111,2.3,15.2
"Guilford School District","=""0600011""",39,1.1,10.5
"Hamden School District","=""0620011""",152,2.3,17.4
"Hampton School District","=""0630011""",6,6.1,40.0
"Hartford School District","=""0640011""",508,2.5,14.9
"Hartland School District","=""0650011""",9,3.2,28.1
"Hebron School District","=""0670011""",28,3.3,29.5
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",61,2.6,16.1
"Lebanon School District","=""0710011""",24,2.2,15.4
"Ledyard School District","=""0720011""",49,2.0,14.2
"Lisbon School District","=""0730011""",25,4.1,29.4
"Litchfield School District","=""0740011""",21,2.1,19.1
"Madison School District","=""0760011""",24,0.7,6.7
"Manchester School District","=""0770011""",167,2.4,18.7
"Mansfield School District","=""0780011""",30,2.5,21.4
"Marlborough School District","=""0790011""",8,1.3,15.4
"Meriden School District","=""0800011""",141,1.6,10.0
"Middletown School District","=""0830011""",129,2.5,21.4
"Milford School District","=""0840011""",203,3.1,25.3
"Monroe School District","=""0850011""",69,2.0,19.3
"Montville School District","=""0860011""",53,2.1,18.9
"Naugatuck School District","=""0880011""",69,1.5,11.4
"New Britain School District","=""0890011""",176,1.6,10.8
"New Canaan School District","=""0900011""",109,2.6,30.1
"New Fairfield School District","=""0910011""",52,2.0,20.2
"New Hartford School District","=""0920011""",16,3.0,30.2
"New Haven School District","=""0930011""",250,1.3,10.3
"New London School District","=""0950011""",113,3.3,17.5
"New Milford School District","=""0960011""",63,1.4,10.8
"Newington School District","=""0940011""",74,1.7,13.9
"Newtown School District","=""0970011""",92,1.9,22.7
"Norfolk School District","=""0980011""",8,8.0,47.1
"North Branford School District","=""0990011""",57,2.7,19.7
"North Canaan School District","=""1000011""",15,5.3,34.1
"North Haven School District","=""1010011""",46,1.3,12.4
"North Stonington School District","=""1020011""",15,2.0,23.1
"Norwalk School District","=""1030011""",206,1.8,16.9
"Norwich School District","=""1040011""",158,2.9,18.1
"Old Saybrook School District","=""1060011""",30,2.2,14.3
"Orange School District","=""1070011""",32,2.7,29.4
"Oxford School District","=""1080011""",34,1.6,16.3
"Plainfield School District","=""1090011""",34,1.5,12.3
"Plainville School District","=""1100011""",44,1.9,13.5
"Plymouth School District","=""1110011""",31,1.8,13.3
"Pomfret School District","=""1120011""",11,1.8,16.9
"Portland School District","=""1130011""",23,1.6,18.1
"Preston School District","=""1140011""",30,4.9,33.0
"Putnam School District","=""1160011""",27,2.3,14.1
"Redding School District","=""1170011""",43,4.2,33.1
"Regional School District 01","=""2010012""","*","*","*"
"Regional School District 04","=""2040012""",8,0.8,5.5
"Regional School District 05","=""2050012""",33,1.4,12.3
"Regional School District 06","=""2060012""",10,1.2,9.0
"Regional School District 07","=""2070012""",9,0.8,7.4
"Regional School District 08","=""2080012""",13,0.7,5.9
"Regional School District 09","=""2090012""",12,1.1,9.6
"Regional School District 10","=""2100012""",36,1.4,14.3
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",12,1.6,9.5
"Regional School District 13","=""2130012""",55,2.9,20.1
"Regional School District 14","=""2140012""",25,1.5,13.6
"Regional School District 15","=""2150012""",67,1.7,14.3
"Regional School District 16","=""2160012""",58,2.5,20.2
"Regional School District 17","=""2170012""",31,1.4,9.7
"Regional School District 18","=""2180012""",29,2.1,18.0
"Regional School District 19","=""2190012""",7,0.7,4.2
"Ridgefield School District","=""1180011""",59,1.1,13.1
"Rocky Hill School District","=""1190011""",30,1.2,13.3
"Salem School District","=""1210011""",8,1.2,11.9
"Salisbury School District","=""1220011""",8,3.0,25.8
"Scotland School District","=""1230011""",8,7.0,40.0
"Seymour School District","=""1240011""",38,1.6,14.8
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",124,2.4,20.4
"Sherman School District","=""1270011""",15,2.8,22.7
"Simsbury School District","=""1280011""",58,1.3,10.8
"Somers School District","=""1290011""",36,2.4,21.1
"South Windsor School District","=""1320011""",73,1.7,13.2
"Southington School District","=""1310011""",132,2.0,16.9
"Sprague School District","=""1330011""",12,2.7,26.7
"Stafford School District","=""1340011""",18,1.1,9.9
"Stamford School District","=""1350011""",264,1.7,15.9
"Sterling School District","=""1360011""",12,2.0,13.5
"Stonington School District","=""1370011""",33,1.4,10.7
"Stratford School District","=""1380011""",71,1.0,9.4
"Suffield School District","=""1390011""",36,1.5,14.8
"Thomaston School District","=""1400011""",25,2.3,18.0
"Thompson School District","=""1410011""",36,3.3,30.5
"Tolland School District","=""1420011""",21,0.8,7.1
"Torrington School District","=""1430011""",70,1.6,9.5
"Trumbull School District","=""1440011""",49,0.7,8.1
"Unified School District #1","=""3360015""","*","*","*"
"Unified School District #2","=""3470015""","*","*","*"
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",87,2.5,18.5
"Voluntown School District","=""1470011""",9,2.3,22.0
"Wallingford School District","=""1480011""",118,2.0,16.5
"Waterbury School District","=""1510011""",589,3.4,19.0
"Waterford School District","=""1520011""",50,1.8,13.4
"Watertown School District","=""1530011""",35,1.2,10.1
"West Hartford School District","=""1550011""",200,2.0,17.7
"West Haven School District","=""1560011""",203,2.9,22.3
"Westbrook School District","=""1540011""",9,1.1,10.8
"Weston School District","=""1570011""",36,1.5,17.8
"Westport School District","=""1580011""",81,1.4,14.6
"Wethersfield School District","=""1590011""",112,2.9,23.6
"Willington School District","=""1600011""",19,4.3,32.2
"Wilton School District","=""1610011""",71,1.7,13.9
"Winchester School District","=""1620011""",35,2.8,14.6
"Windham School District","=""1630011""",87,2.8,17.9
"Windsor Locks School District","=""1650011""",16,0.9,7.7
"Windsor School District","=""1640011""",47,1.2,8.2
