"Primary Disability (K-12), 2010-11"
"All Districts, Speech Language Impairment"

"",,"2010-11",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",6,2.0,27.3
"Ansonia School District","=""0020011""",55,2.0,17.9
"Ashford School District","=""0030011""",20,4.6,37.7
"Avon School District","=""0040011""",89,2.5,24.3
"Barkhamsted School District","=""0050011""",14,4.1,40.0
"Berlin School District","=""0070011""",84,2.7,27.3
"Bethany School District","=""0080011""",17,3.4,27.0
"Bethel School District","=""0090011""",54,1.9,17.2
"Bloomfield School District","=""0110011""",48,2.0,22.1
"Bolton School District","=""0120011""",9,1.1,11.1
"Bozrah School District","=""0130011""",8,2.3,16.3
"Branford School District","=""0140011""",110,3.2,23.8
"Bridgeport School District","=""0150011""",459,2.1,17.2
"Bristol School District","=""0170011""",230,2.7,19.5
"Brookfield School District","=""0180011""",46,1.6,19.7
"Brooklyn School District","=""0190011""",27,2.2,20.0
"Canaan School District","=""0210011""",7,7.7,43.8
"Canterbury School District","=""0220011""",10,1.4,13.7
"Canton School District","=""0230011""",15,0.8,9.8
"Chaplin School District","=""0240011""",8,5.2,50.0
"Cheshire School District","=""0250011""",74,1.6,16.1
"Chester School District","=""0260011""",6,2.2,18.8
"Clinton School District","=""0270011""",42,2.1,16.9
"Colchester School District","=""0280011""",111,3.6,30.3
"Colebrook School District","=""0290011""",6,5.2,30.0
"Columbia School District","=""0300011""",15,2.0,25.0
"Connecticut Technical High School System","=""9000016""",40,0.4,5.4
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",35,1.8,16.7
"Cromwell School District","=""0330011""",69,3.4,35.4
"Danbury School District","=""0340011""",156,1.5,14.0
"Darien School District","=""0350011""",117,2.4,22.4
"Deep River School District","=""0360011""",6,1.7,17.1
"Derby School District","=""0370011""",49,3.2,32.0
"East Granby School District","=""0400011""",18,2.0,20.0
"East Haddam School District","=""0410011""",47,3.5,30.3
"East Hampton School District","=""0420011""",32,1.6,21.9
"East Hartford School District","=""0430011""",293,3.8,27.7
"East Haven School District","=""0440011""",118,3.2,27.1
"East Lyme School District","=""0450011""",35,1.2,10.3
"East Windsor School District","=""0470011""",20,1.5,12.0
"Eastford School District","=""0390011""",10,4.1,32.3
"Easton School District","=""0460011""",20,1.9,22.7
"Ellington School District","=""0480011""",35,1.3,13.2
"Enfield School District","=""0490011""",187,3.2,24.0
"Essex School District","=""0500011""",16,2.9,39.0
"Fairfield School District","=""0510011""",199,2.0,19.3
"Farmington School District","=""0520011""",92,2.2,22.0
"Franklin School District","=""0530011""",10,3.4,31.3
"Glastonbury School District","=""0540011""",114,1.6,16.9
"Granby School District","=""0560011""",40,1.8,22.7
"Greenwich School District","=""0570011""",221,2.6,24.5
"Griswold School District","=""0580011""",38,2.1,16.8
"Groton School District","=""0590011""",119,2.4,18.9
"Guilford School District","=""0600011""",54,1.5,15.1
"Hamden School District","=""0620011""",170,2.5,19.3
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",414,2.0,13.7
"Hartland School District","=""0650011""",11,3.5,37.9
"Hebron School District","=""0670011""",42,3.9,41.2
"Kent School District","=""0680011""",13,4.8,31.7
"Killingly School District","=""0690011""",77,3.1,21.9
"Lebanon School District","=""0710011""",27,2.2,19.1
"Ledyard School District","=""0720011""",47,1.9,14.6
"Lisbon School District","=""0730011""",26,3.7,32.1
"Litchfield School District","=""0740011""",36,3.0,30.5
"Madison School District","=""0760011""",28,0.8,7.7
"Manchester School District","=""0770011""",200,2.7,21.0
"Mansfield School District","=""0780011""",27,2.2,18.4
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",180,2.0,15.0
"Middletown School District","=""0830011""",128,2.4,21.3
"Milford School District","=""0840011""",250,3.6,29.6
"Monroe School District","=""0850011""",55,1.5,16.3
"Montville School District","=""0860011""",59,2.2,21.5
"Naugatuck School District","=""0880011""",100,2.1,18.8
"New Britain School District","=""0890011""",198,1.9,13.5
"New Canaan School District","=""0900011""",136,3.3,33.2
"New Fairfield School District","=""0910011""",51,1.8,17.2
"New Hartford School District","=""0920011""",28,4.7,44.4
"New Haven School District","=""0930011""",345,1.9,16.2
"New London School District","=""0950011""",115,3.3,19.9
"New Milford School District","=""0960011""",116,2.5,18.0
"Newington School District","=""0940011""",84,1.9,16.5
"Newtown School District","=""0970011""",84,1.5,19.5
"Norfolk School District","=""0980011""",8,6.9,50.0
"North Branford School District","=""0990011""",94,4.0,31.9
"North Canaan School District","=""1000011""",16,5.4,45.7
"North Haven School District","=""1010011""",84,2.3,21.8
"North Stonington School District","=""1020011""",15,1.9,21.7
"Norwalk School District","=""1030011""",247,2.2,21.6
"Norwich School District","=""1040011""",127,2.3,15.1
"Old Saybrook School District","=""1060011""",31,2.0,18.7
"Orange School District","=""1070011""",45,3.6,36.0
"Oxford School District","=""1080011""",21,0.9,15.2
"Plainfield School District","=""1090011""",38,1.5,13.2
"Plainville School District","=""1100011""",51,2.0,15.7
"Plymouth School District","=""1110011""",38,2.1,16.1
"Pomfret School District","=""1120011""",26,3.7,31.0
"Portland School District","=""1130011""",20,1.4,19.6
"Preston School District","=""1140011""",28,4.2,26.7
"Putnam School District","=""1160011""",52,4.3,27.1
"Redding School District","=""1170011""",44,3.7,31.2
"Regional School District 01","=""2010012""","*","*","*"
"Regional School District 04","=""2040012""",15,1.5,11.1
"Regional School District 05","=""2050012""",33,1.3,11.6
"Regional School District 06","=""2060012""",16,1.7,15.4
"Regional School District 07","=""2070012""",13,1.2,10.4
"Regional School District 08","=""2080012""",16,0.9,6.6
"Regional School District 09","=""2090012""",14,1.4,10.9
"Regional School District 10","=""2100012""",33,1.2,13.5
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",27,3.0,21.8
"Regional School District 13","=""2130012""",63,3.1,23.1
"Regional School District 14","=""2140012""",61,3.3,25.8
"Regional School District 15","=""2150012""",110,2.5,21.1
"Regional School District 16","=""2160012""",57,2.3,22.5
"Regional School District 17","=""2170012""",47,1.9,16.4
"Regional School District 18","=""2180012""",32,2.2,22.5
"Regional School District 19","=""2190012""",18,1.6,9.5
"Ridgefield School District","=""1180011""",80,1.5,18.3
"Rocky Hill School District","=""1190011""",47,1.8,21.0
"Salem School District","=""1210011""","*","*","*"
"Salisbury School District","=""1220011""","*","*","*"
"Scotland School District","=""1230011""",6,4.9,28.6
"Seymour School District","=""1240011""",51,2.1,22.5
"Sharon School District","=""1250011""",6,3.3,19.4
"Shelton School District","=""1260011""",111,2.1,21.9
"Sherman School District","=""1270011""",13,2.3,20.3
"Simsbury School District","=""1280011""",100,2.1,17.6
"Somers School District","=""1290011""",43,2.6,27.0
"South Windsor School District","=""1320011""",94,2.0,17.4
"Southington School District","=""1310011""",124,1.8,17.1
"Sprague School District","=""1330011""",13,2.9,29.5
"Stafford School District","=""1340011""",26,1.5,15.2
"Stamford School District","=""1350011""",233,1.5,16.6
"Sterling School District","=""1360011""",11,1.8,16.9
"Stonington School District","=""1370011""",49,2.0,15.7
"Stratford School District","=""1380011""",60,0.8,8.6
"Suffield School District","=""1390011""",46,1.9,19.3
"Thomaston School District","=""1400011""",28,2.3,17.6
"Thompson School District","=""1410011""",46,3.6,33.1
"Tolland School District","=""1420011""",36,1.2,11.4
"Torrington School District","=""1430011""",98,2.1,12.3
"Trumbull School District","=""1440011""",47,0.7,8.1
"Unified School District #1","=""3360015""",10,1.2,2.8
"Unified School District #2","=""3470015""","*","*","*"
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",87,2.4,22.1
"Voluntown School District","=""1470011""",15,3.8,38.5
"Wallingford School District","=""1480011""",135,2.1,17.0
"Waterbury School District","=""1510011""",665,3.9,23.2
"Waterford School District","=""1520011""",59,2.0,17.8
"Watertown School District","=""1530011""",32,1.0,9.5
"West Hartford School District","=""1550011""",211,2.0,19.1
"West Haven School District","=""1560011""",204,2.8,25.2
"Westbrook School District","=""1540011""",8,0.9,10.8
"Weston School District","=""1570011""",31,1.2,14.7
"Westport School District","=""1580011""",95,1.7,16.1
"Wethersfield School District","=""1590011""",109,2.8,27.5
"Willington School District","=""1600011""",25,5.1,35.2
"Wilton School District","=""1610011""",64,1.5,14.3
"Winchester School District","=""1620011""",41,3.0,16.8
"Windham School District","=""1630011""",90,2.8,16.3
"Windsor Locks School District","=""1650011""",23,1.2,11.6
"Windsor School District","=""1640011""",64,1.6,12.6
"Wolcott School District","=""1660011""",43,1.5,16.8
"Woodbridge School District","=""1670011""",16,2.3,25.4
"Woodstock School District","=""1690011""",16,1.2,17.8

