"Primary Disability (K-12), Trend"
"All Districts, Other Disabilities"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*",0,0,0,0,0,0,0,0,0,"*","*","*"
"Ansonia School District","=""0020011""",21,0.8,7.0,31,1.2,9.9,35,1.4,10.4,52,2.1,12.5,62,2.5,13.8
"Ashford School District","=""0030011""","*","*","*","*","*","*","*","*","*",6,1.6,12.8,6,1.6,13.6
"Avon School District","=""0040011""",18,0.5,4.9,26,0.8,7.3,33,1.0,9.5,30,0.9,9.6,26,0.8,9.0
"Barkhamsted School District","=""0050011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","*","*","*","*","*","*","*","*","*",23,0.8,7.3,27,0.9,8.1
"Bethany School District","=""0080011""",6,1.2,9.5,"*","*","*",6,1.4,11.5,"*","*","*","*","*","*"
"Bethel School District","=""0090011""",43,1.5,13.7,44,1.5,13.8,43,1.5,13.6,46,1.6,14.3,42,1.5,13.2
"Bloomfield School District","=""0110011""",24,1.1,10.0,21,1.0,9.4,26,1.2,11.0,31,1.4,11.2,37,1.7,11.7
"Bolton School District","=""0120011""","*","*","*","*","*","*",6,0.7,7.1,7,0.9,7.6,6,0.8,6.9
"Bozrah School District","=""0130011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""",12,0.4,2.7,20,0.6,4.5,22,0.7,5.3,22,0.7,5.3,27,0.9,6.5
"Bridgeport School District","=""0150011""",365,1.7,13.3,355,1.6,12.8,353,1.6,12.5,372,1.7,11.7,409,1.8,12.1
"Bristol School District","=""0170011""",113,1.3,9.3,99,1.2,8.0,103,1.2,8.0,127,1.5,9.3,124,1.5,9.0
"Brookfield School District","=""0180011""","*","*","*","*","*","*","*","*","*","*","*","*",19,0.7,5.7
"Brooklyn School District","=""0190011""",10,0.8,7.4,13,1.1,9.2,12,1.0,8.5,8,0.7,6.3,9,0.8,7.0
"Canaan School District","=""0210011""","*","*","*","*","*","*","*","*","*",0,0,0,0,0,0
