"Primary Disability (K-12), Trend"
"All Districts, Learning Disability"

"",,"2011-12",,,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",9,3.1,45.0,7,2.4,31.8,6,2.1,31.6,"*","*","*","*","*","*"
"Ansonia School District","=""0020011""",77,2.9,25.8,83,3.2,26.6,90,3.6,26.6,104,4.1,25.1,121,4.8,26.9
"Ashford School District","=""0030011""",10,2.3,21.3,9,2.2,18.0,10,2.6,21.3,9,2.4,19.1,11,3.0,25.0
"Avon School District","=""0040011""",110,3.1,29.7,104,3.0,29.2,95,2.8,27.3,85,2.5,27.2,84,2.5,29.0
"Barkhamsted School District","=""0050011""",13,3.8,44.8,18,5.5,48.6,15,5.1,41.7,12,4.0,32.4,13,5.0,37.1
"Berlin School District","=""0070011""",88,2.9,29.9,90,3.0,30.1,92,3.0,30.2,100,3.4,31.6,108,3.7,32.2
"Bethany School District","=""0080011""",25,5.2,39.7,19,4.1,35.2,17,4.0,32.7,19,4.9,34.5,13,3.5,27.1
"Bethel School District","=""0090011""",122,4.2,38.9,121,4.1,37.9,119,4.1,37.7,118,4.2,36.6,119,4.1,37.5
"Bloomfield School District","=""0110011""",76,3.3,31.5,73,3.3,32.6,84,4.0,35.6,105,4.8,37.8,118,5.5,37.5
"Bolton School District","=""0120011""",26,3.1,29.9,27,3.3,31.4,23,2.8,27.1,19,2.4,20.7,25,3.2,28.7
"Bozrah School District","=""0130011""",13,3.8,31.7,13,3.9,32.5,14,4.2,37.8,12,3.9,36.4,12,4.1,36.4
"Branford School District","=""0140011""",123,3.7,27.2,119,3.6,26.6,115,3.6,27.4,109,3.5,26.5,115,3.8,27.5
"Bridgeport School District","=""0150011""",967,4.5,35.4,997,4.6,35.8,1005,4.6,35.7,1193,5.3,37.6,1291,5.7,38.3
"Bristol School District","=""0170011""",380,4.5,31.4,424,5.1,34.4,489,5.9,37.8,536,6.5,39.4,569,7.0,41.2
"Brookfield School District","=""0180011""",77,2.7,31.0,92,3.3,31.5,110,4.0,34.8,119,4.3,36.8,135,5.0,40.3
"Brooklyn School District","=""0190011""",60,5.0,44.4,61,5.1,43.0,60,5.1,42.6,55,4.9,43.3,51,4.4,39.8
"Canaan School District","=""0210011""",8,9.0,57.1,"*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""",16,2.3,22.9,15,2.2,22.4,10,1.5,14.9,11,1.7,15.5,14,2.2,20.3
"Canton School District","=""0230011""",48,2.7,29.4,48,2.7,31.2,61,3.6,37.0,68,4.1,39.1,63,3.8,34.8
"Chaplin School District","=""0240011""","*","*","*",9,5.7,56.3,11,7.0,52.4,10,6.4,43.5,10,5.8,37.0
"Cheshire School District","=""0250011""",124,2.6,26.5,118,2.5,25.5,127,2.8,27.2,127,2.8,26.8,130,3.0,26.9
"Chester School District","=""0260011""",16,6.1,48.5,17,6.7,39.5,14,6.1,40.0,16,7.3,45.7,15,7.1,44.1
"Clinton School District","=""0270011""",69,3.5,32.4,62,3.2,31.6,57,2.9,28.1,57,3.0,28.2,63,3.5,30.9
"Colchester School District","=""0280011""",101,3.4,29.2,105,3.6,30.4,126,4.5,34.9,115,4.3,31.9,106,4.1,28.9
"Colebrook School District","=""0290011""","*","*","*","*","*","*","*","*","*","*","*","*",9,10.0,47.4
"Columbia School District","=""0300011""",18,2.5,31.6,24,3.4,34.8,24,3.4,34.8,28,4.0,37.3,28,4.1,30.8
"Connecticut Technical High School System","=""9000016""",421,4.0,55.4,457,4.3,57.3,507,4.7,57.7,562,5.2,58.2,584,5.5,57.4
"Cornwall School District","=""0310011""","*","*","*","*","*","*",8,7.8,42.1,8,8.8,50.0,7,7.7,53.8
"Coventry School District","=""0320011""",75,4.1,36.8,74,4.1,35.1,79,4.4,37.1,81,4.7,39.5,88,5.2,42.3
"Cromwell School District","=""0330011""",46,2.3,22.7,54,2.7,27.1,54,2.7,26.3,66,3.2,30.8,63,3.1,28.4
"Danbury School District","=""0340011""",447,4.4,41.2,464,4.5,41.4,514,4.9,43.0,555,5.2,44.8,576,5.3,44.2
"Darien School District","=""0350011""",173,3.6,29.7,179,3.7,30.7,159,3.2,30.5,177,3.6,32.0,185,3.8,31.5
"Deep River School District","=""0360011""",16,4.4,41.0,13,3.7,31.7,17,5.1,39.5,16,5.1,33.3,17,5.6,39.5
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*",0,0,0,0,0,0,"*","*","*",0,0,0
"Derby School District","=""0370011""",40,2.6,24.7,51,3.3,27.1,50,3.1,24.4,52,3.4,24.4,54,3.6,26.1
"East Granby School District","=""0400011""",32,3.7,37.6,37,4.1,40.7,33,3.7,39.3,34,3.7,36.6,40,4.5,40.0
"East Haddam School District","=""0410011""",41,3.2,25.3,44,3.5,27.5,47,3.9,27.0,46,4.0,27.1,41,3.7,25.3
"East Hampton School District","=""0420011""",39,2.0,27.3,38,2.0,25.0,38,1.9,24.7,42,2.2,26.9,46,2.4,28.9
"East Hartford School District","=""0430011""",281,3.6,25.7,282,3.6,25.9,292,3.7,26.1,309,3.9,27.9,326,4.2,28.3
"East Haven School District","=""0440011""",102,2.9,23.6,109,3.1,24.7,111,3.3,25.5,131,4.0,30.7,144,4.3,32.8
"East Lyme School District","=""0450011""",125,4.6,37.4,127,4.7,39.0,132,5.0,39.4,135,5.2,39.4,135,5.3,41.3
"East Windsor School District","=""0470011""",58,4.3,34.9,70,5.3,34.5,71,5.5,35.9,83,6.7,38.1,71,5.9,37.2
"Eastford School District","=""0390011""","*","*","*","*","*","*","*","*","*","*","*","*",6,3.4,24.0
"Easton School District","=""0460011""",21,2.0,28.0,23,2.3,30.7,28,3.0,32.9,38,4.2,42.7,29,3.2,34.1
"Ellington School District","=""0480011""",127,4.6,46.5,132,4.8,46.0,146,5.4,49.3,143,5.3,49.5,135,5.0,45.6
"Enfield School District","=""0490011""",229,4.0,30.5,232,4.1,31.1,231,4.3,30.8,251,4.6,32.9,270,5.0,34.7
"Essex School District","=""0500011""",6,1.1,14.3,"*","*","*",8,1.8,17.8,11,2.7,18.6,13,3.5,24.1
"Fairfield School District","=""0510011""",357,3.5,33.7,359,3.5,32.5,349,3.4,32.2,346,3.4,31.6,344,3.4,32.3
"Farmington School District","=""0520011""",94,2.3,23.3,112,2.7,25.6,115,2.8,26.4,130,3.2,28.0,128,3.2,26.8
"Franklin School District","=""0530011""",12,4.3,38.7,9,3.3,27.3,11,4.3,32.4,11,4.4,34.4,11,4.5,35.5
"Glastonbury School District","=""0540011""",157,2.3,25.5,161,2.4,26.6,156,2.4,25.4,171,2.7,27.7,200,3.2,31.3
"Granby School District","=""0560011""",64,3.0,34.0,66,3.2,36.1,62,3.1,32.3,65,3.3,32.7,65,3.4,30.2
"Greenwich School District","=""0570011""",322,3.7,37.4,336,3.9,38.8,344,4.0,40.3,361,4.2,41.1,383,4.5,42.9
"Griswold School District","=""0580011""",72,4.0,32.1,74,4.1,31.1,68,3.8,26.8,65,3.7,26.4,68,3.9,28.1
"Groton School District","=""0590011""",195,3.9,28.6,220,4.4,31.2,210,4.3,28.8,214,4.4,29.4,222,4.7,30.0
"Guilford School District","=""0600011""",128,3.5,34.2,112,3.1,30.5,109,3.1,29.2,110,3.2,28.1,118,3.5,29.7
"Hamden School District","=""0620011""",238,3.5,29.3,232,3.4,28.7,257,3.8,29.4,278,4.3,29.3,307,4.8,30.0
"Hampton School District","=""0630011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
