"Chronic Absenteeism, Trend"
", English Learner Status"

"",,,"% Chronically Absent",,,,
"District","District Code","English Learner Status","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELL","*","*","*",24.4,14.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Non-ELL",8.1,3.2,5.8,9.9,9.9
"Amistad Academy District","=""2790013""","ELL","*","*","*",10.3,"*"
"Amistad Academy District","=""2790013""","Non-ELL",2.9,2.6,3.7,4.7,5.4
"Andover School District","=""0010011""","ELL","*","*","*","*","*"
"Andover School District","=""0010011""","Non-ELL","*",3.9,"*","*","*"
"Ansonia School District","=""0020011""","ELL",15.2,15.4,12.7,18.0,21.7
"Ansonia School District","=""0020011""","Non-ELL",12.1,14.3,11.2,16.2,14.3
"Area Cooperative Educational Services","=""2440014""","ELL",15.4,"*",24.0,12.1,21.1
"Area Cooperative Educational Services","=""2440014""","Non-ELL",18.6,19.7,21.7,20.9,18.1
"Ashford School District","=""0030011""","ELL","*","*","*","*","*"
"Ashford School District","=""0030011""","Non-ELL",9.7,7.0,7.9,6.4,4.9
"Avon School District","=""0040011""","ELL","*","*","*","*",5.1
"Avon School District","=""0040011""","Non-ELL",4.2,5.0,4.9,3.1,4.5
"Barkhamsted School District","=""0050011""","ELL","*","*","*","N/A","N/A"
"Barkhamsted School District","=""0050011""","Non-ELL",3.2,3.7,3.5,2.0,4.2
"Berlin School District","=""0070011""","ELL",8.2,"*","*","*","*"
"Berlin School District","=""0070011""","Non-ELL",5.7,5.7,4.9,6.0,3.7
"Bethany School District","=""0080011""","ELL","*","N/A","N/A","*","*"
"Bethany School District","=""0080011""","Non-ELL",3.2,5.6,4.9,4.8,5.2
"Bethel School District","=""0090011""","ELL",14.5,8.5,7.2,5.6,11.0
"Bethel School District","=""0090011""","Non-ELL",5.9,6.8,7.3,4.5,6.8
"Bloomfield School District","=""0110011""","ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Non-ELL",7.4,7.9,7.6,8.9,8.8
"Bolton School District","=""0120011""","ELL","*","*","*","*","*"
"Bolton School District","=""0120011""","Non-ELL",2.6,3.8,5.2,5.7,3.3
"Booker T. Washington Academy District","=""2950013""","Non-ELL","N/A","N/A","N/A",30.4,20.2
"Bozrah School District","=""0130011""","ELL","N/A","*","*","*","*"
"Bozrah School District","=""0130011""","Non-ELL",5.3,8.0,7.4,3.2,5.5
"Branford School District","=""0140011""","ELL",8.7,"*","*",9.2,8.9
"Branford School District","=""0140011""","Non-ELL",7.3,8.0,8.9,9.2,9.4
"Brass City Charter School District","=""2900013""","Non-ELL","N/A","N/A",12.3,10.5,7.4
"Bridgeport Achievement First District","=""2850013""","ELL","*","*","*","*",5.7
"Bridgeport Achievement First District","=""2850013""","Non-ELL",1.3,2.7,3.0,3.0,4.5
"Bridgeport School District","=""0150011""","ELL",20.8,25.0,21.3,18.2,16.2
"Bridgeport School District","=""0150011""","Non-ELL",19.5,25.1,21.2,19.1,17.5
"Bristol School District","=""0170011""","ELL",23.4,21.3,23.9,16.3,10.8
"Bristol School District","=""0170011""","Non-ELL",11.0,9.7,11.3,10.6,8.6
"Brookfield School District","=""0180011""","ELL","*","*","*","*","*"
"Brookfield School District","=""0180011""","Non-ELL",4.9,1.8,4.0,3.8,2.2
"Brooklyn School District","=""0190011""","ELL","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Non-ELL",6.9,6.7,4.0,5.5,2.4
"Canaan School District","=""0210011""","ELL","N/A","*","*","*","*"
"Canaan School District","=""0210011""","Non-ELL",10.7,"*",10.8,"*",8.2
"Canterbury School District","=""0220011""","Non-ELL",3.7,6.4,4.8,3.8,3.7
"Canton School District","=""0230011""","ELL","*","*","*","*","*"
"Canton School District","=""0230011""","Non-ELL",4.4,4.4,9.1,9.3,5.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Non-ELL","N/A","N/A","N/A","N/A",13.7
"Capitol Region Education Council","=""2410014""","ELL",18.5,24.6,24.0,27.3,17.5
"Capitol Region Education Council","=""2410014""","Non-ELL",14.2,13.9,13.3,14.5,11.3
"Chaplin School District","=""0240011""","ELL","N/A","*","*","*","N/A"
"Chaplin School District","=""0240011""","Non-ELL",9.6,8.5,8.7,11.5,10.1
"Cheshire School District","=""0250011""","ELL","*","*","*","*",14.3
"Cheshire School District","=""0250011""","Non-ELL",5.4,4.1,5.1,4.0,5.1
"Chester School District","=""0260011""","ELL","*","N/A","*","N/A","*"
"Chester School District","=""0260011""","Non-ELL",5.8,9.2,3.2,"*",2.8
"Clinton School District","=""0270011""","ELL",22.5,"*","*","*","*"
"Clinton School District","=""0270011""","Non-ELL",10.3,7.9,7.0,6.9,5.4
"Colchester School District","=""0280011""","ELL",0.0,"*","*",0.0,"*"
"Colchester School District","=""0280011""","Non-ELL",2.5,6.1,5.2,4.0,5.8
"Colebrook School District","=""0290011""","Non-ELL","*","*","*","*","*"
"Columbia School District","=""0300011""","Non-ELL",7.4,4.1,"*",5.2,3.8
"Common Ground High School District","=""2680013""","ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Non-ELL",12.4,14.6,16.7,15.4,11.8
"Connecticut Technical High School System","=""9000016""","ELL",8.7,8.9,13.2,16.4,14.9
"Connecticut Technical High School System","=""9000016""","Non-ELL",10.2,12.1,12.9,13.6,12.6
"Cooperative Educational Services","=""2430014""","ELL","N/A","N/A","N/A","N/A","*"
"Cooperative Educational Services","=""2430014""","Non-ELL",17.0,18.5,15.8,18.9,16.4
"Cornwall School District","=""0310011""","ELL","N/A","*","*","*","*"
"Cornwall School District","=""0310011""","Non-ELL",5.7,"*","*","*","*"
"Coventry School District","=""0320011""","ELL","*","N/A","*","*","*"
"Coventry School District","=""0320011""","Non-ELL",6.2,6.9,5.4,6.9,5.6
"Cromwell School District","=""0330011""","ELL","*",0.0,"*","*","*"
"Cromwell School District","=""0330011""","Non-ELL",6.2,4.7,5.4,3.0,1.6
"Danbury School District","=""0340011""","ELL",14.1,11.9,6.3,6.7,6.6
"Danbury School District","=""0340011""","Non-ELL",12.1,10.7,6.0,7.2,7.6
"Darien School District","=""0350011""","ELL","*","*","*","*","*"
"Darien School District","=""0350011""","Non-ELL",4.1,3.6,3.5,4.2,2.9
"Deep River School District","=""0360011""","ELL","*","*","*","*","*"
"Deep River School District","=""0360011""","Non-ELL",5.2,3.2,2.2,"*",2.0
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*","*","*","*","*"
"Derby School District","=""0370011""","ELL","*",15.2,18.6,12.0,13.3
"Derby School District","=""0370011""","Non-ELL",13.8,14.2,16.2,17.0,13.0
"East Granby School District","=""0400011""","ELL","*","*","*","*","*"
"East Granby School District","=""0400011""","Non-ELL",5.1,6.9,5.6,7.0,6.1
"East Haddam School District","=""0410011""","ELL","*","*","N/A","N/A","N/A"
"East Haddam School District","=""0410011""","Non-ELL",7.7,7.6,6.7,6.8,6.3
"East Hampton School District","=""0420011""","ELL","*","*","*","*","*"
"East Hampton School District","=""0420011""","Non-ELL",5.9,5.8,7.0,7.5,7.4
"East Hartford School District","=""0430011""","ELL",11.8,22.8,16.4,20.2,15.2
"East Hartford School District","=""0430011""","Non-ELL",9.7,18.6,12.6,15.6,12.6
"East Haven School District","=""0440011""","ELL",11.3,8.0,6.5,4.9,3.5
"East Haven School District","=""0440011""","Non-ELL",17.8,16.7,12.7,11.8,10.8
"East Lyme School District","=""0450011""","ELL","*",0.0,"*","*","*"
"East Lyme School District","=""0450011""","Non-ELL",6.0,4.9,5.0,5.7,4.6
"East Windsor School District","=""0470011""","ELL","*","*","*",0.0,"*"
"East Windsor School District","=""0470011""","Non-ELL",11.8,10.4,10.8,10.7,12.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL",19.7,70.9,13.4,32.2,34.2
