"Chronic Absenteeism, 2015-16"
", Free/Reduced Price Meal Eligibility"

"District","District Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible For Free Lunch",10.1
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",7.1
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch","*"
"Amistad Academy District","=""2790013""","Not Eligible For Lunch","*"
"Andover School District","=""0010011""","Eligible For Free Lunch","*"
"Andover School District","=""0010011""","Eligible For Reduced Lunch","*"
"Andover School District","=""0010011""","Not Eligible For Lunch","*"
"Ansonia School District","=""0020011""","Eligible For Free Lunch",18.7
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",9.3
"Ansonia School District","=""0020011""","Not Eligible For Lunch",8.4
"Area Cooperative Educational Services","=""2440014""","Eligible For Free Lunch",26.4
"Area Cooperative Educational Services","=""2440014""","Eligible For Reduced Lunch",4.8
"Area Cooperative Educational Services","=""2440014""","Not Eligible For Lunch",5.2
"Ashford School District","=""0030011""","Eligible For Free Lunch",5.5
"Ashford School District","=""0030011""","Eligible For Reduced Lunch","*"
"Ashford School District","=""0030011""","Not Eligible For Lunch",3.9
"Avon School District","=""0040011""","Eligible For Free Lunch",20.7
"Avon School District","=""0040011""","Eligible For Reduced Lunch","*"
"Avon School District","=""0040011""","Not Eligible For Lunch",3.7
"Barkhamsted School District","=""0050011""","Eligible For Free Lunch","*"
"Barkhamsted School District","=""0050011""","Eligible For Reduced Lunch","*"
"Barkhamsted School District","=""0050011""","Not Eligible For Lunch",3.0
"Berlin School District","=""0070011""","Eligible For Free Lunch",14.5
"Berlin School District","=""0070011""","Eligible For Reduced Lunch","*"
"Berlin School District","=""0070011""","Not Eligible For Lunch",2.4
"Bethany School District","=""0080011""","Eligible For Free Lunch",25.9
"Bethany School District","=""0080011""","Eligible For Reduced Lunch","*"
"Bethany School District","=""0080011""","Not Eligible For Lunch",3.6
"Bethel School District","=""0090011""","Eligible For Free Lunch",15.2
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",5.0
"Bethel School District","=""0090011""","Not Eligible For Lunch",5.5
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",13.0
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",5.2
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",5.6
"Bolton School District","=""0120011""","Eligible For Free Lunch",15.2
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*"
"Bolton School District","=""0120011""","Not Eligible For Lunch",1.7
"Booker T. Washington Academy District","=""2950013""","Eligible For Free Lunch",21.9
"Booker T. Washington Academy District","=""2950013""","Eligible For Reduced Lunch","*"
