"Chronic Absenteeism, 2012-13"
", Free/Reduced Price Meal Eligibility"

"District","District Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible For Free Lunch",3.4
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",3.7
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch",0.0
"Amistad Academy District","=""2790013""","Not Eligible For Lunch","*"
"Andover School District","=""0010011""","Eligible For Free Lunch","*"
"Andover School District","=""0010011""","Eligible For Reduced Lunch","*"
"Andover School District","=""0010011""","Not Eligible For Lunch",3.2
"Ansonia School District","=""0020011""","Eligible For Free Lunch",17.7
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",5.6
"Ansonia School District","=""0020011""","Not Eligible For Lunch",12.4
"Area Cooperative Educational Services","=""2440014""","Eligible For Free Lunch",28.1
"Area Cooperative Educational Services","=""2440014""","Eligible For Reduced Lunch",11.8
"Area Cooperative Educational Services","=""2440014""","Not Eligible For Lunch",11.7
"Ashford School District","=""0030011""","Eligible For Free Lunch",16.9
"Ashford School District","=""0030011""","Eligible For Reduced Lunch",0.0
"Ashford School District","=""0030011""","Not Eligible For Lunch",4.9
"Avon School District","=""0040011""","Eligible For Free Lunch",16.2
"Avon School District","=""0040011""","Eligible For Reduced Lunch","*"
"Avon School District","=""0040011""","Not Eligible For Lunch",4.4
"Barkhamsted School District","=""0050011""","Eligible For Free Lunch","*"
"Barkhamsted School District","=""0050011""","Eligible For Reduced Lunch","*"
"Barkhamsted School District","=""0050011""","Not Eligible For Lunch",4.3
"Berlin School District","=""0070011""","Eligible For Free Lunch",17.1
"Berlin School District","=""0070011""","Eligible For Reduced Lunch","*"
"Berlin School District","=""0070011""","Not Eligible For Lunch",4.2
"Bethany School District","=""0080011""","Eligible For Free Lunch","*"
"Bethany School District","=""0080011""","Eligible For Reduced Lunch","*"
"Bethany School District","=""0080011""","Not Eligible For Lunch",4.8
"Bethel School District","=""0090011""","Eligible For Free Lunch",15.1
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",5.1
"Bethel School District","=""0090011""","Not Eligible For Lunch",5.6
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",10.5
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",5.3
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",6.2
"Bolton School District","=""0120011""","Eligible For Free Lunch",13.6
"Bolton School District","=""0120011""","Eligible For Reduced Lunch",0.0
"Bolton School District","=""0120011""","Not Eligible For Lunch",2.7
"Bozrah School District","=""0130011""","Eligible For Free Lunch",20.9
"Bozrah School District","=""0130011""","Eligible For Reduced Lunch","*"
"Bozrah School District","=""0130011""","Not Eligible For Lunch",5.8
"Branford School District","=""0140011""","Eligible For Free Lunch",16.6
"Branford School District","=""0140011""","Eligible For Reduced Lunch",5.4
"Branford School District","=""0140011""","Not Eligible For Lunch",6.0
"Bridgeport Achievement First District","=""2850013""","Eligible For Free Lunch",3.3
"Bridgeport Achievement First District","=""2850013""","Eligible For Reduced Lunch","*"
"Bridgeport Achievement First District","=""2850013""","Not Eligible For Lunch","*"
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",25.1
"Bridgeport School District","=""0150011""","Eligible For Reduced Lunch",39.7
"Bridgeport School District","=""0150011""","Not Eligible For Lunch",8.1
"Bristol School District","=""0170011""","Eligible For Free Lunch",18.8
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",9.8
"Bristol School District","=""0170011""","Not Eligible For Lunch",4.8
"Brookfield School District","=""0180011""","Eligible For Free Lunch",3.6
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch",0.0
"Brookfield School District","=""0180011""","Not Eligible For Lunch",1.9
"Brooklyn School District","=""0190011""","Eligible For Free Lunch",15.8
"Brooklyn School District","=""0190011""","Eligible For Reduced Lunch","*"
"Brooklyn School District","=""0190011""","Not Eligible For Lunch",3.7
"Canaan School District","=""0210011""","Eligible For Free Lunch","*"
"Canaan School District","=""0210011""","Not Eligible For Lunch","*"
"Canterbury School District","=""0220011""","Eligible For Free Lunch","*"
"Canterbury School District","=""0220011""","Eligible For Reduced Lunch","*"
"Canterbury School District","=""0220011""","Not Eligible For Lunch",6.0
