"Chronic Absenteeism, 2015-16"
", Grade"

"District","District Code","Grade","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Kindergarten",15.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   1",6.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   2","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   3",7.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   4","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   5",19.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   6",8.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   7",14.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   8",13.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   9","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 10","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 11","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade 12","*"
"Amistad Academy District","=""2790013""","Kindergarten","*"
"Amistad Academy District","=""2790013""","Grade   1","*"
"Amistad Academy District","=""2790013""","Grade   2","*"
"Amistad Academy District","=""2790013""","Grade   3","*"
"Amistad Academy District","=""2790013""","Grade   4","*"
"Amistad Academy District","=""2790013""","Grade   5",7.4
"Amistad Academy District","=""2790013""","Grade   6",8.8
"Amistad Academy District","=""2790013""","Grade   7",8.8
"Amistad Academy District","=""2790013""","Grade   8","*"
"Amistad Academy District","=""2790013""","Grade   9",9.2
"Amistad Academy District","=""2790013""","Grade 10","*"
"Amistad Academy District","=""2790013""","Grade 11","*"
"Amistad Academy District","=""2790013""","Grade 12","*"
"Andover School District","=""0010011""","Kindergarten",0.0
"Andover School District","=""0010011""","Grade   1",0.0
"Andover School District","=""0010011""","Grade   2","*"
"Andover School District","=""0010011""","Grade   3","*"
"Andover School District","=""0010011""","Grade   4",0.0
"Andover School District","=""0010011""","Grade   5","*"
"Andover School District","=""0010011""","Grade   6","*"
"Ansonia School District","=""0020011""","Kindergarten",16.5
"Ansonia School District","=""0020011""","Grade   1",13.8
"Ansonia School District","=""0020011""","Grade   2",12.9
"Ansonia School District","=""0020011""","Grade   3",10.3
"Ansonia School District","=""0020011""","Grade   4",8.9
"Ansonia School District","=""0020011""","Grade   5",10.6
"Ansonia School District","=""0020011""","Grade   6",10.1
"Ansonia School District","=""0020011""","Grade   7",17.4
"Ansonia School District","=""0020011""","Grade   8",12.5
"Ansonia School District","=""0020011""","Grade   9",17.9
"Ansonia School District","=""0020011""","Grade 10",19.2
"Ansonia School District","=""0020011""","Grade 11",18.2
"Ansonia School District","=""0020011""","Grade 12",22.8
"Area Cooperative Educational Services","=""2440014""","Kindergarten",12.9
"Area Cooperative Educational Services","=""2440014""","Grade   1",7.1
"Area Cooperative Educational Services","=""2440014""","Grade   2",11.3
"Area Cooperative Educational Services","=""2440014""","Grade   3",6.7
"Area Cooperative Educational Services","=""2440014""","Grade   4",17.2
"Area Cooperative Educational Services","=""2440014""","Grade   5",20.0
"Area Cooperative Educational Services","=""2440014""","Grade   6",10.2
"Area Cooperative Educational Services","=""2440014""","Grade   7",13.1
"Area Cooperative Educational Services","=""2440014""","Grade   8",17.2
"Area Cooperative Educational Services","=""2440014""","Grade   9",48.0
"Area Cooperative Educational Services","=""2440014""","Grade 10",49.0
"Area Cooperative Educational Services","=""2440014""","Grade 11",47.5
"Area Cooperative Educational Services","=""2440014""","Grade 12",46.6
"Ashford School District","=""0030011""","Kindergarten","*"
"Ashford School District","=""0030011""","Grade   1","*"
"Ashford School District","=""0030011""","Grade   2",14.0
"Ashford School District","=""0030011""","Grade   3","*"
"Ashford School District","=""0030011""","Grade   4","*"
"Ashford School District","=""0030011""","Grade   5",0.0
"Ashford School District","=""0030011""","Grade   6","*"
"Ashford School District","=""0030011""","Grade   7","*"
"Ashford School District","=""0030011""","Grade   8",0.0
"Avon School District","=""0040011""","Kindergarten",13.0
"Avon School District","=""0040011""","Grade   1",6.5
"Avon School District","=""0040011""","Grade   2","*"
"Avon School District","=""0040011""","Grade   3","*"
"Avon School District","=""0040011""","Grade   4",2.7
"Avon School District","=""0040011""","Grade   5",3.3
"Avon School District","=""0040011""","Grade   6",2.9
"Avon School District","=""0040011""","Grade   7",2.2
"Avon School District","=""0040011""","Grade   8",4.3
"Avon School District","=""0040011""","Grade   9",5.8
"Avon School District","=""0040011""","Grade 10",5.6
"Avon School District","=""0040011""","Grade 11",5.2
"Avon School District","=""0040011""","Grade 12",4.9
"Barkhamsted School District","=""0050011""","Kindergarten","*"
"Barkhamsted School District","=""0050011""","Grade   1","*"
"Barkhamsted School District","=""0050011""","Grade   2","*"
"Barkhamsted School District","=""0050011""","Grade   3","*"
"Barkhamsted School District","=""0050011""","Grade   4","*"
"Barkhamsted School District","=""0050011""","Grade   5","*"
"Barkhamsted School District","=""0050011""","Grade   6",0.0
"Berlin School District","=""0070011""","Kindergarten","*"
"Berlin School District","=""0070011""","Grade   1","*"
"Berlin School District","=""0070011""","Grade   2","*"
"Berlin School District","=""0070011""","Grade   3","*"
"Berlin School District","=""0070011""","Grade   4",3.2
"Berlin School District","=""0070011""","Grade   5",2.4
"Berlin School District","=""0070011""","Grade   6","*"
"Berlin School District","=""0070011""","Grade   7",2.8
"Berlin School District","=""0070011""","Grade   8",3.7
"Berlin School District","=""0070011""","Grade   9",3.8
"Berlin School District","=""0070011""","Grade 10",4.1
"Berlin School District","=""0070011""","Grade 11",8.4
"Berlin School District","=""0070011""","Grade 12",7.7
"Bethany School District","=""0080011""","Kindergarten","*"
"Bethany School District","=""0080011""","Grade   1","*"
"Bethany School District","=""0080011""","Grade   2","*"
"Bethany School District","=""0080011""","Grade   3","*"
"Bethany School District","=""0080011""","Grade   4","*"
"Bethany School District","=""0080011""","Grade   5",0.0
"Bethany School District","=""0080011""","Grade   6",11.1
"Bethel School District","=""0090011""","Kindergarten",4.0
"Bethel School District","=""0090011""","Grade   1","*"
"Bethel School District","=""0090011""","Grade   2",2.6
"Bethel School District","=""0090011""","Grade   3",3.1
"Bethel School District","=""0090011""","Grade   4",13.6
"Bethel School District","=""0090011""","Grade   5",14.4
"Bethel School District","=""0090011""","Grade   6",4.2
"Bethel School District","=""0090011""","Grade   7",2.8
"Bethel School District","=""0090011""","Grade   8",4.5
"Bethel School District","=""0090011""","Grade   9",6.7
"Bethel School District","=""0090011""","Grade 10",6.1
"Bethel School District","=""0090011""","Grade 11",12.1
"Bethel School District","=""0090011""","Grade 12",13.7
"Bloomfield School District","=""0110011""","Kindergarten",10.7
"Bloomfield School District","=""0110011""","Grade   1",4.9
"Bloomfield School District","=""0110011""","Grade   2",14.0
"Bloomfield School District","=""0110011""","Grade   3",4.1
"Bloomfield School District","=""0110011""","Grade   4",7.0
"Bloomfield School District","=""0110011""","Grade   5",6.3
"Bloomfield School District","=""0110011""","Grade   6","*"
"Bloomfield School District","=""0110011""","Grade   7",6.7
"Bloomfield School District","=""0110011""","Grade   8",7.6
"Bloomfield School District","=""0110011""","Grade   9",12.1
"Bloomfield School District","=""0110011""","Grade 10",13.9
"Bloomfield School District","=""0110011""","Grade 11",12.8
"Bloomfield School District","=""0110011""","Grade 12",8.1
"Bolton School District","=""0120011""","Kindergarten","*"
"Bolton School District","=""0120011""","Grade   1","*"
"Bolton School District","=""0120011""","Grade   2","*"
"Bolton School District","=""0120011""","Grade   3","*"
"Bolton School District","=""0120011""","Grade   4","*"
"Bolton School District","=""0120011""","Grade   5","*"
"Bolton School District","=""0120011""","Grade   6","*"
"Bolton School District","=""0120011""","Grade   7","*"
"Bolton School District","=""0120011""","Grade   8","*"
"Bolton School District","=""0120011""","Grade   9",0.0
"Bolton School District","=""0120011""","Grade 10","*"
"Bolton School District","=""0120011""","Grade 11","*"
"Bolton School District","=""0120011""","Grade 12","*"
"Booker T. Washington Academy District","=""2950013""","Kindergarten",27.6
"Booker T. Washington Academy District","=""2950013""","Grade   1",18.4
"Booker T. Washington Academy District","=""2950013""","Grade   2","*"
"Bozrah School District","=""0130011""","Kindergarten","*"
"Bozrah School District","=""0130011""","Grade   1","*"
"Bozrah School District","=""0130011""","Grade   2","*"
"Bozrah School District","=""0130011""","Grade   3","*"
"Bozrah School District","=""0130011""","Grade   4",0.0
"Bozrah School District","=""0130011""","Grade   5","*"
"Bozrah School District","=""0130011""","Grade   6",0.0
"Bozrah School District","=""0130011""","Grade   7","*"
"Bozrah School District","=""0130011""","Grade   8","*"
"Bozrah School District","=""0130011""","Grade 12","*"
"Branford School District","=""0140011""","Kindergarten",11.6
"Branford School District","=""0140011""","Grade   1",6.8
"Branford School District","=""0140011""","Grade   2",3.3
"Branford School District","=""0140011""","Grade   3",4.6
"Branford School District","=""0140011""","Grade   4",7.3
"Branford School District","=""0140011""","Grade   5",4.8
"Branford School District","=""0140011""","Grade   6",6.7
"Branford School District","=""0140011""","Grade   7",8.4
"Branford School District","=""0140011""","Grade   8",9.1
"Branford School District","=""0140011""","Grade   9",10.7
"Branford School District","=""0140011""","Grade 10",11.3
"Branford School District","=""0140011""","Grade 11",15.4
"Branford School District","=""0140011""","Grade 12",19.8
"Brass City Charter School District","=""2900013""","Kindergarten","*"
"Brass City Charter School District","=""2900013""","Grade   1","*"
"Brass City Charter School District","=""2900013""","Grade   2","*"
"Brass City Charter School District","=""2900013""","Grade   3","*"
"Bridgeport Achievement First District","=""2850013""","Kindergarten","*"
"Bridgeport Achievement First District","=""2850013""","Grade   1","*"
"Bridgeport Achievement First District","=""2850013""","Grade   2","*"
"Bridgeport Achievement First District","=""2850013""","Grade   3","*"
"Bridgeport Achievement First District","=""2850013""","Grade   4","*"
"Bridgeport Achievement First District","=""2850013""","Grade   5","*"
"Bridgeport Achievement First District","=""2850013""","Grade   6","*"
"Bridgeport Achievement First District","=""2850013""","Grade   7","*"
"Bridgeport Achievement First District","=""2850013""","Grade   8",7.8
"Bridgeport Achievement First District","=""2850013""","Grade   9","*"
"Bridgeport Achievement First District","=""2850013""","Grade 10",14.0
"Bridgeport Achievement First District","=""2850013""","Grade 11","*"
"Bridgeport Achievement First District","=""2850013""","Grade 12","*"
"Bridgeport School District","=""0150011""","Kindergarten",18.8
"Bridgeport School District","=""0150011""","Grade   1",16.3
"Bridgeport School District","=""0150011""","Grade   2",12.6
"Bridgeport School District","=""0150011""","Grade   3",11.8
"Bridgeport School District","=""0150011""","Grade   4",11.6
"Bridgeport School District","=""0150011""","Grade   5",12.3
"Bridgeport School District","=""0150011""","Grade   6",14.5
"Bridgeport School District","=""0150011""","Grade   7",15.0
"Bridgeport School District","=""0150011""","Grade   8",16.4
"Bridgeport School District","=""0150011""","Grade   9",27.3
"Bridgeport School District","=""0150011""","Grade 10",25.4
"Bridgeport School District","=""0150011""","Grade 11",25.1
"Bridgeport School District","=""0150011""","Grade 12",25.0
"Bristol School District","=""0170011""","Kindergarten",10.1
"Bristol School District","=""0170011""","Grade   1",4.2
"Bristol School District","=""0170011""","Grade   2",6.7
"Bristol School District","=""0170011""","Grade   3",4.8
"Bristol School District","=""0170011""","Grade   4",4.9
"Bristol School District","=""0170011""","Grade   5",4.6
"Bristol School District","=""0170011""","Grade   6",6.2
"Bristol School District","=""0170011""","Grade   7",10.0
"Bristol School District","=""0170011""","Grade   8",9.6
"Bristol School District","=""0170011""","Grade   9",14.9
"Bristol School District","=""0170011""","Grade 10",12.4
"Bristol School District","=""0170011""","Grade 11",10.0
"Bristol School District","=""0170011""","Grade 12",14.1
"Brookfield School District","=""0180011""","Kindergarten",4.2
"Brookfield School District","=""0180011""","Grade   1","*"
"Brookfield School District","=""0180011""","Grade   2","*"
"Brookfield School District","=""0180011""","Grade   3","*"
"Brookfield School District","=""0180011""","Grade   4","*"
"Brookfield School District","=""0180011""","Grade   5","*"
"Brookfield School District","=""0180011""","Grade   6",2.6
"Brookfield School District","=""0180011""","Grade   7",3.3
"Brookfield School District","=""0180011""","Grade   8",4.0
"Brookfield School District","=""0180011""","Grade   9",0.0
"Brookfield School District","=""0180011""","Grade 10","*"
"Brookfield School District","=""0180011""","Grade 11",0.0
"Brookfield School District","=""0180011""","Grade 12",2.7
"Brooklyn School District","=""0190011""","Kindergarten","*"
"Brooklyn School District","=""0190011""","Grade   1","*"
"Brooklyn School District","=""0190011""","Grade   2","*"
"Brooklyn School District","=""0190011""","Grade   3","*"
"Brooklyn School District","=""0190011""","Grade   4",0.0
"Brooklyn School District","=""0190011""","Grade   5","*"
"Brooklyn School District","=""0190011""","Grade   6","*"
"Brooklyn School District","=""0190011""","Grade   7","*"
"Brooklyn School District","=""0190011""","Grade   8","*"
"Brooklyn School District","=""0190011""","Grade 10","*"
"Brooklyn School District","=""0190011""","Grade 11","*"
"Brooklyn School District","=""0190011""","Grade 12","*"
"Canaan School District","=""0210011""","Kindergarten","*"
"Canaan School District","=""0210011""","Grade   1","*"
"Canaan School District","=""0210011""","Grade   2","*"
"Canaan School District","=""0210011""","Grade   3","*"
"Canaan School District","=""0210011""","Grade   4","*"
"Canaan School District","=""0210011""","Grade   5","*"
"Canaan School District","=""0210011""","Grade   6","*"
"Canaan School District","=""0210011""","Grade   7","*"
"Canaan School District","=""0210011""","Grade   8","*"
"Canterbury School District","=""0220011""","Kindergarten","*"
"Canterbury School District","=""0220011""","Grade   1","*"
"Canterbury School District","=""0220011""","Grade   2",0.0
"Canterbury School District","=""0220011""","Grade   3",0.0
"Canterbury School District","=""0220011""","Grade   4","*"
"Canterbury School District","=""0220011""","Grade   5","*"
"Canterbury School District","=""0220011""","Grade   6","*"
"Canterbury School District","=""0220011""","Grade   7","*"
"Canterbury School District","=""0220011""","Grade   8","*"
"Canterbury School District","=""0220011""","Grade   9","*"
"Canton School District","=""0230011""","Kindergarten",6.5
"Canton School District","=""0230011""","Grade   1",8.7
"Canton School District","=""0230011""","Grade   2",6.2
"Canton School District","=""0230011""","Grade   3",8.5
"Canton School District","=""0230011""","Grade   4",5.1
"Canton School District","=""0230011""","Grade   5",5.0
"Canton School District","=""0230011""","Grade   6","*"
"Canton School District","=""0230011""","Grade   7",4.8
"Canton School District","=""0230011""","Grade   8","*"
"Canton School District","=""0230011""","Grade   9",5.5
"Canton School District","=""0230011""","Grade 10",5.5
"Canton School District","=""0230011""","Grade 11",7.6
"Canton School District","=""0230011""","Grade 12",6.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade   6","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade   7","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade   8","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade   9","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade 10",21.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade 11",29.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Grade 12","*"
"Capitol Region Education Council","=""2410014""","Kindergarten",9.8
"Capitol Region Education Council","=""2410014""","Grade   1",10.3
"Capitol Region Education Council","=""2410014""","Grade   2",8.3
"Capitol Region Education Council","=""2410014""","Grade   3",5.8
"Capitol Region Education Council","=""2410014""","Grade   4",7.5
"Capitol Region Education Council","=""2410014""","Grade   5",6.9
"Capitol Region Education Council","=""2410014""","Grade   6",6.1
