"Chronic Absenteeism, 2015-16"
", English Learner Status"

"District","District Code","English Learner Status","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELL",14.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Non-ELL",9.9
"Amistad Academy District","=""2790013""","ELL","*"
"Amistad Academy District","=""2790013""","Non-ELL",5.4
"Andover School District","=""0010011""","ELL","*"
"Andover School District","=""0010011""","Non-ELL","*"
"Ansonia School District","=""0020011""","ELL",21.7
"Ansonia School District","=""0020011""","Non-ELL",14.3
"Area Cooperative Educational Services","=""2440014""","ELL",21.1
"Area Cooperative Educational Services","=""2440014""","Non-ELL",18.1
"Ashford School District","=""0030011""","ELL","*"
"Ashford School District","=""0030011""","Non-ELL",4.9
"Avon School District","=""0040011""","ELL",5.1
"Avon School District","=""0040011""","Non-ELL",4.5
"Barkhamsted School District","=""0050011""","Non-ELL",4.2
"Berlin School District","=""0070011""","ELL","*"
"Berlin School District","=""0070011""","Non-ELL",3.7
"Bethany School District","=""0080011""","ELL","*"
"Bethany School District","=""0080011""","Non-ELL",5.2
"Bethel School District","=""0090011""","ELL",11.0
"Bethel School District","=""0090011""","Non-ELL",6.8
"Bloomfield School District","=""0110011""","ELL","*"
"Bloomfield School District","=""0110011""","Non-ELL",8.8
"Bolton School District","=""0120011""","ELL","*"
"Bolton School District","=""0120011""","Non-ELL",3.3
"Booker T. Washington Academy District","=""2950013""","Non-ELL",20.2
"Bozrah School District","=""0130011""","ELL","*"
"Bozrah School District","=""0130011""","Non-ELL",5.5
"Branford School District","=""0140011""","ELL",8.9
"Branford School District","=""0140011""","Non-ELL",9.4
"Brass City Charter School District","=""2900013""","Non-ELL",7.4
"Bridgeport Achievement First District","=""2850013""","ELL",5.7
"Bridgeport Achievement First District","=""2850013""","Non-ELL",4.5
"Bridgeport School District","=""0150011""","ELL",16.2
"Bridgeport School District","=""0150011""","Non-ELL",17.5
"Bristol School District","=""0170011""","ELL",10.8
"Bristol School District","=""0170011""","Non-ELL",8.6
"Brookfield School District","=""0180011""","ELL","*"
"Brookfield School District","=""0180011""","Non-ELL",2.2
"Brooklyn School District","=""0190011""","ELL","*"
"Brooklyn School District","=""0190011""","Non-ELL",2.4
"Canaan School District","=""0210011""","ELL","*"
"Canaan School District","=""0210011""","Non-ELL",8.2
"Canterbury School District","=""0220011""","Non-ELL",3.7
"Canton School District","=""0230011""","ELL","*"
"Canton School District","=""0230011""","Non-ELL",5.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","Non-ELL",13.7
"Capitol Region Education Council","=""2410014""","ELL",17.5
"Capitol Region Education Council","=""2410014""","Non-ELL",11.3
"Chaplin School District","=""0240011""","Non-ELL",10.1
"Cheshire School District","=""0250011""","ELL",14.3
"Cheshire School District","=""0250011""","Non-ELL",5.1
"Chester School District","=""0260011""","ELL","*"
"Chester School District","=""0260011""","Non-ELL",2.8
"Clinton School District","=""0270011""","ELL","*"
"Clinton School District","=""0270011""","Non-ELL",5.4
"Colchester School District","=""0280011""","ELL","*"
"Colchester School District","=""0280011""","Non-ELL",5.8
"Colebrook School District","=""0290011""","Non-ELL","*"
"Columbia School District","=""0300011""","Non-ELL",3.8
"Common Ground High School District","=""2680013""","ELL","*"
"Common Ground High School District","=""2680013""","Non-ELL",11.8
"Connecticut Technical High School System","=""9000016""","ELL",14.9
"Connecticut Technical High School System","=""9000016""","Non-ELL",12.6
"Cooperative Educational Services","=""2430014""","ELL","*"
"Cooperative Educational Services","=""2430014""","Non-ELL",16.4
"Cornwall School District","=""0310011""","ELL","*"
"Cornwall School District","=""0310011""","Non-ELL","*"
"Coventry School District","=""0320011""","ELL","*"
"Coventry School District","=""0320011""","Non-ELL",5.6
"Cromwell School District","=""0330011""","ELL","*"
"Cromwell School District","=""0330011""","Non-ELL",1.6
"Danbury School District","=""0340011""","ELL",6.6
"Danbury School District","=""0340011""","Non-ELL",7.6
"Darien School District","=""0350011""","ELL","*"
"Darien School District","=""0350011""","Non-ELL",2.9
"Deep River School District","=""0360011""","ELL","*"
"Deep River School District","=""0360011""","Non-ELL",2.0
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*"
"Derby School District","=""0370011""","ELL",13.3
"Derby School District","=""0370011""","Non-ELL",13.0
"East Granby School District","=""0400011""","ELL","*"
"East Granby School District","=""0400011""","Non-ELL",6.1
"East Haddam School District","=""0410011""","Non-ELL",6.3
"East Hampton School District","=""0420011""","ELL","*"
"East Hampton School District","=""0420011""","Non-ELL",7.4
"East Hartford School District","=""0430011""","ELL",15.2
"East Hartford School District","=""0430011""","Non-ELL",12.6
"East Haven School District","=""0440011""","ELL",3.5
"East Haven School District","=""0440011""","Non-ELL",10.8
"East Lyme School District","=""0450011""","ELL","*"
"East Lyme School District","=""0450011""","Non-ELL",4.6
"East Windsor School District","=""0470011""","ELL","*"
"East Windsor School District","=""0470011""","Non-ELL",12.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL",34.2
"Eastford School District","=""0390011""","Non-ELL","*"
"Easton School District","=""0460011""","ELL","*"
"Easton School District","=""0460011""","Non-ELL",1.7
"Education Connection","=""2420014""","Non-ELL","*"
"Ellington School District","=""0480011""","ELL","*"
"Ellington School District","=""0480011""","Non-ELL",4.2
"Elm City College Preparatory School District","=""2890013""","ELL",0.0
"Elm City College Preparatory School District","=""2890013""","Non-ELL",5.9
"Elm City Montessori School District","=""2910013""","ELL","*"
"Elm City Montessori School District","=""2910013""","Non-ELL",17.9
"Enfield School District","=""0490011""","ELL",6.0
"Enfield School District","=""0490011""","Non-ELL",12.0
"Essex School District","=""0500011""","ELL","*"
"Essex School District","=""0500011""","Non-ELL",3.3
"Explorations District","=""2720013""","Non-ELL",30.6
"Fairfield School District","=""0510011""","ELL",5.2
"Fairfield School District","=""0510011""","Non-ELL",3.8
"Farmington School District","=""0520011""","ELL","*"
"Farmington School District","=""0520011""","Non-ELL",4.6
"Franklin School District","=""0530011""","Non-ELL","*"
"Glastonbury School District","=""0540011""","ELL","*"
"Glastonbury School District","=""0540011""","Non-ELL",2.7
"Granby School District","=""0560011""","ELL","*"
"Granby School District","=""0560011""","Non-ELL",5.2
"Great Oaks Charter School District","=""2940013""","ELL","*"
"Great Oaks Charter School District","=""2940013""","Non-ELL",15.3
"Greenwich School District","=""0570011""","ELL",2.9
"Greenwich School District","=""0570011""","Non-ELL",3.8
"Griswold School District","=""0580011""","ELL","*"
"Griswold School District","=""0580011""","Non-ELL",9.1
"Groton School District","=""0590011""","ELL",10.2
"Groton School District","=""0590011""","Non-ELL",11.1
"Guilford School District","=""0600011""","ELL","*"
"Guilford School District","=""0600011""","Non-ELL",4.6
"Hamden School District","=""0620011""","ELL",19.7
"Hamden School District","=""0620011""","Non-ELL",18.3
"Hampton School District","=""0630011""","Non-ELL",7.9
"Hartford School District","=""0640011""","ELL",29.1
"Hartford School District","=""0640011""","Non-ELL",20.7
"Hartland School District","=""0650011""","Non-ELL","*"
"Hebron School District","=""0670011""","ELL","*"
"Hebron School District","=""0670011""","Non-ELL",1.6
"Highville Charter School District","=""2860013""","ELL","*"
"Highville Charter School District","=""2860013""","Non-ELL",7.1
"Integrated Day Charter School District","=""2640013""","ELL","*"
"Integrated Day Charter School District","=""2640013""","Non-ELL",4.1
"Interdistrict School for Arts and Comm District","=""2650013""","ELL","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Non-ELL",6.8
"Jumoke Academy District","=""2610013""","Non-ELL",6.3
"Kent School District","=""0680011""","ELL","*"
"Kent School District","=""0680011""","Non-ELL",2.7
"Killingly School District","=""0690011""","ELL","*"
"Killingly School District","=""0690011""","Non-ELL",11.4
"Learn","=""2450014""","ELL",10.5
"Learn","=""2450014""","Non-ELL",10.1
"Lebanon School District","=""0710011""","ELL","*"
"Lebanon School District","=""0710011""","Non-ELL",6.5
"Ledyard School District","=""0720011""","ELL","*"
"Ledyard School District","=""0720011""","Non-ELL",7.2
"Lisbon School District","=""0730011""","ELL","*"
"Lisbon School District","=""0730011""","Non-ELL",5.0
"Litchfield School District","=""0740011""","ELL","*"
"Litchfield School District","=""0740011""","Non-ELL",9.2
"Madison School District","=""0760011""","ELL","*"
"Madison School District","=""0760011""","Non-ELL",1.9
"Manchester School District","=""0770011""","ELL",18.0
"Manchester School District","=""0770011""","Non-ELL",14.2
"Mansfield School District","=""0780011""","ELL",8.2
"Mansfield School District","=""0780011""","Non-ELL",4.8
"Marlborough School District","=""0790011""","Non-ELL",3.6
"Meriden School District","=""0800011""","ELL",13.4
"Meriden School District","=""0800011""","Non-ELL",12.6
"Middletown School District","=""0830011""","ELL",11.7
"Middletown School District","=""0830011""","Non-ELL",9.0
"Milford School District","=""0840011""","ELL",9.9
"Milford School District","=""0840011""","Non-ELL",7.3
"Monroe School District","=""0850011""","ELL","*"
"Monroe School District","=""0850011""","Non-ELL",2.6
"Montville School District","=""0860011""","ELL","*"
"Montville School District","=""0860011""","Non-ELL",6.7
"Naugatuck School District","=""0880011""","ELL",10.2
"Naugatuck School District","=""0880011""","Non-ELL",11.4
"New Beginnings Inc., Family Academy District","=""2800013""","Non-ELL",7.4
"New Britain School District","=""0890011""","ELL",23.1
"New Britain School District","=""0890011""","Non-ELL",16.9
"New Canaan School District","=""0900011""","ELL","*"
"New Canaan School District","=""0900011""","Non-ELL",2.4
"New Fairfield School District","=""0910011""","ELL",0.0
"New Fairfield School District","=""0910011""","Non-ELL",3.2
"New Hartford School District","=""0920011""","ELL","*"
"New Hartford School District","=""0920011""","Non-ELL",3.7
"New Haven School District","=""0930011""","ELL",19.3
"New Haven School District","=""0930011""","Non-ELL",20.0
"New London School District","=""0950011""","ELL",17.5
"New London School District","=""0950011""","Non-ELL",17.6
"New Milford School District","=""0960011""","ELL",7.2
"New Milford School District","=""0960011""","Non-ELL",5.5
"Newington School District","=""0940011""","ELL","*"
"Newington School District","=""0940011""","Non-ELL",5.2
"Newtown School District","=""0970011""","ELL","*"
"Newtown School District","=""0970011""","Non-ELL",4.5
"Norfolk School District","=""0980011""","Non-ELL","*"
"North Branford School District","=""0990011""","ELL",0.0
"North Branford School District","=""0990011""","Non-ELL",5.0
"North Canaan School District","=""1000011""","ELL","*"
"North Canaan School District","=""1000011""","Non-ELL",5.1
"North Haven School District","=""1010011""","ELL","*"
"North Haven School District","=""1010011""","Non-ELL",4.0
"North Stonington School District","=""1020011""","ELL","*"
"North Stonington School District","=""1020011""","Non-ELL",4.3
"Norwalk School District","=""1030011""","ELL",9.5
"Norwalk School District","=""1030011""","Non-ELL",10.3
"Norwich Free Academy District","=""9010022""","ELL",15.0
"Norwich Free Academy District","=""9010022""","Non-ELL",10.6
"Norwich School District","=""1040011""","ELL",7.8
"Norwich School District","=""1040011""","Non-ELL",10.1
"Odyssey Community School District","=""2630013""","ELL","*"
"Odyssey Community School District","=""2630013""","Non-ELL",4.6
"Old Saybrook School District","=""1060011""","ELL","*"
"Old Saybrook School District","=""1060011""","Non-ELL",6.5
"Orange School District","=""1070011""","ELL",9.8
"Orange School District","=""1070011""","Non-ELL",2.8
"Oxford School District","=""1080011""","ELL",0.0
"Oxford School District","=""1080011""","Non-ELL",7.0
"Park City Prep Charter School District","=""2830013""","ELL","*"
"Park City Prep Charter School District","=""2830013""","Non-ELL",6.4
"Path Academy District","=""2930013""","ELL",100.0
"Path Academy District","=""2930013""","Non-ELL",100.0
"Plainfield School District","=""1090011""","ELL","*"
"Plainfield School District","=""1090011""","Non-ELL",11.9
"Plainville School District","=""1100011""","ELL",11.9
"Plainville School District","=""1100011""","Non-ELL",8.0
"Plymouth School District","=""1110011""","ELL","*"
"Plymouth School District","=""1110011""","Non-ELL",11.0
"Pomfret School District","=""1120011""","ELL","*"
"Pomfret School District","=""1120011""","Non-ELL",2.6
"Portland School District","=""1130011""","ELL","*"
"Portland School District","=""1130011""","Non-ELL",6.0
"Preston School District","=""1140011""","ELL","*"
"Preston School District","=""1140011""","Non-ELL",4.7
"Putnam School District","=""1160011""","ELL","*"
"Putnam School District","=""1160011""","Non-ELL",14.8
"Redding School District","=""1170011""","ELL","*"
"Redding School District","=""1170011""","Non-ELL",3.1
"Regional School District 01","=""2010012""","ELL","*"
"Regional School District 01","=""2010012""","Non-ELL",9.9
"Regional School District 04","=""2040012""","ELL","*"
"Regional School District 04","=""2040012""","Non-ELL",6.8
"Regional School District 05","=""2050012""","ELL","*"
"Regional School District 05","=""2050012""","Non-ELL",2.7
"Regional School District 06","=""2060012""","ELL","*"
"Regional School District 06","=""2060012""","Non-ELL",4.9
"Regional School District 07","=""2070012""","Non-ELL",4.6
"Regional School District 08","=""2080012""","Non-ELL",6.9
"Regional School District 09","=""2090012""","ELL","*"
"Regional School District 09","=""2090012""","Non-ELL",9.4
"Regional School District 10","=""2100012""","ELL",0.0
"Regional School District 10","=""2100012""","Non-ELL",6.3
"Regional School District 11","=""2110012""","ELL","*"
"Regional School District 11","=""2110012""","Non-ELL",9.4
"Regional School District 12","=""2120012""","ELL","*"
"Regional School District 12","=""2120012""","Non-ELL",5.8
"Regional School District 13","=""2130012""","ELL","*"
"Regional School District 13","=""2130012""","Non-ELL",5.1
"Regional School District 14","=""2140012""","ELL",0.0
"Regional School District 14","=""2140012""","Non-ELL",6.4
"Regional School District 15","=""2150012""","ELL","*"
"Regional School District 15","=""2150012""","Non-ELL",3.0
"Regional School District 16","=""2160012""","ELL","*"
"Regional School District 16","=""2160012""","Non-ELL",7.1
"Regional School District 17","=""2170012""","ELL","*"
"Regional School District 17","=""2170012""","Non-ELL",4.3
"Regional School District 18","=""2180012""","ELL","*"
"Regional School District 18","=""2180012""","Non-ELL",6.8
"Regional School District 19","=""2190012""","ELL","*"
"Regional School District 19","=""2190012""","Non-ELL",9.0
"Ridgefield School District","=""1180011""","ELL","*"
"Ridgefield School District","=""1180011""","Non-ELL",4.6
"Rocky Hill School District","=""1190011""","ELL",13.0
"Rocky Hill School District","=""1190011""","Non-ELL",7.9
"Salem School District","=""1210011""","Non-ELL",5.0
"Salisbury School District","=""1220011""","ELL","*"
"Salisbury School District","=""1220011""","Non-ELL",4.5
"Scotland School District","=""1230011""","Non-ELL","*"
"Seymour School District","=""1240011""","ELL","*"
"Seymour School District","=""1240011""","Non-ELL",8.6
"Sharon School District","=""1250011""","Non-ELL",5.1
"Shelton School District","=""1260011""","ELL",13.9
"Shelton School District","=""1260011""","Non-ELL",13.4
"Sherman School District","=""1270011""","ELL","*"
"Sherman School District","=""1270011""","Non-ELL",5.8
"Side By Side Charter School District","=""2700013""","ELL","*"
"Side By Side Charter School District","=""2700013""","Non-ELL",4.5
"Simsbury School District","=""1280011""","ELL","*"
"Simsbury School District","=""1280011""","Non-ELL",4.7
"Somers School District","=""1290011""","ELL","*"
"Somers School District","=""1290011""","Non-ELL",10.9
"South Windsor School District","=""1320011""","ELL",7.3
"South Windsor School District","=""1320011""","Non-ELL",3.8
"Southington School District","=""1310011""","ELL",5.8
"Southington School District","=""1310011""","Non-ELL",6.3
"Sprague School District","=""1330011""","ELL","*"
"Sprague School District","=""1330011""","Non-ELL",8.4
"Stafford School District","=""1340011""","ELL","*"
"Stafford School District","=""1340011""","Non-ELL",8.0
"Stamford Academy District","=""2820013""","Non-ELL",99.3
"Stamford Charter School for Excellence District","=""2960013""","Non-ELL",8.2
"Stamford School District","=""1350011""","ELL",13.6
"Stamford School District","=""1350011""","Non-ELL",11.4
"State Level","=""0000000""","ELL",14.9
"State Level","=""0000000""","Non-ELL",9.2
"Sterling School District","=""1360011""","Non-ELL",8.6
"Stonington School District","=""1370011""","ELL","*"
"Stonington School District","=""1370011""","Non-ELL",6.1
"Stratford School District","=""1380011""","ELL",11.4
"Stratford School District","=""1380011""","Non-ELL",11.8
"Suffield School District","=""1390011""","ELL","*"
"Suffield School District","=""1390011""","Non-ELL",6.1
"The Bridge Academy District","=""2690013""","ELL","*"
"The Bridge Academy District","=""2690013""","Non-ELL",8.0
"The Gilbert School District","=""9020022""","ELL","*"
"The Gilbert School District","=""9020022""","Non-ELL",4.7
"Thomaston School District","=""1400011""","ELL","*"
"Thomaston School District","=""1400011""","Non-ELL",6.9
"Thompson School District","=""1410011""","ELL","*"
"Thompson School District","=""1410011""","Non-ELL",7.8
"Tolland School District","=""1420011""","ELL","*"
"Tolland School District","=""1420011""","Non-ELL",4.9
"Torrington School District","=""1430011""","ELL",3.2
"Torrington School District","=""1430011""","Non-ELL",10.4
"Trailblazers Academy District","=""2780013""","ELL","*"
"Trailblazers Academy District","=""2780013""","Non-ELL",18.3
"Trumbull School District","=""1440011""","ELL",10.3
"Trumbull School District","=""1440011""","Non-ELL",4.7
"Unified School District #1","=""3360015""","Non-ELL",34.3
"Unified School District #2","=""3470015""","Non-ELL",9.1
"Union School District","=""1450011""","Non-ELL","*"
"Vernon School District","=""1460011""","ELL",13.8
"Vernon School District","=""1460011""","Non-ELL",9.9
"Voluntown School District","=""1470011""","Non-ELL",3.1
"Wallingford School District","=""1480011""","ELL",7.3
"Wallingford School District","=""1480011""","Non-ELL",5.0
"Waterbury School District","=""1510011""","ELL",19.7
"Waterbury School District","=""1510011""","Non-ELL",15.7
"Waterford School District","=""1520011""","ELL","*"
"Waterford School District","=""1520011""","Non-ELL",5.7
"Watertown School District","=""1530011""","ELL","*"
"Watertown School District","=""1530011""","Non-ELL",8.0
"West Hartford School District","=""1550011""","ELL",8.1
"West Hartford School District","=""1550011""","Non-ELL",5.2
"West Haven School District","=""1560011""","ELL",7.8
"West Haven School District","=""1560011""","Non-ELL",11.9
"Westbrook School District","=""1540011""","ELL",11.8
"Westbrook School District","=""1540011""","Non-ELL",3.9
"Weston School District","=""1570011""","ELL","*"
