"Chronic Absenteeism, 2011-12"
", Grade"

"District","District Code","Grade","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Kindergarten","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   1",10.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   2","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   3","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   4","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   5",9.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   6",6.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   7",16.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Grade   8",13.0
"Amistad Academy District","=""2790013""","Kindergarten",0.0
"Amistad Academy District","=""2790013""","Grade   1","*"
"Amistad Academy District","=""2790013""","Grade   2","*"
"Amistad Academy District","=""2790013""","Grade   3",0.0
"Amistad Academy District","=""2790013""","Grade   4","*"
"Amistad Academy District","=""2790013""","Grade   5","*"
"Amistad Academy District","=""2790013""","Grade   6","*"
"Amistad Academy District","=""2790013""","Grade   7","*"
"Amistad Academy District","=""2790013""","Grade   8","*"
"Amistad Academy District","=""2790013""","Grade   9","*"
"Amistad Academy District","=""2790013""","Grade 10","*"
"Amistad Academy District","=""2790013""","Grade 11",0.0
"Amistad Academy District","=""2790013""","Grade 12","*"
"Andover School District","=""0010011""","Kindergarten",0.0
"Andover School District","=""0010011""","Grade   1",0.0
"Andover School District","=""0010011""","Grade   2",0.0
"Andover School District","=""0010011""","Grade   3","*"
"Andover School District","=""0010011""","Grade   4",0.0
"Andover School District","=""0010011""","Grade   5","*"
"Andover School District","=""0010011""","Grade   6",0.0
"Ansonia School District","=""0020011""","Kindergarten",23.3
"Ansonia School District","=""0020011""","Grade   1",12.6
"Ansonia School District","=""0020011""","Grade   2",7.7
"Ansonia School District","=""0020011""","Grade   3",10.3
"Ansonia School District","=""0020011""","Grade   4",11.9
"Ansonia School District","=""0020011""","Grade   5",7.1
"Ansonia School District","=""0020011""","Grade   6",8.2
"Ansonia School District","=""0020011""","Grade   7",17.1
"Ansonia School District","=""0020011""","Grade   8",14.8
"Ansonia School District","=""0020011""","Grade   9",17.0
"Ansonia School District","=""0020011""","Grade 10",13.1
"Ansonia School District","=""0020011""","Grade 11",8.5
"Ansonia School District","=""0020011""","Grade 12",8.4
"Area Cooperative Educational Services","=""2440014""","Kindergarten",8.2
"Area Cooperative Educational Services","=""2440014""","Grade   1",9.9
"Area Cooperative Educational Services","=""2440014""","Grade   2",15.2
"Area Cooperative Educational Services","=""2440014""","Grade   3",14.2
"Area Cooperative Educational Services","=""2440014""","Grade   4",16.4
"Area Cooperative Educational Services","=""2440014""","Grade   5",16.5
"Area Cooperative Educational Services","=""2440014""","Grade   6",10.5
"Area Cooperative Educational Services","=""2440014""","Grade   7",14.1
"Area Cooperative Educational Services","=""2440014""","Grade   8",17.5
"Area Cooperative Educational Services","=""2440014""","Grade   9",63.6
"Area Cooperative Educational Services","=""2440014""","Grade 10",51.0
"Area Cooperative Educational Services","=""2440014""","Grade 11",49.1
"Area Cooperative Educational Services","=""2440014""","Grade 12",40.6
"Ashford School District","=""0030011""","Kindergarten",10.9
"Ashford School District","=""0030011""","Grade   1","*"
"Ashford School District","=""0030011""","Grade   2","*"
"Ashford School District","=""0030011""","Grade   3","*"
"Ashford School District","=""0030011""","Grade   4","*"
"Ashford School District","=""0030011""","Grade   5","*"
"Ashford School District","=""0030011""","Grade   6",12.0
"Ashford School District","=""0030011""","Grade   7",11.5
"Ashford School District","=""0030011""","Grade   8",13.7
"Avon School District","=""0040011""","Kindergarten",8.1
"Avon School District","=""0040011""","Grade   1",5.2
"Avon School District","=""0040011""","Grade   2",2.3
"Avon School District","=""0040011""","Grade   3",4.2
"Avon School District","=""0040011""","Grade   4",3.9
"Avon School District","=""0040011""","Grade   5",6.4
"Avon School District","=""0040011""","Grade   6",3.9
"Avon School District","=""0040011""","Grade   7",4.1
"Avon School District","=""0040011""","Grade   8",7.6
"Avon School District","=""0040011""","Grade   9",3.2
"Avon School District","=""0040011""","Grade 10",3.8
"Avon School District","=""0040011""","Grade 11",3.7
"Avon School District","=""0040011""","Grade 12","*"
"Barkhamsted School District","=""0050011""","Kindergarten","*"
"Barkhamsted School District","=""0050011""","Grade   1","*"
"Barkhamsted School District","=""0050011""","Grade   2",0.0
"Barkhamsted School District","=""0050011""","Grade   3","*"
"Barkhamsted School District","=""0050011""","Grade   4","*"
"Barkhamsted School District","=""0050011""","Grade   5","*"
"Barkhamsted School District","=""0050011""","Grade   6","*"
"Berlin School District","=""0070011""","Kindergarten","*"
"Berlin School District","=""0070011""","Grade   1",2.6
"Berlin School District","=""0070011""","Grade   2","*"
"Berlin School District","=""0070011""","Grade   3",3.3
"Berlin School District","=""0070011""","Grade   4",3.4
