"Chronic Absenteeism, 2011-12"
", Gender"

"District","District Code","Gender","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",5.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",10.4
"Amistad Academy District","=""2790013""","Female",1.9
"Amistad Academy District","=""2790013""","Male",3.3
"Andover School District","=""0010011""","Female","*"
"Andover School District","=""0010011""","Male",0.0
"Ansonia School District","=""0020011""","Female",11.6
"Ansonia School District","=""0020011""","Male",12.8
"Area Cooperative Educational Services","=""2440014""","Female",13.4
"Area Cooperative Educational Services","=""2440014""","Male",22.0
"Ashford School District","=""0030011""","Female",9.4
"Ashford School District","=""0030011""","Male",9.6
"Avon School District","=""0040011""","Female",4.6
"Avon School District","=""0040011""","Male",4.0
"Barkhamsted School District","=""0050011""","Female",5.3
"Barkhamsted School District","=""0050011""","Male","*"
"Berlin School District","=""0070011""","Female",6.9
"Berlin School District","=""0070011""","Male",4.8
"Bethany School District","=""0080011""","Female",3.9
"Bethany School District","=""0080011""","Male",2.5
"Bethel School District","=""0090011""","Female",6.7
"Bethel School District","=""0090011""","Male",5.6
"Bloomfield School District","=""0110011""","Female",7.5
"Bloomfield School District","=""0110011""","Male",7.6
"Bolton School District","=""0120011""","Female",1.8
"Bolton School District","=""0120011""","Male",3.5
"Bozrah School District","=""0130011""","Female",6.5
"Bozrah School District","=""0130011""","Male","*"
"Branford School District","=""0140011""","Female",7.6
"Branford School District","=""0140011""","Male",7.2
"Bridgeport Achievement First District","=""2850013""","Female","*"
"Bridgeport Achievement First District","=""2850013""","Male",2.2
"Bridgeport School District","=""0150011""","Female",18.8
"Bridgeport School District","=""0150011""","Male",20.4
"Bristol School District","=""0170011""","Female",10.3
"Bristol School District","=""0170011""","Male",12.5
"Brookfield School District","=""0180011""","Female",4.7
"Brookfield School District","=""0180011""","Male",5.1
"Brooklyn School District","=""0190011""","Female",5.8
"Brooklyn School District","=""0190011""","Male",8.1
"Canaan School District","=""0210011""","Female",13.3
"Canaan School District","=""0210011""","Male","*"
"Canterbury School District","=""0220011""","Female",3.8
"Canterbury School District","=""0220011""","Male",3.6
"Canton School District","=""0230011""","Female",5.0
"Canton School District","=""0230011""","Male",4.0
"Capitol Region Education Council","=""2410014""","Female",15.6
"Capitol Region Education Council","=""2410014""","Male",13.2
"Chaplin School District","=""0240011""","Female",8.9
"Chaplin School District","=""0240011""","Male",10.3
"Cheshire School District","=""0250011""","Female",5.1
"Cheshire School District","=""0250011""","Male",5.7
"Chester School District","=""0260011""","Female","*"
"Chester School District","=""0260011""","Male",9.2
"Clinton School District","=""0270011""","Female",10.4
"Clinton School District","=""0270011""","Male",10.6
"Colchester School District","=""0280011""","Female",2.4
"Colchester School District","=""0280011""","Male",2.6
"Colebrook School District","=""0290011""","Female",0.0
"Colebrook School District","=""0290011""","Male","*"
"Columbia School District","=""0300011""","Female",7.9
"Columbia School District","=""0300011""","Male",6.9
"Common Ground High School District","=""2680013""","Female",13.6
"Common Ground High School District","=""2680013""","Male",12.2
"Connecticut Technical High School System","=""9000016""","Female",13.3
"Connecticut Technical High School System","=""9000016""","Male",8.3
"Cooperative Educational Services","=""2430014""","Female",16.7
"Cooperative Educational Services","=""2430014""","Male",17.1
"Cornwall School District","=""0310011""","Female",12.0
"Cornwall School District","=""0310011""","Male",0.0
"Coventry School District","=""0320011""","Female",6.9
"Coventry School District","=""0320011""","Male",5.4
"Cromwell School District","=""0330011""","Female",6.2
"Cromwell School District","=""0330011""","Male",6.3
"Danbury School District","=""0340011""","Female",11.5
"Danbury School District","=""0340011""","Male",13.5
"Darien School District","=""0350011""","Female",4.2
"Darien School District","=""0350011""","Male",4.0
"Deep River School District","=""0360011""","Female",4.8
"Deep River School District","=""0360011""","Male",6.3
"Department of Mental Health and Addiction Services","=""3370015""","Female","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","*"
"Derby School District","=""0370011""","Female",13.2
"Derby School District","=""0370011""","Male",13.1
"East Granby School District","=""0400011""","Female",6.8
"East Granby School District","=""0400011""","Male",3.8
"East Haddam School District","=""0410011""","Female",8.9
"East Haddam School District","=""0410011""","Male",6.8
"East Hampton School District","=""0420011""","Female",6.6
"East Hampton School District","=""0420011""","Male",5.2
"East Hartford School District","=""0430011""","Female",9.4
"East Hartford School District","=""0430011""","Male",10.3
"East Haven School District","=""0440011""","Female",17.6
"East Haven School District","=""0440011""","Male",17.1
"East Lyme School District","=""0450011""","Female",5.7
"East Lyme School District","=""0450011""","Male",6.2
"East Windsor School District","=""0470011""","Female",11.6
"East Windsor School District","=""0470011""","Male",12.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",22.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",18.2
"Eastford School District","=""0390011""","Female","*"
"Eastford School District","=""0390011""","Male","*"
"Easton School District","=""0460011""","Female",5.0
"Easton School District","=""0460011""","Male",3.4
"Education Connection","=""2420014""","Female","*"
"Education Connection","=""2420014""","Male",45.5
"Ellington School District","=""0480011""","Female",5.1
"Ellington School District","=""0480011""","Male",3.7
"Elm City College Preparatory School District","=""2890013""","Female",2.3
"Elm City College Preparatory School District","=""2890013""","Male","*"
"Enfield School District","=""0490011""","Female",12.4
"Enfield School District","=""0490011""","Male",11.0
"Essex School District","=""0500011""","Female",3.1
"Essex School District","=""0500011""","Male",2.6
"Explorations District","=""2720013""","Female",28.1
"Explorations District","=""2720013""","Male","*"
"Fairfield School District","=""0510011""","Female",5.4
"Fairfield School District","=""0510011""","Male",4.9
"Farmington School District","=""0520011""","Female",5.4
"Farmington School District","=""0520011""","Male",5.6
"Franklin School District","=""0530011""","Female","*"
"Franklin School District","=""0530011""","Male","*"
"Glastonbury School District","=""0540011""","Female",3.7
"Glastonbury School District","=""0540011""","Male",3.1
"Granby School District","=""0560011""","Female",5.4
"Granby School District","=""0560011""","Male",3.9
"Greenwich School District","=""0570011""","Female",5.6
"Greenwich School District","=""0570011""","Male",5.7
"Griswold School District","=""0580011""","Female",11.3
"Griswold School District","=""0580011""","Male",11.6
"Groton School District","=""0590011""","Female",12.4
"Groton School District","=""0590011""","Male",14.4
"Guilford School District","=""0600011""","Female",6.0
"Guilford School District","=""0600011""","Male",6.6
"Hamden School District","=""0620011""","Female",12.6
"Hamden School District","=""0620011""","Male",13.6
"Hampton School District","=""0630011""","Female","*"
"Hampton School District","=""0630011""","Male","*"
"Hartford School District","=""0640011""","Female",24.9
"Hartford School District","=""0640011""","Male",27.1
"Hartland School District","=""0650011""","Female","*"
"Hartland School District","=""0650011""","Male","*"
"Hebron School District","=""0670011""","Female",3.4
"Hebron School District","=""0670011""","Male",4.0
"Highville Charter School District","=""2860013""","Female",3.9
"Highville Charter School District","=""2860013""","Male",5.0
"Integrated Day Charter School District","=""2640013""","Female",6.0
"Integrated Day Charter School District","=""2640013""","Male",7.6
"Interdistrict School for Arts and Comm District","=""2650013""","Female","*"
"Interdistrict School for Arts and Comm District","=""2650013""","Male",13.6
"Jumoke Academy District","=""2610013""","Female",3.1
"Jumoke Academy District","=""2610013""","Male","*"
"Kent School District","=""0680011""","Female",4.9
"Kent School District","=""0680011""","Male",8.5
"Killingly School District","=""0690011""","Female",15.1
"Killingly School District","=""0690011""","Male",13.3
"Learn","=""2450014""","Female",15.5
"Learn","=""2450014""","Male",13.5
"Lebanon School District","=""0710011""","Female",10.7
"Lebanon School District","=""0710011""","Male",9.2
"Ledyard School District","=""0720011""","Female",8.5
"Ledyard School District","=""0720011""","Male",7.9
"Lisbon School District","=""0730011""","Female",8.0
"Lisbon School District","=""0730011""","Male",4.5
"Litchfield School District","=""0740011""","Female",6.8
"Litchfield School District","=""0740011""","Male",6.9
"Madison School District","=""0760011""","Female",4.4
"Madison School District","=""0760011""","Male",3.8
"Manchester School District","=""0770011""","Female",21.1
"Manchester School District","=""0770011""","Male",21.1
"Mansfield School District","=""0780011""","Female",5.9
"Mansfield School District","=""0780011""","Male",4.3
"Marlborough School District","=""0790011""","Female",2.8
"Marlborough School District","=""0790011""","Male",5.4
"Meriden School District","=""0800011""","Female",12.0
"Meriden School District","=""0800011""","Male",12.5
"Middletown School District","=""0830011""","Female",11.6
"Middletown School District","=""0830011""","Male",11.4
"Milford School District","=""0840011""","Female",9.7
"Milford School District","=""0840011""","Male",11.0
"Monroe School District","=""0850011""","Female",7.0
"Monroe School District","=""0850011""","Male",5.6
"Montville School District","=""0860011""","Female",8.1
"Montville School District","=""0860011""","Male",8.2
"Naugatuck School District","=""0880011""","Female",12.9
"Naugatuck School District","=""0880011""","Male",12.5
"New Beginnings Inc., Family Academy District","=""2800013""","Female",6.9
"New Beginnings Inc., Family Academy District","=""2800013""","Male",9.6
"New Britain School District","=""0890011""","Female",27.4
"New Britain School District","=""0890011""","Male",25.9
"New Canaan School District","=""0900011""","Female",9.9
"New Canaan School District","=""0900011""","Male",8.2
"New Fairfield School District","=""0910011""","Female",7.6
"New Fairfield School District","=""0910011""","Male",8.1
"New Hartford School District","=""0920011""","Female",5.7
"New Hartford School District","=""0920011""","Male",3.9
"New Haven School District","=""0930011""","Female",19.7
"New Haven School District","=""0930011""","Male",20.7
"New London School District","=""0950011""","Female",25.4
"New London School District","=""0950011""","Male",26.2
"New Milford School District","=""0960011""","Female",10.4
"New Milford School District","=""0960011""","Male",10.4
"Newington School District","=""0940011""","Female",4.4
"Newington School District","=""0940011""","Male",5.2
"Newtown School District","=""0970011""","Female",2.9
