"Overall Expenditures, 2014-15"
"State of Connecticut"

"District","Type","Total","State % of Total"
"State of Connecticut","Instructional Staff and Services",4603362521,56.4
,="Instructional Supplies and Equipment",151826116,1.9
,="Instruction and Educational Media Services",268950433,3.3
,="Student Support Services",503195443,6.2
,="Administration and Support Services",862065290,10.6
,="Plant Operation and Maintenance",791153148,9.7
,="Transportation",455051499,5.6
,="Students Tuitioned Out",433303672,5.3
,="Other",98760864,1.2
,="Total Expenditures",8167668986,100.0

