"Overall Expenditures, 2012-13"
"State of Connecticut"

"District","Type","Total","State % of Total"
"State of Connecticut","Instructional Staff and Services",4597127833,56.8
,="Instructional Supplies and Equipment",144255662,1.8
,="Instruction and Educational Media Services",255267523,3.2
,="Student Support Services",506126444,6.3
,="Administration and Support Services",838618791,10.4
,="Plant Operation and Maintenance",771868579,9.5
,="Transportation",456137046,5.6
,="Students Tuitioned Out",428213670,5.3
,="Other",93115753,1.2
,="Total Expenditures",8090731301,100.0

