"Overall Expenditures, 2005-06"
"State of Connecticut"

"District","Type","Total","State % of Total"
"State of Connecticut","Instructional Staff and Services",3817416307,57.9
,="Instructional Supplies and Equipment",137905501,2.1
,="Instruction and Educational Media Services",223059247,3.4
,="Student Support Services",398493866,6.0
,="Administration and Support Services",663448018,10.1
,="Plant Operation and Maintenance",664561465,10.1
,="Transportation",335926294,5.1
,="Students Tuitioned Out",278590125,4.2
,="Other",73338554,1.1
,="Total Expenditures",6592739377,100.0

