"Overall Expenditures, 2012-13"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
"Achievement First Hartford Academy Inc. District",5783041,287779,261499,654782,2363489,37713,26792,N/A,39594,9454689
="Amistad Academy District",5821710,338218,467735,1004385,2069216,434951,101092,N/A,515610,10752917
="Andover School District",2628879,83663,78788,156723,609305,439659,253379,228437,0,4478833
="Ansonia School District",17067803,930038,498703,1269947,3699976,6856789,1828625,3204191,556760,35912832
="Ashford School District",4401741,347458,61423,245823,818106,589430,629916,207689,65097,7366683
="Avon School District",30476287,895188,1090239,3624913,4734968,4345690,2378017,2111569,101129,49758000
="Barkhamsted School District",2557613,40472,158624,52808,442772,400895,295329,54088,0,4002601
="Berlin School District",22995835,1133391,1273767,4265593,4841171,5162991,2198714,1750418,902448,44524328
="Bethany School District",4222351,190697,95823,158112,742263,929967,374604,85985,0,6799802
="Bethel School District",25561882,691986,2943917,2949421,4089152,3639334,2267646,1326343,589012,44058693
="Bloomfield School District",21783504,850020,1885343,3000474,6287655,5380087,2334557,1850518,495283,43867441
="Bolton School District",7574016,94249,537589,983209,1542494,1166820,744702,758507,215110,13616696
="Bozrah School District",2337093,93374,37979,209194,434214,360277,351321,381861,10177,4215490
="Branford School District",30541069,951286,2143713,3183317,4535282,4274172,2967960,3121786,1106061,52824646
="Bridgeport Achievement First District",4296591,314280,260310,833000,2373137,349622,105261,N/A,439266,8971467
="Bridgeport School District",169092617,6753796,4697396,18587192,26857775,27629861,15105275,18234133,928953,287886998
="Bristol School District",62649926,984061,4485590,6844007,8126011,8912388,6739248,6882031,3010647,108633909
="Brookfield School District",23549530,435284,1961517,2704143,3957106,3695974,2048270,870962,843764,40066550
="Brooklyn School District",7314294,100785,192091,727181,962002,1227313,1125384,936307,150,12585507
="Canaan School District",1308566,40037,41879,110600,290473,191927,135068,0,12618,2131168
="Canterbury School District",4937043,109406,79127,478886,827529,2021986,1004155,772301,39685,10270118
="Canton School District",12985708,368451,599577,3183209,2852881,2346425,1601097,955721,457714,25350783
="Chaplin School District",2009934,63544,138895,258692,356291,288462,222129,9281,12037,3359265
="Cheshire School District",36820704,1105899,2525279,3965440,6132097,6192191,3956037,2251887,973328,63922862
="Chester School District",2309394,63684,28081,581094,623474,460119,152403,68442,33808,4320499
="Clinton School District",19387815,908056,452789,2112561,2615727,2266303,1673621,1201432,111351,30729655
="Colchester School District",22258338,465101,683839,3110785,3864126,3697155,2672377,2206891,448608,39407220
="Colebrook School District",1070715,27281,15482,40468,326678,179824,96647,49724,15379,1822198
="Columbia School District",3610373,144910,101519,1625691,973863,592578,681630,696780,409675,8837019
="Common Ground High School District",1015744,66949,270258,194816,554029,118150,11845,N/A,227030,2458821
="Cornwall School District",1663487,66196,84142,160575,407880,314232,279958,76315,739,3053524
="Coventry School District",15998216,615443,194699,1444077,2404548,2291265,1923504,1993171,60687,26925610
="Cromwell School District",17106246,579732,362889,1312460,2770877,2779402,1207485,889837,369624,27378552
="Danbury School District",86413862,2925438,1822156,6598044,12653182,7574464,11114200,2621474,900920,132623740
="Darien School District",53710588,1284438,3929425,2590292,6546613,7671099,3227693,3308444,1246503,83515095
="Deep River School District",3068925,87969,61890,789400,694169,492118,278094,191944,19913,5684422
="Derby School District",11070216,331533,180490,1491478,2527277,2054654,918841,1644929,185470,20404888
="East Granby School District",8441059,514514,640427,838200,1872780,1452538,564281,487678,252915,15064392
="East Haddam School District",10761376,458858,330772,1073712,2010643,2323045,1220637,1325395,1310,19505748
="East Hampton School District",16711393,380581,749617,1740044,3471407,2808713,1426314,820385,1787564,29896018
="East Hartford School District",65578001,1397266,2117661,3927500,11970208,9604323,5659957,5783436,709521,106747873
="East Haven School District",25518579,391301,132282,4193142,6394633,3656148,2844805,5980509,893843,50005242
="East Lyme School District",24902776,480898,1835762,2430727,4047976,5143782,2002472,1327753,815536,42987682
="East Windsor School District",11654152,310760,430851,1309929,3457231,1300268,1553002,1271199,92856,21380248
="Eastford School District",1647278,82275,75479,268769,346172,292687,240414,96240,0,3049314
="Easton School District",10589402,209217,443838,191806,1925782,1582598,1081921,251891,598,16277053
="Ellington School District",19087434,579043,907449,2680526,2566018,3477856,1890077,1341184,449317,32978904
="Elm City College Preparatory School District",3806463,229268,442915,807229,2406845,356684,52798,N/A,371155,8473357
="Enfield School District",49363612,636865,826405,1007982,8993734,7052631,4183146,3962132,934016,76960523
="Essex School District",4443475,141810,73263,992933,943573,672420,342848,206752,34250,7851324
="Explorations District",628716,5558,31794,88504,245358,167960,57830,N/A,6575,1232295
="Fairfield School District",86239551,1743386,10156753,11655239,17710440,16347448,8323529,5369531,2030366,159576243
="Farmington School District",39240150,1045435,1977439,3860385,4130760,4885621,3113816,2660477,205094,61119177
="Franklin School District",1605307,24052,26384,150231,355113,372067,260631,228642,0,3022427
="Glastonbury School District",52056757,1576797,4928649,5428585,9965197,10158677,5290662,4337203,1374944,95117471
="Granby School District",15769566,838474,970106,1971261,3001208,3354401,1230087,1032305,578892,28746300
="Greenwich School District",108334937,3585909,3435577,10864289,15010951,12985005,4955319,4035698,0,163207685
="Griswold School District",14899071,173010,231285,1051401,3968546,2760997,1565423,1095576,297848,26043157
="Groton School District",43425972,2270619,2298759,5520000,7974144,7267689,4870087,3828540,0,77455810
="Guilford School District",30692634,917620,1744322,3296924,5700868,5013197,3264217,3856379,729111,55215272
="Hamden School District",61039934,941260,1424898,8248041,9582151,10191896,7145353,10595947,1012011,110181491
="Hampton School District",1326210,48811,79982,204848,344790,230191,148037,9137,20000,2412006
="Hartford School District",194221360,10764164,7006942,29100518,48861848,35200588,26962976,48034401,175628,400328425
="Hartland School District",1731118,57570,176176,395632,435311,292937,247395,115648,137721,3589508
="Hebron School District",7902526,118919,603726,911756,1309563,996406,548990,151153,0,12543039
="Highville Charter School District",2038854,180454,74513,113740,646723,644557,73313,N/A,285089,4057243
="Integrated Day Charter School District",1943051,63485,141304,105186,651346,373094,9720,N/A,113581,3400767
="Interdistrict School for Arts and Comm District",1554210,48827,157953,67420,488095,233051,4258,N/A,0,2553814
="Jumoke Academy District",3349724,212492,457039,1006309,1205970,930109,359,N/A,7180,7169182
="Kent School District",3074235,121909,100617,335654,542009,595983,359534,187885,13420,5331246
="Killingly School District",20676105,342476,2194989,2328321,4173176,4021469,2566617,3950019,0,40253172
="Lebanon School District",9381251,494525,420976,1350288,1873488,2126072,1214500,1358890,210694,18430684
="Ledyard School District",19749393,605793,888577,2105237,4204557,2740408,2726586,2337478,400575,35758604
="Lisbon School District",4291400,62679,26828,730087,656139,555368,666181,601638,0,7590320
="Litchfield School District",9048864,263259,895937,1467166,1670576,1863712,1124925,1048971,401635,17785045
