"Overall Expenditures, 2010-11"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
"Achievement First Hartford Academy Inc. District",3797374,572368,1037685,304577,1307992,54251,10016,N/A,30907,7115170
="Amistad Academy District",5124861,664047,1487414,1565054,1813450,183148,34872,N/A,489099,11361945
="Andover School District",2668054,107496,74433,155855,584057,454282,199487,98500,0,4342164
="Ansonia School District",17155560,1031329,742401,1596978,3135683,2807990,1646977,2654469,753577,31524964
="Ashford School District",4523087,154631,60156,218756,749377,490706,682905,275469,28354,7183441
="Avon School District",26598773,777325,1221985,3390880,4274196,4530219,2080192,1891919,983637,45749126
="Barkhamsted School District",2513004,52197,154229,52131,408337,349664,286405,72913,348,3889228
="Berlin School District",22155615,1113711,1051149,3864780,4415231,5119088,2067331,1730737,835852,42353494
="Bethany School District",4022479,192584,280283,152068,676492,738102,364148,392395,0,6818551
="Bethel School District",24276902,595123,2812383,2841181,3989553,3637143,2157785,1687922,524596,42522588
="Bloomfield School District",22290689,1157768,602428,3209072,6231879,5197127,1994144,2126293,537367,43346767
="Bolton School District",7380262,207494,531443,889937,1394285,1041909,673712,606032,225757,12950831
="Bozrah School District",2230586,118791,34521,190830,433450,308470,362284,506575,0,4185507
="Branford School District",29515869,1335321,1900733,3058755,4148696,4022559,2939568,3015027,977531,50914059
="Bridgeport Achievement First District",2184618,472954,907078,407166,1120287,141262,33517,N/A,282917,5549799
="Bridgeport School District",177852907,4052950,5080338,17805632,22877169,24759300,15116507,21051962,978365,289575130
="Bristol School District",65291611,1461476,5595849,5334371,9497162,10311565,5740427,5818940,2066621,111118022
="Brookfield School District",23070966,431179,1789926,2492350,4025664,3274445,1974339,112310,661053,37832232
="Brooklyn School District",7453096,165252,174573,706329,924513,1070153,1072432,685657,73829,12325834
="Canaan School District",1339639,46300,55834,116723,271351,179613,132304,0,14655,2156419
="Canterbury School District",4599938,221308,73089,440465,851829,1346320,910777,548772,26174,9018672
="Canton School District",11856616,436675,535914,2966119,2359452,2573468,1334819,1116201,619061,23798325
="Chaplin School District",1967652,80779,192700,260199,354233,311304,208555,0,5382,3380804
="Charter School for Young Children on Asylum Hill District",1781595,156690,8643,162580,467743,587606,0,N/A,60327,3225184
="Cheshire School District",36182060,1183900,2184323,3983831,6007045,6287500,3849769,2099818,875784,62654030
="Chester School District",2415990,63948,36856,646830,670708,383343,142865,16455,0,4376995
="Clinton School District",19165924,1232185,653718,2124954,2633644,2124557,1533252,1511659,154817,31134710
="Colchester School District",22105615,538580,533593,2690388,3711645,3334850,2591082,2039292,366204,37911249
="Colebrook School District",1113986,10263,30357,36557,260659,169996,95273,162952,11877,1891920
="Columbia School District",4022799,254014,148759,1734195,899381,421790,740546,434684,408294,9064462
="Common Ground High School District",1017957,152009,196210,86015,490370,163877,9235,N/A,187431,2303104
="Cornwall School District",1598146,84674,110188,161482,352603,318176,277929,57522,0,2960720
="Coventry School District",15363830,409210,146939,1423463,2299988,2598766,1709148,1748139,415312,26114795
="Cromwell School District",16783007,501466,331642,1338149,2895801,4006765,1097210,705970,325659,27985669
="Danbury School District",85003933,3447232,3661493,6629347,10597124,9037601,6828648,2899823,855264,128960465
="Darien School District",50062528,1198704,3198399,2782132,6443188,7095229,2915273,2523206,1435776,77654435
="Deep River School District",2820864,56903,54950,665620,666894,514360,287188,401321,0,5468100
="Derby School District",10833399,238189,179831,1312695,2531250,2086224,894591,1716554,233526,20026259
="East Granby School District",7987281,452397,751447,771282,1694171,1401397,534982,374334,199380,14166671
="East Haddam School District",10767957,587396,395995,1001281,1982770,2325156,1258419,1187466,25000,19531440
="East Hampton School District",16523615,535669,808697,1828244,2922423,2915320,1544315,917445,17888,28013616
="East Hartford School District",64195671,1959812,1558222,3104429,10909250,9680051,5476743,4981257,682810,102548245
="East Haven School District",25482918,397526,269557,4185115,6958484,4850887,2698037,4886565,1014163,50743252
="East Lyme School District",24823894,389036,1682434,1767693,3501491,4922608,1866570,1815991,735380,41505097
="East Windsor School District",12022003,500467,342533,716472,3158560,1946563,1278470,1366536,87600,21419204
="Eastford School District",1752949,66844,56821,271514,284129,282675,213740,66779,0,2995451
="Easton School District",10166330,183586,356370,190357,1778355,1639069,1096123,148650,6148,15564988
="Ellington School District",18459903,411695,833532,2374134,2300665,3099295,1776761,1154854,380215,30791054
="Elm City College Preparatory School District",3136025,568436,1222505,724115,1607151,176150,21624,N/A,382100,7838106
="Enfield School District",46355322,1125894,693708,5307812,8471632,5936314,3408832,2952723,986747,75238984
="Essex School District",4381720,160648,113579,825813,954823,618731,304563,47108,1027,7408012
="Explorations District",598458,12783,18802,51217,229807,189062,14112,N/A,10200,1124441
="Fairfield School District",81670230,2128695,10440867,10931039,16860867,15296907,7973517,4876690,2115102,152293914
="Farmington School District",34947604,759668,1632200,3727233,4346561,5536937,2730514,2400628,246795,56328140
="Franklin School District",1724489,4604,4292,157682,334211,324306,212024,252635,30131,3044374
="Glastonbury School District",50267465,1828645,4664781,4989799,9898202,9434847,4981096,4986437,1095580,92146852
="Granby School District",15819338,1077659,856597,1676266,3042913,3247581,1301341,821732,557467,28400894
="Greenwich School District",107833701,3169743,2641621,10838065,15203751,16502998,4879582,3772468,0,164841929
="Griswold School District",17118222,399161,202343,890830,3639399,2426902,1577869,718151,392823,27365700
="Groton School District",43937423,1739867,2680882,5901122,7924941,8046355,4200371,2537751,0,76968712
