"Overall Expenditures, 2010-11"
"State of Connecticut"

"District","Type","Total","State % of Total"
"State of Connecticut","Instructional Staff and Services",4535900653,57.3
,="Instructional Supplies and Equipment",144912648,1.8
,="Instruction and Educational Media Services",257867008,3.3
,="Student Support Services",482567823,6.1
,="Administration and Support Services",798010973,10.1
,="Plant Operation and Maintenance",783353795,9.9
,="Transportation",423857885,5.4
,="Students Tuitioned Out",403790565,5.1
,="Other",88563603,1.1
,="Total Expenditures",7918824953,100.0

