"Overall Expenditures, 2007-08"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_"
"District","Instructional Staff and Services","Instructional Supplies and Equipment","Improvement of Instruction and Educational Media Services","Student Support Services","Administration and Support Services","Plant Operation and Maintenance","Transportation","Students Tuitioned Out","Other","Total Expenditures"
"Amistad Academy District",2501274,562260,177407,828123,2369043,403393,0,N/A,383230,7224730
="Andover School District",2300950,120281,117497,159034,546776,348849,207179,1663,0,3802229
="Ansonia School District",17399297,891775,848975,977958,3497152,2466501,1301770,2183562,610983,30177973
="Ashford School District",4399512,200023,26066,71071,686626,578258,526906,534395,28191,7051048
="Avon School District",23515953,629486,866114,4283355,3386933,4273389,1759230,1378462,554570,40647492
="Barkhamsted School District",2305261,66555,144637,47121,359836,365102,266533,2420,0,3557465
="Berlin School District",20735142,909155,1010363,3386343,4215086,4789532,1778233,1032405,734134,38590393
="Bethany School District",3674892,182748,293800,220739,680565,678943,336736,82573,0,6150996
="Bethel School District",22168213,539055,2856294,2784006,4074711,3913883,2101409,1387009,494066,40318646
="Bloomfield School District",19492756,1335617,677768,3061047,6039175,4868748,1982410,2424306,505401,40387228
="Bolton School District",6928378,159473,527308,791358,1330264,1114121,640814,481982,189692,12163390
="Bozrah School District",2108879,68652,42158,182256,441468,349202,298174,375363,51712,3917864
="Branford School District",26357182,1361687,2011707,2841256,4152483,3766357,2518676,2627725,859391,46496464
="Bridgeport Achievement First District",297879,162775,27044,119522,600345,72395,0,N/A,64355,1344315
="Bridgeport School District",158192806,6470828,6216748,13913063,23453209,27487549,13078249,17273618,2335099,268421169
="Bristol School District",61371181,1865435,4955027,3951110,9188889,9563904,5317685,4466927,1729684,102409842
="Brookfield School District",19086996,382880,1544758,2499649,6041832,2645854,1791148,745802,711330,35450249
="Brooklyn School District",6291753,115495,216099,838874,929780,817585,1129061,672007,20910,11031564
="Canaan School District",1203525,55772,52055,102627,264242,206959,142073,11940,18524,2057717
="Canterbury School District",4484525,249070,73842,336750,740494,1080434,1004443,626853,4488,8600899
="Canton School District",11654215,510608,247259,1526048,2810468,2998768,1318769,815463,56233,21937831
="Chaplin School District",1917601,73815,120252,297032,346424,279110,197874,4420,4465,3240993
