"Overall Expenditures, 2006-07"
"State of Connecticut"

"District","Type","Total","State % of Total"
"State of Connecticut","Instructional Staff and Services",3954858701,57.0
,="Instructional Supplies and Equipment",147060830,2.1
,="Instruction and Educational Media Services",236787254,3.4
,="Student Support Services",420377814,6.1
,="Administration and Support Services",702156076,10.1
,="Plant Operation and Maintenance",730046280,10.5
,="Transportation",361884489,5.2
,="Students Tuitioned Out",299703618,4.3
,="Other",79922638,1.2
,="Total Expenditures",6932797700,100.0

