"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Gender"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Female",15,14,93.3,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",8,7,87.5,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",73,59,80.8,"*","*",12,16.4
"Ansonia School District","Ansonia High School","Male",77,62,80.5,"*","*",14,18.2
"Avon School District","Avon High School","Female",147,147,100.0,"*","*","*","*"
"Avon School District","Avon High School","Male",122,120,98.4,"*","*","*","*"
"Berlin School District","Berlin High School","Female",113,110,97.3,"*","*","*","*"
"Berlin School District","Berlin High School","Male",119,116,97.5,"*","*","*","*"
"Bethel School District","Bethel High School","Female",116,114,98.3,"*","*","*","*"
"Bethel School District","Bethel High School","Male",128,117,91.4,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Female",65,64,98.5,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Male",69,61,88.4,"*","*",7,10.1
"Bloomfield School District","Global Experience Magnet School","Female",16,16,100.0,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Male",10,10,100.0,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Female","*","*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Male","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Female",53,51,96.2,"*","*","*","*"
"Bolton School District","Bolton High School","Male",47,47,100.0,"*","*","*","*"
"Branford School District","Branford High School","Female",150,142,94.7,"*","*",7,4.7
"Branford School District","Branford High School","Male",145,131,90.3,"*","*",13,9.0
"Bridgeport School District","Bassick High School","Female",166,117,70.5,8,4.8,41,24.7
"Bridgeport School District","Bassick High School","Male",172,111,64.5,7,4.1,54,31.4
"Bridgeport School District","Central High School","Female",286,250,87.4,"*","*",34,11.9
"Bridgeport School District","Central High School","Male",269,217,80.7,6,2.2,46,17.1
"Bridgeport School District","Harding High School","Female",156,127,81.4,"*","*",28,17.9
"Bridgeport School District","Harding High School","Male",151,92,60.9,"*","*",56,37.1
"Bristol School District","Bristol Central High School","Female",154,141,91.6,"*","*",13,8.4
"Bristol School District","Bristol Central High School","Male",173,146,84.4,"*","*",26,15.0
"Bristol School District","Bristol Eastern High School","Female",174,162,93.1,"*","*",11,6.3
"Bristol School District","Bristol Eastern High School","Male",169,144,85.2,"*","*",20,11.8
"Brookfield School District","Brookfield High School","Female",115,114,99.1,"*","*","*","*"
"Brookfield School District","Brookfield High School","Male",115,115,100.0,"*","*","*","*"
"Canton School District","Canton High School","Female",65,64,98.5,"*","*","*","*"
"Canton School District","Canton High School","Male",69,66,95.7,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Female",17,16,94.1,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Male",14,14,100.0,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Female",75,65,86.7,"*","*",10,13.3
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Male",19,18,94.7,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Female",41,40,97.6,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Male",6,"*","*","*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Female",50,48,96.0,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Male",47,44,93.6,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Female",14,"*","*","*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Male",31,26,83.9,"*","*","*","*"
"Cheshire School District","Cheshire High School","Female",185,184,99.5,"*","*","*","*"
"Cheshire School District","Cheshire High School","Male",179,177,98.9,"*","*","*","*"
"Clinton School District","The Morgan School","Female",58,56,96.6,"*","*","*","*"
"Clinton School District","The Morgan School","Male",70,66,94.3,"*","*","*","*"
"Colchester School District","Bacon Academy","Female",139,137,98.6,"*","*","*","*"
"Colchester School District","Bacon Academy","Male",108,104,96.3,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Female",15,14,93.3,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Male",14,12,85.7,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Female",96,91,94.8,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Male",87,84,96.6,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Female",91,86,94.5,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Male",94,84,89.4,"*","*",9,9.6
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Female",63,61,96.8,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Male",80,77,96.3,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Female",46,41,89.1,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Male",64,61,95.3,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Female",50,47,94.0,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Male",77,73,94.8,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Female",38,38,100.0,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Male",88,85,96.6,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Female",62,60,96.8,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Male",115,113,98.3,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Female",19,18,94.7,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Male",92,89,96.7,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Female",53,50,94.3,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Male",90,88,97.8,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Female",48,47,97.9,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Male",106,106,100.0,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Female",63,62,98.4,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Male",92,90,97.8,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Female",46,43,93.5,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Male",99,98,99.0,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Female",65,64,98.5,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Male",142,139,97.9,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Female",44,41,93.2,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Male",97,92,94.8,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Female",77,77,100.0,"*","*","*","*"
