"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Gender"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Female",17,11,64.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",10,6,60.0,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",93,72,77.4,"*","*",19,20.4
"Ansonia School District","Ansonia High School","Male",90,71,78.9,"*","*",18,20.0
"Avon School District","Avon High School","Female",136,134,98.5,"*","*","*","*"
"Avon School District","Avon High School","Male",118,115,97.5,"*","*","*","*"
"Berlin School District","Berlin High School","Female",124,118,95.2,"*","*",6,4.8
"Berlin School District","Berlin High School","Male",136,129,94.9,"*","*",7,5.1
"Bethel School District","Bethel High School","Female",132,127,96.2,"*","*","*","*"
"Bethel School District","Bethel High School","Male",114,106,93.0,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Female",80,70,87.5,"*","*",9,11.3
"Bloomfield School District","Bloomfield High School","Male",87,70,80.5,"*","*",13,14.9
"Bloomfield School District","The Big Picture High School","Female","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Male","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Female",47,45,95.7,"*","*","*","*"
"Bolton School District","Bolton High School","Male",25,24,96.0,"*","*","*","*"
"Branford School District","Branford High School","Female",132,127,96.2,"*","*","*","*"
"Branford School District","Branford High School","Male",142,136,95.8,"*","*","*","*"
"Bridgeport School District","Bassick High School","Female",159,108,67.9,"*","*",51,32.1
"Bridgeport School District","Bassick High School","Male",176,114,64.8,"*","*",57,32.4
"Bridgeport School District","Central High School","Female",290,251,86.6,"*","*",36,12.4
"Bridgeport School District","Central High School","Male",306,215,70.3,12,3.9,79,25.8
"Bridgeport School District","Harding High School","Female",222,121,54.5,"*","*",98,44.1
"Bridgeport School District","Harding High School","Male",211,90,42.7,7,3.3,114,54.0
"Bristol School District","Bristol Central High School","Female",170,138,81.2,"*","*",31,18.2
"Bristol School District","Bristol Central High School","Male",161,125,77.6,"*","*",32,19.9
"Bristol School District","Bristol Eastern High School","Female",184,165,89.7,"*","*",17,9.2
"Bristol School District","Bristol Eastern High School","Male",180,153,85.0,"*","*",24,13.3
"Brookfield School District","Brookfield High School","Female",120,117,97.5,"*","*","*","*"
"Brookfield School District","Brookfield High School","Male",143,137,95.8,"*","*","*","*"
"Canton School District","Canton High School","Female",56,54,96.4,"*","*","*","*"
"Canton School District","Canton High School","Male",62,59,95.2,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Female",70,64,91.4,"*","*",6,8.6
"Capitol Region Education Council","Great Path Academy at MCC","Male",47,41,87.2,"*","*",6,12.8
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Female",38,32,84.2,"*","*",6,15.8
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Male",23,19,82.6,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Female",58,52,89.7,"*","*",6,10.3
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Male",44,42,95.5,"*","*","*","*"
"Cheshire School District","Cheshire High School","Female",162,160,98.8,"*","*","*","*"
"Cheshire School District","Cheshire High School","Male",202,195,96.5,"*","*","*","*"
"Clinton School District","The Morgan School","Female",77,75,97.4,"*","*","*","*"
"Clinton School District","The Morgan School","Male",67,62,92.5,"*","*","*","*"
"Colchester School District","Bacon Academy","Female",122,119,97.5,"*","*","*","*"
"Colchester School District","Bacon Academy","Male",128,118,92.2,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Female",21,19,90.5,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Male",17,14,82.4,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Female",84,79,94.0,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Male",67,61,91.0,"*","*",6,9.0
"Connecticut Technical High School System","Bullard-Havens Technical High School","Female",89,86,96.6,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Male",102,96,94.1,"*","*",6,5.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Female",37,34,91.9,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Male",64,63,98.4,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Female",49,40,81.6,"*","*",9,18.4
"Connecticut Technical High School System","Eli Whitney Technical High School","Male",74,60,81.1,"*","*",14,18.9
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Female",55,53,96.4,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Male",70,67,95.7,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Female",38,35,92.1,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Male",81,78,96.3,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Female",69,67,97.1,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Male",113,110,97.3,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Female",38,31,81.6,"*","*",7,18.4
"Connecticut Technical High School System","H. H. Ellis Technical High School","Male",91,84,92.3,"*","*",7,7.7
"Connecticut Technical High School System","Henry Abbott Technical High School","Female",53,48,90.6,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Male",104,99,95.2,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Female",19,19,100.0,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Male",116,114,98.3,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Female",35,34,97.1,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Male",76,75,98.7,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Female",62,59,95.2,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Male",130,120,92.3,"*","*",10,7.7
"Connecticut Technical High School System","Platt Technical High School","Female",65,63,96.9,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Male",134,130,97.0,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Female",40,36,90.0,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Male",94,89,94.7,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Female",54,51,94.4,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Male",98,96,98.0,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Female",43,41,95.3,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Male",83,80,96.4,"*","*","*","*"
"Coventry School District","Coventry High School","Female",86,80,93.0,"*","*","*","*"
"Coventry School District","Coventry High School","Male",66,59,89.4,"*","*","*","*"
"Cromwell School District","Cromwell High School","Female",92,89,96.7,"*","*","*","*"
"Cromwell School District","Cromwell High School","Male",74,70,94.6,"*","*","*","*"
"Danbury School District","Danbury High School","Female",344,300,87.2,"*","*",40,11.6
"Danbury School District","Danbury High School","Male",372,296,79.6,"*","*",65,17.5
"Darien School District","Darien High School","Female",161,158,98.1,"*","*","*","*"
"Darien School District","Darien High School","Male",165,159,96.4,"*","*","*","*"
"Derby School District","Derby High School","Female",56,49,87.5,"*","*",6,10.7
"Derby School District","Derby High School","Male",65,48,73.8,"*","*",16,24.6
"East Granby School District","East Granby High School","Female",39,38,97.4,"*","*","*","*"
"East Granby School District","East Granby High School","Male",37,36,97.3,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Female",46,44,95.7,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Male",47,42,89.4,"*","*","*","*"
"East Hampton School District","East Hampton High School","Female",66,62,93.9,"*","*","*","*"
"East Hampton School District","East Hampton High School","Male",70,65,92.9,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Female",18,18,100.0,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Male",15,15,100.0,"*","*","*","*"
"East Hartford School District","East Hartford High School","Female",268,238,88.8,"*","*",28,10.4
"East Hartford School District","East Hartford High School","Male",236,196,83.1,"*","*",38,16.1
"East Haven School District","East Haven High School","Female",150,136,90.7,"*","*",12,8.0
"East Haven School District","East Haven High School","Male",142,120,84.5,"*","*",21,14.8
"East Lyme School District","East Lyme High School","Female",163,160,98.2,"*","*","*","*"
"East Lyme School District","East Lyme High School","Male",161,156,96.9,"*","*","*","*"
"East Windsor School District","East Windsor High School","Female",43,39,90.7,"*","*","*","*"
"East Windsor School District","East Windsor High School","Male",47,41,87.2,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Female","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Male","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Female",21,16,76.2,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Male",22,18,81.8,"*","*","*","*"
"Ellington School District","Ellington High School","Female",98,97,99.0,"*","*","*","*"
"Ellington School District","Ellington High School","Male",84,76,90.5,"*","*","*","*"
"Enfield School District","Enfield High School","Female",117,101,86.3,"*","*",15,12.8
"Enfield School District","Enfield High School","Male",120,101,84.2,"*","*",18,15.0
"Enfield School District","Enrico Fermi High School","Female",128,118,92.2,"*","*",10,7.8
"Enfield School District","Enrico Fermi High School","Male",147,125,85.0,"*","*",19,12.9
"Explorations District","Explorations","Female",16,12,75.0,"*","*","*","*"
"Explorations District","Explorations","Male",14,9,64.3,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","Female",185,182,98.4,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","Male",165,157,95.2,"*","*",6,3.6
"Fairfield School District","Fairfield Warde High School","Female",154,150,97.4,"*","*","*","*"
"Fairfield School District","Fairfield Warde High School","Male",147,140,95.2,"*","*",6,4.1
"Farmington School District","Farmington High School","Female",166,159,95.8,"*","*","*","*"
"Farmington School District","Farmington High School","Male",167,161,96.4,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","Female",281,275,97.9,"*","*","*","*"
"Glastonbury School District","Glastonbury High School","Male",261,258,98.9,"*","*","*","*"
