"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, High Needs"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","High Needs","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","All Students",23,21,91.3,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Black",17,16,94.1,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",18,16,88.9,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Lunch",21,19,90.5,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Female",15,14,93.3,"*","*","*","*"
"Amistad Academy District","Amistad Academy","High Needs",21,19,90.5,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Indian or Alaska Native","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",8,7,87.5,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL",23,21,91.3,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Hispanic",18,17,94.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Special Education",22,20,90.9,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","All Students",150,121,80.7,"*","*",26,17.3
"Ansonia School District","Ansonia High School","Black",33,26,78.8,"*","*",7,21.2
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",82,60,73.2,"*","*",21,25.6
"Ansonia School District","Ansonia High School","Eligible For Lunch",104,80,76.9,"*","*",22,21.2
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",22,20,90.9,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",73,59,80.8,"*","*",12,16.4
"Ansonia School District","Ansonia High School","High Needs",106,81,76.4,"*","*",22,20.8
"Ansonia School District","Ansonia High School","Hispanic",43,34,79.1,"*","*",8,18.6
"Ansonia School District","Ansonia High School","Male",77,62,80.5,"*","*",14,18.2
"Ansonia School District","Ansonia High School","Non-ELL",147,119,81.0,"*","*",25,17.0
"Ansonia School District","Ansonia High School","Non-High Needs",44,40,90.9,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Hispanic",107,87,81.3,"*","*",18,16.8
"Ansonia School District","Ansonia High School","Non-Special Education",134,112,83.6,"*","*",22,16.4
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",46,41,89.1,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",16,9,56.3,"*","*","*","*"
"Ansonia School District","Ansonia High School","ELL","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Two or More Races","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","White",73,60,82.2,"*","*",11,15.1
"Avon School District","Avon High School","All Students",269,267,99.3,"*","*","*","*"
"Avon School District","Avon High School","Black","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch",16,16,100.0,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Lunch",21,21,100.0,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Female",147,147,100.0,"*","*","*","*"
"Avon School District","Avon High School","High Needs",41,40,97.6,"*","*","*","*"
"Avon School District","Avon High School","Hispanic",9,9,100.0,"*","*","*","*"
"Avon School District","Avon High School","Male",122,120,98.4,"*","*","*","*"
"Avon School District","Avon High School","Non-ELL",269,267,99.3,"*","*","*","*"
"Avon School District","Avon High School","Non-High Needs",228,227,99.6,"*","*","*","*"
