"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Special Education Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education",27,17,63.0,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",165,132,80.0,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",18,11,61.1,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",230,225,97.8,"*","*","*","*"
"Avon School District","Avon High School","Special Education",24,24,100.0,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",232,222,95.7,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",28,25,89.3,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",222,216,97.3,"*","*","*","*"
"Bethel School District","Bethel High School","Special Education",24,17,70.8,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",143,122,85.3,"*","*",18,12.6
"Bloomfield School District","Bloomfield High School","Special Education",24,18,75.0,"*","*","*","*"
"Bloomfield School District","The Big Picture High School","Non-Special Education","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Special Education","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Special Education","*","*","*","*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",246,240,97.6,"*","*","*","*"
"Branford School District","Branford High School","Special Education",28,23,82.1,"*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",285,194,68.1,"*","*",88,30.9
"Bridgeport School District","Bassick High School","Special Education",50,28,56.0,"*","*",20,40.0
"Bridgeport School District","Central High School","Non-Special Education",562,446,79.4,10,1.8,106,18.9
"Bridgeport School District","Central High School","Special Education",34,20,58.8,"*","*",9,26.5
"Bridgeport School District","Harding High School","Non-Special Education",376,197,52.4,7,1.9,172,45.7
"Bridgeport School District","Harding High School","Special Education",57,14,24.6,"*","*",40,70.2
"Bristol School District","Bristol Central High School","Non-Special Education",298,241,80.9,"*","*",54,18.1
"Bristol School District","Bristol Central High School","Special Education",33,22,66.7,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-Special Education",330,285,86.4,"*","*",40,12.1
"Bristol School District","Bristol Eastern High School","Special Education",34,33,97.1,"*","*","*","*"
