"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Special Education"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Special Education","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","All Students",23,20,87.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Black",18,17,94.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","ELL","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",18,15,83.3,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Lunch",20,17,85.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Female",12,11,91.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","High Needs",20,17,85.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",11,9,81.8,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL",22,19,86.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Hispanic",18,17,94.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Special Education",22,19,86.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","All Students",208,172,82.7,9,4.3,27,13.0
"Ansonia School District","Ansonia High School","Black",46,35,76.1,"*","*",10,21.7
"Ansonia School District","Ansonia High School","ELL",13,9,69.2,"*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",105,79,75.2,"*","*",23,21.9
"Ansonia School District","Ansonia High School","Eligible For Lunch",142,110,77.5,6,4.2,26,18.3
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",37,31,83.8,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",105,94,89.5,"*","*",10,9.5
"Ansonia School District","Ansonia High School","High Needs",154,121,78.6,7,4.5,26,16.9
"Ansonia School District","Ansonia High School","Hispanic",49,37,75.5,"*","*",9,18.4
"Ansonia School District","Ansonia High School","Male",103,78,75.7,8,7.8,17,16.5
"Ansonia School District","Ansonia High School","Non-ELL",195,163,83.6,7,3.6,25,12.8
"Ansonia School District","Ansonia High School","Non-High Needs",54,51,94.4,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Hispanic",159,135,84.9,6,3.8,18,11.3
"Ansonia School District","Ansonia High School","Non-Special Education",186,153,82.3,8,4.3,25,13.4
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",66,62,93.9,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",22,19,86.4,"*","*","*","*"
"Ansonia School District","Ansonia High School","Asian","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Hawaiian or Pacific Islander","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","White",109,96,88.1,"*","*",8,7.3
"Avon School District","Avon High School","All Students",260,257,98.8,"*","*","*","*"
"Avon School District","Avon High School","Black",7,"*","*","*","*","*","*"
"Avon School District","Avon High School","ELL","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch",9,8,88.9,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Lunch",13,12,92.3,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Female",120,119,99.2,"*","*","*","*"
"Avon School District","Avon High School","High Needs",44,42,95.5,"*","*","*","*"
"Avon School District","Avon High School","Hispanic",12,12,100.0,"*","*","*","*"
"Avon School District","Avon High School","Male",140,138,98.6,"*","*","*","*"
"Avon School District","Avon High School","Non-ELL",258,255,98.8,"*","*","*","*"
"Avon School District","Avon High School","Non-High Needs",216,215,99.5,"*","*","*","*"
"Avon School District","Avon High School","Non-Hispanic",248,245,98.8,"*","*","*","*"
