"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, All Students"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","All Students","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","All Students",18,17,94.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Black",13,13,100.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",13,12,92.3,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Lunch",17,16,94.1,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Female","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","High Needs",17,16,94.1,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",13,12,92.3,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL",18,17,94.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Hispanic",13,13,100.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Special Education",18,17,94.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","All Students",199,165,82.9,"*","*",32,16.1
"Ansonia School District","Ansonia High School","Black",38,28,73.7,"*","*",10,26.3
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",84,61,72.6,"*","*",22,26.2
"Ansonia School District","Ansonia High School","Eligible For Lunch",127,100,78.7,"*","*",26,20.5
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",43,39,90.7,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",98,86,87.8,"*","*",12,12.2
"Ansonia School District","Ansonia High School","High Needs",137,108,78.8,"*","*",27,19.7
"Ansonia School District","Ansonia High School","Hispanic",44,33,75.0,"*","*",11,25.0
"Ansonia School District","Ansonia High School","Male",101,79,78.2,"*","*",20,19.8
"Ansonia School District","Ansonia High School","Non-ELL",190,158,83.2,"*","*",30,15.8
"Ansonia School District","Ansonia High School","Non-High Needs",62,57,91.9,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Hispanic",155,132,85.2,"*","*",21,13.5
"Ansonia School District","Ansonia High School","Non-Special Education",175,148,84.6,"*","*",26,14.9
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",72,65,90.3,"*","*",6,8.3
"Ansonia School District","Ansonia High School","Asian","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","ELL",9,7,77.8,"*","*","*","*"
"Ansonia School District","Ansonia High School","Hawaiian or Pacific Islander","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",24,17,70.8,"*","*",6,25.0
"Ansonia School District","Ansonia High School","White",115,102,88.7,"*","*",11,9.6
"Avon School District","Avon High School","All Students",283,277,97.9,"*","*",6,2.1
"Avon School District","Avon High School","Black",6,6,100.0,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Lunch",11,9,81.8,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch",6,6,100.0,"*","*","*","*"
"Avon School District","Avon High School","Female",140,139,99.3,"*","*","*","*"
"Avon School District","Avon High School","High Needs",44,41,93.2,"*","*","*","*"
"Avon School District","Avon High School","Hispanic",8,7,87.5,"*","*","*","*"
"Avon School District","Avon High School","Male",143,138,96.5,"*","*","*","*"
"Avon School District","Avon High School","Non-ELL",282,276,97.9,"*","*",6,2.1
"Avon School District","Avon High School","Non-High Needs",239,236,98.7,"*","*","*","*"
"Avon School District","Avon High School","Non-Hispanic",275,270,98.2,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",248,244,98.4,"*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",272,268,98.5,"*","*","*","*"
"Avon School District","Avon High School","Asian",14,14,100.0,"*","*","*","*"
"Avon School District","Avon High School","ELL","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Hawaiian or Pacific Islander","*","*","*","*","*","*","*"
