"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, All Students"

"",,,"Graduates",,"Non-Graduates",,,
"District","School","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy",23,21,91.3,"*","*","*","*"
"Ansonia School District","Ansonia High School",150,121,80.7,"*","*","*","*"
"Avon School District","Avon High School",269,267,99.3,"*","*","*","*"
"Berlin School District","Berlin High School",232,226,97.4,"*","*","*","*"
"Bethel School District","Bethel High School",244,231,94.7,"*","*","*","*"
"Bloomfield School District","Bloomfield High School",134,125,93.3,"*","*",8,6.0
"Bloomfield School District","Global Experience Magnet School",26,26,100.0,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield",9,7,77.8,"*","*","*","*"
"Bolton School District","Bolton High School",100,98,98.0,"*","*","*","*"
"Branford School District","Branford High School",295,273,92.5,"*","*","*","*"
"Bridgeport School District","Bassick High School",338,228,67.5,15,4.4,95,28.1
"Bridgeport School District","Central High School",555,467,84.1,"*","*",80,14.4
"Bridgeport School District","Harding High School",307,219,71.3,"*","*",84,27.4
"Bristol School District","Bristol Central High School",327,287,87.8,"*","*",39,11.9
"Bristol School District","Bristol Eastern High School",343,306,89.2,"*","*",31,9.0
"Brookfield School District","Brookfield High School",230,229,99.6,"*","*","*","*"
"Canton School District","Canton High School",134,130,97.0,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering",31,30,96.8,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",94,83,88.3,"*","*",11,11.7
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy",47,44,93.6,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",97,92,94.8,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy",45,39,86.7,"*","*",6,13.3
"Cheshire School District","Cheshire High School",364,361,99.2,"*","*","*","*"
"Clinton School District","The Morgan School",128,122,95.3,"*","*","*","*"
"Colchester School District","Bacon Academy",247,241,97.6,"*","*","*","*"
"Common Ground High School District","Common Ground High School",29,26,89.7,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",183,175,95.6,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School",185,170,91.9,"*","*",14,7.6
"Connecticut Technical High School System","E. C. Goodwin Technical High School",143,138,96.5,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School",110,102,92.7,"*","*",8,7.3
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",127,120,94.5,"*","*",6,4.7
"Connecticut Technical High School System","Emmett O'Brien Technical High School",126,123,97.6,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School",177,173,97.7,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School",111,107,96.4,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School",143,138,96.5,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School",154,153,99.4,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School",155,152,98.1,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School",145,141,97.2,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School",207,203,98.1,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School",141,133,94.3,"*","*",7,5.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School",182,180,98.9,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School",129,127,98.4,"*","*","*","*"
"Coventry School District","Coventry High School",130,129,99.2,"*","*","*","*"
"Cromwell School District","Cromwell High School",132,123,93.2,"*","*","*","*"
"Danbury School District","Danbury High School",702,610,86.9,19,2.7,73,10.4
"Darien School District","Darien High School",329,324,98.5,"*","*","*","*"
"Derby School District","Derby High School",102,88,86.3,"*","*","*","*"
"East Granby School District","East Granby High School",64,61,95.3,"*","*","*","*"
