"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, English Learner Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","English Learner Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-ELL",23,21,91.3,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-ELL","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","ELL","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Non-ELL",269,267,99.3,"*","*","*","*"
"Berlin School District","Berlin High School","Non-ELL","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*","*","*","*","*"
"Bethel School District","Bethel High School","Non-ELL",238,"*","*","*","*","*","*"
"Bethel School District","Bethel High School","ELL",6,"*","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-ELL",130,121,93.1,"*","*",8,6.2
"Bloomfield School District","Bloomfield High School","ELL","*","*","*","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-ELL",26,26,100.0,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-ELL","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-ELL",100,98,98.0,"*","*","*","*"
"Branford School District","Branford High School","Non-ELL","*","*","*","*","*","*","*"
"Branford School District","Branford High School","ELL","*","*","*","*","*","*","*"
"Bridgeport School District","Bassick High School","Non-ELL",279,187,67.0,13,4.7,79,28.3
"Bridgeport School District","Bassick High School","ELL",59,41,69.5,"*","*",16,27.1
"Bridgeport School District","Central High School","Non-ELL",503,432,85.9,7,1.4,64,12.7
"Bridgeport School District","Central High School","ELL",52,35,67.3,"*","*",16,30.8
"Bridgeport School District","Harding High School","Non-ELL",248,181,73.0,"*","*",63,25.4
"Bridgeport School District","Harding High School","ELL",59,38,64.4,"*","*",21,35.6
"Bristol School District","Bristol Central High School","Non-ELL",315,276,87.6,"*","*",38,12.1
"Bristol School District","Bristol Central High School","ELL",12,"*","*","*","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-ELL",335,302,90.1,"*","*",28,8.4
"Bristol School District","Bristol Eastern High School","ELL",8,"*","*","*","*","*","*"
"Brookfield School District","Brookfield High School","Non-ELL","*","*","*","*","*","*","*"
"Brookfield School District","Brookfield High School","ELL","*","*","*","*","*","*","*"
"Canton School District","Canton High School","Non-ELL",134,130,97.0,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-ELL","*","*","*","*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-ELL",94,83,88.3,"*","*",11,11.7
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Non-ELL",46,43,93.5,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","ELL","*","*","*","*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-ELL",97,92,94.8,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Non-ELL",45,39,86.7,"*","*",6,13.3
"Cheshire School District","Cheshire High School","Non-ELL","*","*","*","*","*","*","*"
"Cheshire School District","Cheshire High School","ELL","*","*","*","*","*","*","*"
"Clinton School District","The Morgan School","Non-ELL","*","*","*","*","*","*","*"
"Clinton School District","The Morgan School","ELL","*","*","*","*","*","*","*"
"Colchester School District","Bacon Academy","Non-ELL","*","*","*","*","*","*","*"
"Colchester School District","Bacon Academy","ELL","*","*","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-ELL",29,26,89.7,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-ELL",177,169,95.5,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","ELL",6,6,100.0,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-ELL",183,168,91.8,"*","*",14,7.7
"Connecticut Technical High School System","Bullard-Havens Technical High School","ELL","*","*","*","*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-ELL",135,130,96.3,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","ELL",8,8,100.0,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-ELL",102,94,92.2,"*","*",8,7.8
"Connecticut Technical High School System","Eli Whitney Technical High School","ELL",8,8,100.0,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-ELL",124,117,94.4,"*","*",6,4.8
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELL","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-ELL",123,120,97.6,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","ELL","*","*","*","*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-ELL",177,173,97.7,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-ELL",110,106,96.4,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","ELL","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-ELL",140,135,96.4,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","ELL","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-ELL",152,151,99.3,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","ELL","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Non-ELL",155,152,98.1,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-ELL",145,141,97.2,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-ELL",206,202,98.1,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","ELL","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Non-ELL",141,133,94.3,"*","*",7,5.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-ELL",182,180,98.9,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-ELL",129,127,98.4,"*","*","*","*"
"Coventry School District","Coventry High School","Non-ELL",130,129,99.2,"*","*","*","*"
"Cromwell School District","Cromwell High School","Non-ELL","*","*","*","*","*","*","*"
"Cromwell School District","Cromwell High School","ELL","*","*","*","*","*","*","*"
"Danbury School District","Danbury High School","Non-ELL",626,561,89.6,13,2.1,52,8.3
"Danbury School District","Danbury High School","ELL",76,49,64.5,6,7.9,21,27.6
"Darien School District","Darien High School","Non-ELL","*","*","*","*","*","*","*"
"Darien School District","Darien High School","ELL","*","*","*","*","*","*","*"
"Derby School District","Derby High School","Non-ELL","*","*","*","*","*","*","*"
"Derby School District","Derby High School","ELL","*","*","*","*","*","*","*"
"East Granby School District","East Granby High School","Non-ELL",64,61,95.3,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Non-ELL",100,96,96.0,"*","*","*","*"
"East Hampton School District","East Hampton High School","Non-ELL",119,117,98.3,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Non-ELL",46,45,97.8,"*","*","*","*"
"East Hartford School District","East Hartford High School","Non-ELL",325,287,88.3,16,4.9,22,6.8
"East Hartford School District","East Hartford High School","ELL",26,"*","*","*","*","*","*"
