"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","All Students","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","All Students",27,17,63.0,"*","*",8,29.6
"Amistad Academy District","Amistad Academy","Black",15,9,60.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Lunch",14,8,57.1,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Female",17,11,64.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","High Needs",14,8,57.1,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic",12,8,66.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",10,6,60.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL",27,17,63.0,"*","*",8,29.6
"Amistad Academy District","Amistad Academy","Non-High Needs",13,9,69.2,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Hispanic",15,9,60.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Special Education",27,17,63.0,"*","*",8,29.6
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch",13,9,69.2,"*","*","*","*"
"Ansonia School District","Ansonia High School","All Students",183,143,78.1,"*","*",37,20.2
"Ansonia School District","Ansonia High School","Black",50,39,78.0,"*","*",10,20.0
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",87,57,65.5,"*","*",27,31.0
"Ansonia School District","Ansonia High School","Eligible For Lunch",95,64,67.4,"*","*",28,29.5
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",8,7,87.5,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",93,72,77.4,"*","*",19,20.4
"Ansonia School District","Ansonia High School","High Needs",99,68,68.7,"*","*",28,28.3
"Ansonia School District","Ansonia High School","Hispanic",39,28,71.8,"*","*",10,25.6
"Ansonia School District","Ansonia High School","Male",90,71,78.9,"*","*",18,20.0
"Ansonia School District","Ansonia High School","Non-ELL",179,139,77.7,"*","*",37,20.7
"Ansonia School District","Ansonia High School","Non-High Needs",84,75,89.3,"*","*",9,10.7
"Ansonia School District","Ansonia High School","Non-Hispanic",144,115,79.9,"*","*",27,18.8
"Ansonia School District","Ansonia High School","Non-Special Education",165,132,80.0,"*","*",32,19.4
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",88,79,89.8,"*","*",9,10.2
"Ansonia School District","Ansonia High School","Asian","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","ELL","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Indian or Alaska Native","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",18,11,61.1,"*","*","*","*"
"Ansonia School District","Ansonia High School","White",88,72,81.8,"*","*",15,17.0
"Avon School District","Avon High School","All Students",254,249,98.0,"*","*","*","*"
"Avon School District","Avon High School","Black",8,8,100.0,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Lunch",6,6,100.0,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Female",136,134,98.5,"*","*","*","*"
"Avon School District","Avon High School","High Needs",31,30,96.8,"*","*","*","*"
"Avon School District","Avon High School","Hispanic",13,13,100.0,"*","*","*","*"
"Avon School District","Avon High School","Male",118,115,97.5,"*","*","*","*"
"Avon School District","Avon High School","Non-ELL",253,249,98.4,"*","*","*","*"
"Avon School District","Avon High School","Non-High Needs",223,219,98.2,"*","*","*","*"
"Avon School District","Avon High School","Non-Hispanic",241,236,97.9,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",230,225,97.8,"*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",248,243,98.0,"*","*","*","*"
"Avon School District","Avon High School","Asian",19,18,94.7,"*","*","*","*"
"Avon School District","Avon High School","ELL","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Indian or Alaska Native","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Special Education",24,24,100.0,"*","*","*","*"
"Avon School District","Avon High School","White",213,209,98.1,"*","*","*","*"
"Berlin School District","Berlin High School","All Students",260,247,95.0,"*","*",13,5.0
"Berlin School District","Berlin High School","Black","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Free Lunch",8,"*","*","*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Lunch",14,9,64.3,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",6,6,100.0,"*","*","*","*"
"Berlin School District","Berlin High School","Female",124,118,95.2,"*","*",6,4.8
"Berlin School District","Berlin High School","High Needs",43,37,86.0,"*","*",6,14.0
"Berlin School District","Berlin High School","Hispanic",6,"*","*","*","*","*","*"
"Berlin School District","Berlin High School","Male",136,129,94.9,"*","*",7,5.1
"Berlin School District","Berlin High School","Non-ELL",256,243,94.9,"*","*",13,5.1
"Berlin School District","Berlin High School","Non-High Needs",217,210,96.8,"*","*",7,3.2
"Berlin School District","Berlin High School","Non-Hispanic",254,242,95.3,"*","*",12,4.7
"Berlin School District","Berlin High School","Non-Special Education",232,222,95.7,"*","*",10,4.3
"Berlin School District","Berlin High School","Not Eligible For Lunch",246,238,96.7,"*","*",8,3.3
"Berlin School District","Berlin High School","Asian",9,9,100.0,"*","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Indian or Alaska Native","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Special Education",28,25,89.3,"*","*","*","*"
"Berlin School District","Berlin High School","White",243,231,95.1,"*","*",12,4.9
"Bethel School District","Bethel High School","All Students",246,233,94.7,7,2.8,6,2.4
"Bethel School District","Bethel High School","Black","*","*","*","*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Free Lunch",12,10,83.3,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Lunch",19,17,89.5,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",7,7,100.0,"*","*","*","*"
"Bethel School District","Bethel High School","Female",132,127,96.2,"*","*","*","*"
"Bethel School District","Bethel High School","High Needs",42,34,81.0,6,14.3,"*","*"
"Bethel School District","Bethel High School","Hispanic",21,20,95.2,"*","*","*","*"
"Bethel School District","Bethel High School","Male",114,106,93.0,6,5.3,"*","*"
"Bethel School District","Bethel High School","Non-ELL",244,231,94.7,7,2.9,6,2.5
"Bethel School District","Bethel High School","Non-High Needs",204,199,97.5,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Hispanic",225,213,94.7,7,3.1,"*","*"
"Bethel School District","Bethel High School","Non-Special Education",222,216,97.3,"*","*","*","*"
"Bethel School District","Bethel High School","Not Eligible For Lunch",227,216,95.2,7,3.1,"*","*"
"Bethel School District","Bethel High School","Asian",17,17,100.0,"*","*","*","*"
"Bethel School District","Bethel High School","ELL","*","*","*","*","*","*","*"
"Bethel School District","Bethel High School","Special Education",24,17,70.8,6,25.0,"*","*"
"Bethel School District","Bethel High School","White",202,191,94.6,6,3.0,"*","*"
"Bloomfield School District","Bloomfield High School","All Students",167,140,83.8,"*","*",22,13.2
"Bloomfield School District","Bloomfield High School","Black",156,132,84.6,"*","*",20,12.8
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",48,38,79.2,"*","*",7,14.6
"Bloomfield School District","Bloomfield High School","Eligible For Lunch",60,49,81.7,"*","*",8,13.3
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",12,11,91.7,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Female",80,70,87.5,"*","*",9,11.3
