"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Gender"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Female","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Male","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Female",98,86,87.8,"*","*",12,12.2
"Ansonia School District","Ansonia High School","Male",101,79,78.2,"*","*",20,19.8
"Avon School District","Avon High School","Female",140,139,99.3,"*","*","*","*"
"Avon School District","Avon High School","Male",143,138,96.5,"*","*","*","*"
"Berlin School District","Berlin High School","Female",143,142,99.3,"*","*","*","*"
"Berlin School District","Berlin High School","Male",113,109,96.5,"*","*","*","*"
"Bethel School District","Bethel High School","Female",127,124,97.6,"*","*","*","*"
"Bethel School District","Bethel High School","Male",108,105,97.2,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Female",84,78,92.9,"*","*",6,7.1
"Bloomfield School District","Bloomfield High School","Male",80,75,93.8,"*","*","*","*"
"Bloomfield School District","The Big Picture High School","Female",11,"*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Male",6,"*","*","*","*","*","*"
"Bolton School District","Bolton High School","Female",37,35,94.6,"*","*","*","*"
"Bolton School District","Bolton High School","Male",33,32,97.0,"*","*","*","*"
"Branford School District","Branford High School","Female",129,124,96.1,"*","*","*","*"
"Branford School District","Branford High School","Male",124,118,95.2,"*","*","*","*"
"Bridgeport School District","Bassick High School","Female",144,82,56.9,"*","*",60,41.7
"Bridgeport School District","Bassick High School","Male",161,85,52.8,"*","*",73,45.3
"Bridgeport School District","Central High School","Female",290,254,87.6,"*","*",34,11.7
"Bridgeport School District","Central High School","Male",274,220,80.3,"*","*",51,18.6
"Bridgeport School District","Harding High School","Female",186,139,74.7,"*","*",44,23.7
"Bridgeport School District","Harding High School","Male",172,101,58.7,"*","*",71,41.3
"Bristol School District","Bristol Central High School","Female",164,146,89.0,"*","*",17,10.4
"Bristol School District","Bristol Central High School","Male",167,151,90.4,"*","*",16,9.6
"Bristol School District","Bristol Eastern High School","Female",149,138,92.6,"*","*",11,7.4
"Bristol School District","Bristol Eastern High School","Male",139,121,87.1,"*","*",18,12.9
"Brookfield School District","Brookfield High School","Female",139,138,99.3,"*","*","*","*"
"Brookfield School District","Brookfield High School","Male",113,112,99.1,"*","*","*","*"
"Canton School District","Canton High School","Female",61,61,100.0,"*","*","*","*"
"Canton School District","Canton High School","Male",56,54,96.4,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Female",50,45,90.0,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Male",25,19,76.0,"*","*",6,24.0
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Female",57,53,93.0,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Male",40,34,85.0,"*","*",6,15.0
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Female",35,34,97.1,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Male",43,40,93.0,"*","*","*","*"
"Cheshire School District","Cheshire High School","Female",193,192,99.5,"*","*","*","*"
"Cheshire School District","Cheshire High School","Male",202,201,99.5,"*","*","*","*"
"Clinton School District","The Morgan School","Female",60,56,93.3,"*","*","*","*"
"Clinton School District","The Morgan School","Male",60,57,95.0,"*","*","*","*"
"Colchester School District","Bacon Academy","Female",138,136,98.6,"*","*","*","*"
"Colchester School District","Bacon Academy","Male",102,99,97.1,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Female",12,12,100.0,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Male",18,17,94.4,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Female",98,90,91.8,"*","*",8,8.2
"Connecticut Technical High School System","A. I. Prince Technical High School","Male",72,70,97.2,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Female",113,106,93.8,"*","*",7,6.2
"Connecticut Technical High School System","Bullard-Havens Technical High School","Male",90,87,96.7,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Female",46,44,95.7,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Male",83,78,94.0,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Female",63,58,92.1,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Male",62,57,91.9,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Female",61,58,95.1,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Male",93,90,96.8,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Female",37,37,100.0,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Male",97,96,99.0,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Female",74,72,97.3,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Male",131,128,97.7,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Female",34,33,97.1,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Male",97,93,95.9,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Female",55,55,100.0,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Male",106,102,96.2,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Female",38,38,100.0,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Male",105,103,98.1,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Female",46,43,93.5,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Male",106,105,99.1,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Female",60,59,98.3,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Male",103,100,97.1,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Female",78,77,98.7,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Male",140,135,96.4,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Female",27,26,96.3,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","Male",102,99,97.1,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Female",71,69,97.2,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Male",103,102,99.0,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Female",53,51,96.2,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School","Male",85,84,98.8,"*","*","*","*"
"Coventry School District","Coventry High School","Female",69,65,94.2,"*","*","*","*"
"Coventry School District","Coventry High School","Male",79,72,91.1,"*","*","*","*"
"Cromwell School District","Cromwell High School","Female",72,70,97.2,"*","*","*","*"
"Cromwell School District","Cromwell High School","Male",73,68,93.2,"*","*","*","*"
"Danbury School District","Danbury High School","Female",363,327,90.1,"*","*",32,8.8
"Danbury School District","Danbury High School","Male",341,285,83.6,"*","*",51,15.0
"Darien School District","Darien High School","Female",161,157,97.5,"*","*","*","*"
"Darien School District","Darien High School","Male",146,144,98.6,"*","*","*","*"
"Derby School District","Derby High School","Female",51,42,82.4,"*","*",9,17.6
"Derby School District","Derby High School","Male",58,47,81.0,"*","*",10,17.2
"East Granby School District","East Granby High School","Female",31,30,96.8,"*","*","*","*"
"East Granby School District","East Granby High School","Male",29,28,96.6,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Female",56,53,94.6,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School","Male",43,40,93.0,"*","*","*","*"
"East Hampton School District","East Hampton High School","Female",75,74,98.7,"*","*","*","*"
"East Hampton School District","East Hampton High School","Male",84,79,94.0,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Female",26,24,92.3,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy","Male",11,10,90.9,"*","*","*","*"
"East Hartford School District","East Hartford High School","Female",220,199,90.5,"*","*",17,7.7
"East Hartford School District","East Hartford High School","Male",190,166,87.4,"*","*",21,11.1
"East Haven School District","East Haven High School","Female",115,97,84.3,"*","*",17,14.8
"East Haven School District","East Haven High School","Male",99,71,71.7,"*","*",28,28.3
"East Lyme School District","East Lyme High School","Female",159,153,96.2,"*","*",6,3.8
"East Lyme School District","East Lyme High School","Male",137,130,94.9,"*","*",6,4.4
"East Windsor School District","East Windsor High School","Female",44,40,90.9,"*","*","*","*"
"East Windsor School District","East Windsor High School","Male",41,37,90.2,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Female",26,23,88.5,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Male",8,8,100.0,"*","*","*","*"
