"Five-Year Graduation Rates, 2011-12"
"All Districts, All Schools, High Needs Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","High Needs Status","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","High Needs",137,108,78.8,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-High Needs",62,57,91.9,"*","*","*","*"
"Avon School District","Avon High School","High Needs",44,41,93.2,"*","*","*","*"
"Avon School District","Avon High School","Non-High Needs",239,236,98.7,"*","*","*","*"
"Berlin School District","Berlin High School","High Needs",60,59,98.3,"*","*","*","*"
"Berlin School District","Berlin High School","Non-High Needs",196,192,98.0,"*","*","*","*"
"Bethel School District","Bethel High School","High Needs",55,52,94.5,"*","*","*","*"
"Bethel School District","Bethel High School","Non-High Needs",180,177,98.3,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","High Needs",96,87,90.6,"*","*",7,7.3
"Bloomfield School District","Bloomfield High School","Non-High Needs",68,66,97.1,"*","*","*","*"
"Bloomfield School District","The Big Picture High School","High Needs","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Non-High Needs","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","High Needs",13,10,76.9,"*","*","*","*"
"Bolton School District","Bolton High School","Non-High Needs",57,57,100.0,"*","*","*","*"
"Branford School District","Branford High School","High Needs",81,78,96.3,"*","*","*","*"
"Branford School District","Branford High School","Non-High Needs",172,164,95.3,"*","*","*","*"
"Bridgeport School District","Bassick High School","High Needs",304,166,54.6,"*","*",133,43.8
"Bridgeport School District","Bassick High School","Non-High Needs","*","*","*","*","*","*","*"
"Bridgeport School District","Central High School","High Needs",564,474,84.0,"*","*",85,15.1
"Bridgeport School District","Harding High School","High Needs",357,240,67.2,"*","*",114,31.9
"Bridgeport School District","Harding High School","Non-High Needs","*","*","*","*","*","*","*"
"Bristol School District","Bristol Central High School","High Needs",158,131,82.9,"*","*",26,16.5
"Bristol School District","Bristol Central High School","Non-High Needs",173,166,96.0,"*","*",7,4.0
"Bristol School District","Bristol Eastern High School","High Needs",121,102,84.3,"*","*",19,15.7
"Bristol School District","Bristol Eastern High School","Non-High Needs",167,157,94.0,"*","*",10,6.0
"Brookfield School District","Brookfield High School","High Needs",30,28,93.3,"*","*","*","*"
"Brookfield School District","Brookfield High School","Non-High Needs",222,222,100.0,"*","*","*","*"
"Canton School District","Canton High School","High Needs",16,15,93.8,"*","*","*","*"
"Canton School District","Canton High School","Non-High Needs",101,100,99.0,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","High Needs",50,42,84.0,"*","*",8,16.0
"Capitol Region Education Council","Great Path Academy at MCC","Non-High Needs",25,22,88.0,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","High Needs",60,56,93.3,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-High Needs",37,31,83.8,"*","*",6,16.2
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","High Needs",47,43,91.5,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-High Needs",31,31,100.0,"*","*","*","*"
"Cheshire School District","Cheshire High School","High Needs",73,72,98.6,"*","*","*","*"
