"Five-Year Graduation Rates, Trend"
"All Districts, All Schools, Special Education Status"

"",,,"Non-Graduates",,,,,,,
"",,,"Five-Year Still Enrolled Rate by Year",,,,"Five-Year Other Rate by Year",,,
"District","School","Special Education Status","2010-11","2011-12","2012-13","2013-14","2010-11","2011-12","2012-13","2013-14"
"Amistad Academy District","Amistad Academy","Non-Special Education","*","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education","*",14.9,"*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education","*",25.0,"*","*","*","*","*","*"
"Avon School District","Avon High School","Non-Special Education","*","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Special Education","*","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education","*","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Special Education","*","*","*","*","*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education","*","*","*","*","*","*","*","*"
"Bethel School District","Bethel High School","Special Education","*","*","*","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",12.6,5.7,"*","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","Special Education","*","*","*","*","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Bloomfield School District","Global Experience Magnet School","Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Bloomfield School District","The Big Picture High School","Non-Special Education","*","*","N/A","N/A","*","*","N/A","N/A"
"Bloomfield School District","The Big Picture High School","Special Education","*","*","N/A","N/A","*","*","N/A","N/A"
"Bolton School District","Bolton High School","Non-Special Education","*","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Special Education","*","*","*","*","*","*","*","*"
"Branford School District","Branford High School","Non-Special Education","*","*","*","*","*","*","*","*"
"Branford School District","Branford High School","Special Education","*","*","*","*","*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",30.9,43.1,29.6,28.2,"*","*","*",2.7
"Bridgeport School District","Bassick High School","Special Education",40.0,46.7,37.8,"*","*","*","*",17.5
"Bridgeport School District","Central High School","Non-Special Education",18.9,13.4,15.4,15.3,1.8,"*","*","*"
"Bridgeport School District","Central High School","Special Education",26.5,29.8,24.1,"*","*","*","*",13.7
"Bridgeport School District","Harding High School","Non-Special Education",45.7,30.0,32.0,25.0,1.9,"*","*","*"
"Bridgeport School District","Harding High School","Special Education",70.2,45.1,48.1,41.9,"*","*","*","*"
"Bristol School District","Bristol Central High School","Non-Special Education",18.1,9.5,10.4,12.0,"*","*","*","*"
"Bristol School District","Bristol Central High School","Special Education","*","*","*","*","*","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-Special Education",12.1,10.3,11.2,8.2,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Special Education","*","*","*","*","*","*","*","*"
"Brookfield School District","Brookfield High School","Non-Special Education","*","*","*","*","*","*","*","*"
"Brookfield School District","Brookfield High School","Special Education","*","*","*","*","*","*","*","*"
"Canton School District","Canton High School","Non-Special Education","*","*","*","*","*","*","*","*"
"Canton School District","Canton High School","Special Education","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Special Education","N/A","N/A","*","*","N/A","N/A","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Non-Special Education",7.8,15.4,"N/A","N/A","*","*","N/A","N/A"
"Capitol Region Education Council","Great Path Academy at MCC","Special Education","*","*","N/A","N/A","*","*","N/A","N/A"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-Special Education",16.9,9.9,14.3,11.6,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Special Education","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Non-Special Education","N/A","N/A","N/A","*","N/A","N/A","N/A","*"
