"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch",13,9,69.2,"*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",87,57,65.5,"*","*",27,31.0
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",8,7,87.5,"*","*","*","*"
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",88,79,89.8,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",248,243,98.0,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Free Lunch",8,"*","*","*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",6,"*","*","*","*","*","*"
"Berlin School District","Berlin High School","Not Eligible For Lunch",246,238,96.7,"*","*",8,3.3
"Bethel School District","Bethel High School","Eligible For Free Lunch",12,10,83.3,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",7,7,100.0,"*","*","*","*"
"Bethel School District","Bethel High School","Not Eligible For Lunch",227,216,95.2,7,3.1,"*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",48,38,79.2,"*","*",7,14.6
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",12,11,91.7,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",107,91,85.0,"*","*",14,13.1
"Bloomfield School District","The Big Picture High School","Eligible For Free Lunch",7,"*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Free Lunch",7,"*","*","*","*","*","*"
"Bolton School District","Bolton High School","Not Eligible For Lunch",65,"*","*","*","*","*","*"
"Branford School District","Branford High School","Eligible For Free Lunch",25,20,80.0,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Reduced Lunch",12,10,83.3,"*","*","*","*"
"Branford School District","Branford High School","Not Eligible For Lunch",237,233,98.3,"*","*","*","*"
"Bridgeport School District","Bassick High School","Eligible For Free Lunch",312,209,67.0,"*","*",99,31.7
"Bridgeport School District","Bassick High School","Eligible For Reduced Lunch",10,7,70.0,"*","*","*","*"
"Bridgeport School District","Bassick High School","Not Eligible For Lunch",13,6,46.2,"*","*",6,46.2
"Bridgeport School District","Central High School","Eligible For Free Lunch",490,381,77.8,11,2.2,98,20.0
"Bridgeport School District","Central High School","Eligible For Reduced Lunch",52,46,88.5,"*","*",6,11.5
"Bridgeport School District","Central High School","Not Eligible For Lunch",54,39,72.2,"*","*",11,20.4
"Bridgeport School District","Harding High School","Eligible For Free Lunch",394,192,48.7,9,2.3,193,49.0
"Bridgeport School District","Harding High School","Eligible For Reduced Lunch",11,6,54.5,"*","*","*","*"
"Bridgeport School District","Harding High School","Not Eligible For Lunch",28,13,46.4,"*","*",14,50.0
"Bristol School District","Bristol Central High School","Eligible For Free Lunch",69,45,65.2,"*","*",24,34.8
"Bristol School District","Bristol Central High School","Eligible For Reduced Lunch",34,23,67.6,"*","*","*","*"
"Bristol School District","Bristol Central High School","Not Eligible For Lunch",228,195,85.5,"*","*",28,12.3
"Bristol School District","Bristol Eastern High School","Eligible For Free Lunch",63,49,77.8,"*","*",12,19.0
"Bristol School District","Bristol Eastern High School","Eligible For Reduced Lunch",16,13,81.3,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Not Eligible For Lunch",285,256,89.8,"*","*",26,9.1
"Brookfield School District","Brookfield High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Brookfield School District","Brookfield High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Brookfield School District","Brookfield High School","Not Eligible For Lunch",257,249,96.9,"*","*",8,3.1
"Canton School District","Canton High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Canton School District","Canton High School","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Eligible For Free Lunch",61,54,88.5,"*","*",7,11.5
"Capitol Region Education Council","Great Path Academy at MCC","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Not Eligible For Lunch",51,46,90.2,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Eligible For Free Lunch",22,16,72.7,"*","*",6,27.3
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Not Eligible For Lunch",39,35,89.7,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Eligible For Free Lunch",16,15,93.8,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Not Eligible For Lunch",80,74,92.5,"*","*",6,7.5
"Cheshire School District","Cheshire High School","Eligible For Free Lunch",8,8,100.0,"*","*","*","*"
"Cheshire School District","Cheshire High School","Eligible For Reduced Lunch",9,8,88.9,"*","*","*","*"
"Cheshire School District","Cheshire High School","Not Eligible For Lunch",347,339,97.7,"*","*",6,1.7
"Clinton School District","The Morgan School","Eligible For Free Lunch",6,"*","*","*","*","*","*"
"Clinton School District","The Morgan School","Eligible For Reduced Lunch",9,"*","*","*","*","*","*"
"Clinton School District","The Morgan School","Not Eligible For Lunch",129,123,95.3,"*","*","*","*"
"Colchester School District","Bacon Academy","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Colchester School District","Bacon Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Colchester School District","Bacon Academy","Not Eligible For Lunch",231,221,95.7,"*","*",6,2.6
"Common Ground High School District","Common Ground High School","Eligible For Free Lunch",19,15,78.9,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Eligible For Free Lunch",16,14,87.5,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Not Eligible For Lunch",134,125,93.3,"*","*",9,6.7
"Connecticut Technical High School System","Bullard-Havens Technical High School","Eligible For Free Lunch",51,48,94.1,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Not Eligible For Lunch",138,132,95.7,"*","*",6,4.3
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Eligible For Free Lunch",11,10,90.9,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Not Eligible For Lunch",90,87,96.7,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Eligible For Free Lunch",29,21,72.4,"*","*",8,27.6
"Connecticut Technical High School System","Eli Whitney Technical High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Not Eligible For Lunch",93,79,84.9,"*","*",14,15.1
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Eligible For Free Lunch",21,19,90.5,"*","*","*","*"
