"Five-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,"Graduates",,"Non-Graduates",,,
"District","School","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy",23,20,87.0,"*","*","*","*"
"Ansonia School District","Ansonia High School",208,172,82.7,9,4.3,27,13.0
"Avon School District","Avon High School",260,257,98.8,"*","*","*","*"
"Berlin School District","Berlin High School",263,253,96.2,"*","*","*","*"
"Bethel School District","Bethel High School",233,222,95.3,"*","*","*","*"
"Bloomfield School District","Bloomfield High School",121,116,95.9,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School",30,"*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield",8,"*","*","*","*","*","*"
"Bolton School District","Bolton High School",81,78,96.3,"*","*","*","*"
"Branford School District","Branford High School",269,253,94.1,"*","*","*","*"
"Bridgeport School District","Bassick High School",314,211,67.2,"*","*",96,30.6
"Bridgeport School District","Central High School",540,443,82.0,9,1.7,88,16.3
"Bridgeport School District","Harding High School",332,213,64.2,"*","*",115,34.6
"Bristol School District","Bristol Central High School",311,268,86.2,"*","*",38,12.2
"Bristol School District","Bristol Eastern High School",303,261,86.1,"*","*",34,11.2
"Brookfield School District","Brookfield High School",238,233,97.9,"*","*","*","*"
"Canton School District","Canton High School",122,121,99.2,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering",38,35,92.1,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",86,73,84.9,"*","*",13,15.1
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",90,86,95.6,"*","*","*","*"
"Cheshire School District","Cheshire High School",355,348,98.0,"*","*","*","*"
"Clinton School District","The Morgan School",143,131,91.6,"*","*","*","*"
"Colchester School District","Bacon Academy",250,239,95.6,"*","*","*","*"
"Common Ground High School District","Common Ground High School",38,36,94.7,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",166,152,91.6,"*","*",14,8.4
"Connecticut Technical High School System","Bullard-Havens Technical High School",196,189,96.4,"*","*",7,3.6
"Connecticut Technical High School System","E. C. Goodwin Technical High School",130,126,96.9,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School",119,103,86.6,"*","*",16,13.4
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",147,145,98.6,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School",116,112,96.6,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School",178,177,99.4,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School",113,113,100.0,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School",148,143,96.6,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School",168,164,97.6,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School",154,152,98.7,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School",166,165,99.4,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School",207,205,99.0,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School",141,134,95.0,"*","*",7,5.0
"Connecticut Technical High School System","W. F. Kaynor Technical High School",192,188,97.9,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School",132,131,99.2,"*","*","*","*"
"Coventry School District","Coventry High School",135,122,90.4,"*","*","*","*"
"Cromwell School District","Cromwell High School",140,133,95.0,"*","*","*","*"
"Danbury School District","Alternative Center For Excellence",33,15,45.5,"*","*",15,45.5
"Danbury School District","Danbury High School",735,628,85.4,"*","*",88,12.0
"Darien School District","Darien High School",312,306,98.1,"*","*","*","*"
"Derby School District","Derby High School",84,70,83.3,"*","*","*","*"
"East Granby School District","East Granby High School",69,67,97.1,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School",95,94,98.9,"*","*","*","*"
"East Hampton School District","East Hampton High School",129,126,97.7,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy",38,37,97.4,"*","*","*","*"
"East Hartford School District","East Hartford High School",368,327,88.9,7,1.9,"*","*"
"East Hartford School District","Stevens Alternate High school",116,77,66.4,"*","*",35,30.2
"East Haven School District","East Haven High School",238,184,77.3,8,3.4,46,19.3
"East Lyme School District","East Lyme High School",306,295,96.4,"*","*","*","*"
"East Windsor School District","East Windsor High School",92,81,88.0,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)",26,25,96.2,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College",40,33,82.5,"*","*","*","*"
"Ellington School District","Ellington High School",197,186,94.4,"*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School",13,10,76.9,"*","*","*","*"
"Enfield School District","Enfield High School",182,156,85.7,"*","*",23,12.6
"Enfield School District","Enrico Fermi High School",255,242,94.9,"*","*",13,5.1
