"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, All Students"

"",,,"Graduates",,"Non-Graduates",,,
"District","School","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy",27,17,63.0,"*","*","*","*"
"Ansonia School District","Ansonia High School",183,143,78.1,"*","*","*","*"
"Avon School District","Avon High School",254,249,98.0,"*","*","*","*"
"Berlin School District","Berlin High School",260,247,95.0,"*","*","*","*"
"Bethel School District","Bethel High School",246,233,94.7,7,2.8,6,2.4
"Bloomfield School District","Bloomfield High School",167,140,83.8,"*","*","*","*"
"Bloomfield School District","The Big Picture High School",14,13,92.9,"*","*","*","*"
"Bolton School District","Bolton High School",72,69,95.8,"*","*","*","*"
"Branford School District","Branford High School",274,263,96.0,"*","*","*","*"
"Bridgeport School District","Bassick High School",335,222,66.3,"*","*",108,32.2
"Bridgeport School District","Central High School",596,466,78.2,15,2.5,115,19.3
"Bridgeport School District","Harding High School",433,211,48.7,"*","*",212,49.0
"Bristol School District","Bristol Central High School",331,263,79.5,"*","*",63,19.0
"Bristol School District","Bristol Eastern High School",364,318,87.4,"*","*",41,11.3
"Brookfield School District","Brookfield High School",263,254,96.6,"*","*","*","*"
"Canton School District","Canton High School",118,113,95.8,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC",117,105,89.7,"*","*",12,10.3
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",61,51,83.6,"*","*",10,16.4
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",102,94,92.2,"*","*",8,7.8
"Cheshire School District","Cheshire High School",364,355,97.5,"*","*","*","*"
"Clinton School District","The Morgan School",144,137,95.1,"*","*","*","*"
"Colchester School District","Bacon Academy",250,237,94.8,"*","*","*","*"
"Common Ground High School District","Common Ground High School",38,33,86.8,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",151,140,92.7,"*","*",11,7.3
"Connecticut Technical High School System","Bullard-Havens Technical High School",191,182,95.3,"*","*",9,4.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School",101,97,96.0,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School",123,100,81.3,"*","*",23,18.7
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",125,120,96.0,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School",119,113,95.0,"*","*",6,5.0
"Connecticut Technical High School System","H. C. Wilcox Technical High School",182,177,97.3,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School",129,115,89.1,"*","*",14,10.9
"Connecticut Technical High School System","Henry Abbott Technical High School",157,147,93.6,"*","*",10,6.4
"Connecticut Technical High School System","Howell Cheney Technical High School",135,133,98.5,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School",111,109,98.2,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School",192,179,93.2,"*","*",13,6.8
"Connecticut Technical High School System","Platt Technical High School",199,193,97.0,"*","*",6,3.0
"Connecticut Technical High School System","Vinal Technical High School",134,125,93.3,"*","*",9,6.7
"Connecticut Technical High School System","W. F. Kaynor Technical High School",152,147,96.7,"*","*","*","*"
"Connecticut Technical High School System","Windham Technical High School",126,121,96.0,"*","*","*","*"
"Coventry School District","Coventry High School",152,139,91.4,"*","*","*","*"
"Cromwell School District","Cromwell High School",166,159,95.8,"*","*","*","*"
"Danbury School District","Danbury High School",716,596,83.2,15,2.1,105,14.7
"Darien School District","Darien High School",326,317,97.2,"*","*","*","*"
"Derby School District","Derby High School",121,97,80.2,"*","*","*","*"
"East Granby School District","East Granby High School",76,74,97.4,"*","*","*","*"
"East Haddam School District","Nathan Hale-Ray High School",93,86,92.5,"*","*","*","*"
"East Hampton School District","East Hampton High School",136,127,93.4,"*","*","*","*"
"East Hartford School District","Connecticut IB Academy",33,33,100.0,"*","*","*","*"
"East Hartford School District","East Hartford High School",504,434,86.1,"*","*","*","*"
"East Haven School District","East Haven High School",292,256,87.7,"*","*","*","*"
"East Lyme School District","East Lyme High School",324,316,97.5,"*","*","*","*"
"East Windsor School District","East Windsor High School",90,80,88.9,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)",17,14,82.4,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College",43,34,79.1,"*","*","*","*"
"Ellington School District","Ellington High School",182,173,95.1,"*","*","*","*"
"Enfield School District","Enfield High School",237,202,85.2,"*","*",33,13.9
"Enfield School District","Enrico Fermi High School",275,243,88.4,"*","*",29,10.5
"Explorations District","Explorations",30,21,70.0,"*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School",350,339,96.9,"*","*",8,2.3
"Fairfield School District","Fairfield Warde High School",301,290,96.3,"*","*",9,3.0
"Farmington School District","Farmington High School",333,320,96.1,"*","*","*","*"
"Glastonbury School District","Glastonbury High School",542,533,98.3,"*","*","*","*"
"Granby School District","Granby Memorial High School",193,189,97.9,"*","*","*","*"
"Greenwich School District","Greenwich High School",632,615,97.3,8,1.3,9,1.4
"Griswold School District","Griswold High School",198,166,83.8,"*","*","*","*"
"Groton School District","Robert E. Fitch High School",327,271,82.9,"*","*","*","*"
"Guilford School District","Guilford High School",266,257,96.6,"*","*","*","*"
"Hamden School District","Hamden High School",570,504,88.4,"*","*","*","*"
"Hartford School District","Bulkeley High School Upper School",278,223,80.2,"*","*",51,18.3
"Hartford School District","Capital Preparatory Magnet School",31,28,90.3,"*","*","*","*"
"Hartford School District","Classical Magnet School",88,85,96.6,"*","*","*","*"
"Hartford School District","Culinary Arts Academy",95,65,68.4,"*","*",24,25.3
"Hartford School District","HPHS Academy of Engineering and Green Technology",131,103,78.6,"*","*",25,19.1
"Hartford School District","HPHS Academy of Nursing and Health Science",134,103,76.9,"*","*",29,21.6
"Hartford School District","HPHS Law and Government Academy",102,70,68.6,"*","*",28,27.5
"Hartford School District","OPPortunity High School",54,24,44.4,"*","*",28,51.9
"Hartford School District","Pathways Academy of Technology and Design",98,83,84.7,"*","*",15,15.3
"Hartford School District","Sports and Medical Sciences Academy",106,99,93.4,"*","*",7,6.6
"Hartford School District","University High of Science and Engineering",72,70,97.2,"*","*","*","*"
"Killingly School District","Killingly High School",193,143,74.1,"*","*","*","*"
"Lebanon School District","Lyman Memorial High School",158,149,94.3,"*","*","*","*"
"Ledyard School District","Ledyard High School",227,209,92.1,"*","*","*","*"
"Lisbon School District","Community Connection - The Big Picture High School","*","*","*","*","*","*","*"
"Litchfield School District","Litchfield High School",92,88,95.7,"*","*","*","*"
"Madison School District","Daniel Hand High School",315,307,97.5,"*","*","*","*"
"Manchester School District","Manchester High School",493,382,77.5,11,2.2,100,20.3
"Meriden School District","Francis T. Maloney High School",313,243,77.6,"*","*",60,19.2
"Meriden School District","Orville H. Platt High School",298,218,73.2,"*","*",80,26.8
"Middletown School District","Middletown High School",341,274,80.4,17,5.0,50,14.7
"Milford School District","Jonathan Law High School",224,196,87.5,"*","*",17,7.6
"Milford School District","Joseph A. Foran High School",265,251,94.7,"*","*",9,3.4
"Monroe School District","Masuk High School",365,358,98.1,"*","*","*","*"
"Montville School District","Montville High School",194,171,88.1,"*","*","*","*"
"Naugatuck School District","Naugatuck High School",369,313,84.8,6,1.6,50,13.6
"New Britain School District","New Britain High School",723,432,59.8,18,2.5,273,37.8
"New Canaan School District","New Canaan High School",310,305,98.4,"*","*","*","*"
"New Fairfield School District","New Fairfield High School",239,225,94.1,"*","*","*","*"
"New Haven School District","Cooperative High School",109,92,84.4,"*","*",17,15.6
"New Haven School District","High School In The Community",77,50,64.9,"*","*",25,32.5
"New Haven School District","Hill Regional Career High School",170,150,88.2,"*","*",19,11.2
"New Haven School District","Hyde School of Health, Science and Sports Medicine",40,34,85.0,"*","*","*","*"
"New Haven School District","James Hillhouse High School",309,180,58.3,"*","*",124,40.1
"New Haven School District","Metropolitan Business Academy",33,29,87.9,"*","*","*","*"
"New Haven School District","New Haven Academy",62,46,74.2,"*","*",13,21.0
"New Haven School District","Sound School",61,57,93.4,"*","*","*","*"
"New Haven School District","Wilbur Cross High School",475,292,61.5,16,3.4,167,35.2
"New London School District","New London High School",260,180,69.2,12,4.6,68,26.2
"New Milford School District","New Milford High School",393,349,88.8,"*","*","*","*"
"Newington School District","Newington High School",409,367,89.7,11,2.7,31,7.6
"Newtown School District","Newtown High School",442,426,96.4,"*","*","*","*"
"North Branford School District","North Branford High School",196,185,94.4,"*","*","*","*"
"North Haven School District","North Haven High School",304,269,88.5,"*","*","*","*"
"North Stonington School District","Wheeler High School",67,61,91.0,"*","*","*","*"
"Norwalk School District","Brien McMahon High School",445,406,91.2,"*","*",34,7.6
"Norwalk School District","Norwalk High School",380,339,89.2,"*","*",39,10.3
"Norwalk School District","Norwalk Pathways Academy at Briggs",62,30,48.4,"*","*",30,48.4
"Norwich Free Academy District","Norwich Free Academy",612,514,84.0,"*","*","*","*"
"Norwich School District","Thames River Academy",26,"*","*","*","*",20,76.9
"Old Saybrook School District","Old Saybrook Senior High School",121,115,95.0,"*","*","*","*"
"Oxford School District","Oxford High School",154,149,96.8,"*","*","*","*"
"Plainfield School District","Plainfield High School",226,204,90.3,"*","*","*","*"
"Plainville School District","Plainville High School",230,209,90.9,"*","*","*","*"
"Plymouth School District","Terryville High School",136,131,96.3,"*","*","*","*"
"Portland School District","Portland High School",97,82,84.5,"*","*","*","*"
"Putnam School District","Putnam High School",72,63,87.5,"*","*","*","*"
"Regional School District 01","Housatonic Valley Regional High School",137,118,86.1,"*","*","*","*"
"Regional School District 04","Valley Regional High School",169,152,89.9,"*","*","*","*"
"Regional School District 05","Amity Regional High School",404,381,94.3,"*","*","*","*"
"Regional School District 06","Wamogo Regional High School",103,92,89.3,"*","*","*","*"
"Regional School District 07","Northwestern Regional High School",186,183,98.4,"*","*","*","*"
"Regional School District 08","RHAM High School",267,235,88.0,"*","*","*","*"
"Regional School District 09","Joel Barlow High School",219,213,97.3,"*","*","*","*"
"Regional School District 10","Lewis S. Mills High School",174,170,97.7,"*","*","*","*"
"Regional School District 11","Parish Hill High School",36,27,75.0,"*","*","*","*"
"Regional School District 12","Shepaug Valley High School",93,81,87.1,"*","*","*","*"
"Regional School District 13","Coginchaug Regional High School",139,131,94.2,"*","*","*","*"
"Regional School District 14","Nonnewaug High School",217,210,96.8,"*","*","*","*"
"Regional School District 15","Pomperaug Regional High School",387,365,94.3,"*","*","*","*"
"Regional School District 16","Woodland Regional High School",197,176,89.3,6,3.0,15,7.6
"Regional School District 17","Haddam-Killingworth High School",179,169,94.4,"*","*","*","*"
"Regional School District 18","Lyme-Old Lyme High School",133,131,98.5,"*","*","*","*"
"Regional School District 19","E. O. Smith High School",282,245,86.9,10,3.5,27,9.6
"Ridgefield School District","Ridgefield High School",429,417,97.2,"*","*","*","*"
"Rocky Hill School District","Rocky Hill High School",176,163,92.6,"*","*","*","*"
"Seymour School District","Seymour High School",187,162,86.6,"*","*","*","*"
"Shelton School District","Shelton High School",394,364,92.4,7,1.8,23,5.8
"Simsbury School District","Simsbury High School",356,343,96.3,"*","*","*","*"
"Somers School District","Somers High School",143,138,96.5,"*","*","*","*"
"South Windsor School District","South Windsor High School",415,388,93.5,"*","*","*","*"
"Southington School District","Southington High School",537,509,94.8,"*","*","*","*"
"Stafford School District","Stafford High School",135,116,85.9,"*","*","*","*"
"Stamford Academy District","Stamford Academy",52,30,57.7,8,15.4,14,26.9
"Stamford School District","Stamford High School",443,390,88.0,"*","*",47,10.6
"Stamford School District","The Academy of Information Technology",141,134,95.0,"*","*",7,5.0
"Stamford School District","Westhill High School",595,526,88.4,8,1.3,61,10.3
"Stonington School District","Stonington High School",208,199,95.7,"*","*","*","*"
"Stratford School District","Bunnell High School",326,294,90.2,"*","*",25,7.7
"Stratford School District","Stratford High School",242,219,90.5,"*","*",20,8.3
"Suffield School District","Suffield High School",214,208,97.2,"*","*","*","*"
