"Five-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",18,16,88.9,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",82,60,73.2,"*","*",21,25.6
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",22,20,90.9,"*","*","*","*"
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",46,41,89.1,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",248,246,99.2,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Free Lunch",29,27,93.1,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",9,9,100.0,"*","*","*","*"
"Berlin School District","Berlin High School","Not Eligible For Lunch",194,190,97.9,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Free Lunch",36,29,80.6,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",17,17,100.0,"*","*","*","*"
"Bethel School District","Bethel High School","Not Eligible For Lunch",191,185,96.9,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",72,70,97.2,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",19,18,94.7,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",43,37,86.0,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Free Lunch",14,14,100.0,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Not Eligible For Lunch",11,11,100.0,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Free Lunch",6,"*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Not Eligible For Lunch",89,88,98.9,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Free Lunch",54,46,85.2,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Reduced Lunch",13,10,76.9,"*","*","*","*"
"Branford School District","Branford High School","Not Eligible For Lunch",228,217,95.2,"*","*",10,4.4
"Bridgeport School District","Bassick High School","Eligible For Free Lunch",329,223,67.8,12,3.6,94,28.6
"Bridgeport School District","Bassick High School","Eligible For Reduced Lunch",9,"*","*","*","*","*","*"
"Bridgeport School District","Central High School","Eligible For Free Lunch",533,446,83.7,8,1.5,79,14.8
"Bridgeport School District","Central High School","Eligible For Reduced Lunch",19,19,100.0,"*","*","*","*"
"Bridgeport School District","Central High School","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bridgeport School District","Harding High School","Eligible For Free Lunch",301,214,71.1,"*","*",83,27.6
"Bridgeport School District","Harding High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bristol School District","Bristol Central High School","Eligible For Free Lunch",105,79,75.2,"*","*",26,24.8
"Bristol School District","Bristol Central High School","Eligible For Reduced Lunch",33,30,90.9,"*","*","*","*"
"Bristol School District","Bristol Central High School","Not Eligible For Lunch",189,178,94.2,"*","*",10,5.3
"Bristol School District","Bristol Eastern High School","Eligible For Free Lunch",98,78,79.6,"*","*",15,15.3
"Bristol School District","Bristol Eastern High School","Eligible For Reduced Lunch",30,25,83.3,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Not Eligible For Lunch",215,203,94.4,"*","*",12,5.6
"Brookfield School District","Brookfield High School","Eligible For Free Lunch",14,13,92.9,"*","*","*","*"
"Brookfield School District","Brookfield High School","Eligible For Reduced Lunch",9,9,100.0,"*","*","*","*"
"Brookfield School District","Brookfield High School","Not Eligible For Lunch",207,207,100.0,"*","*","*","*"
"Canton School District","Canton High School","Eligible For Free Lunch",8,8,100.0,"*","*","*","*"
"Canton School District","Canton High School","Not Eligible For Lunch",126,122,96.8,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Eligible For Free Lunch",10,10,100.0,"*","*","*","*"
