"Five-Year Graduation Rates, 2010-11"
"All Districts, All Schools, Race/Ethnicity"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Race/Ethnicity","Five-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Black",15,9,60.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic",12,8,66.7,"*","*","*","*"
"Ansonia School District","Ansonia High School","Black",50,39,78.0,"*","*",10,20.0
"Ansonia School District","Ansonia High School","Hispanic",39,28,71.8,"*","*",10,25.6
"Ansonia School District","Ansonia High School","Asian","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Indian or Alaska Native","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","White",88,72,81.8,"*","*",15,17.0
"Avon School District","Avon High School","Black","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Hispanic",13,13,100.0,"*","*","*","*"
"Avon School District","Avon High School","Asian",19,18,94.7,"*","*","*","*"
"Avon School District","Avon High School","Indian or Alaska Native","*","*","*","*","*","*","*"
"Avon School District","Avon High School","White",213,209,98.1,"*","*","*","*"
"Berlin School District","Berlin High School","Black","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Hispanic",6,"*","*","*","*","*","*"
"Berlin School District","Berlin High School","Asian",9,9,100.0,"*","*","*","*"
"Berlin School District","Berlin High School","Indian or Alaska Native","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","White",243,231,95.1,"*","*",12,4.9
"Bethel School District","Bethel High School","Black",6,"*","*","*","*","*","*"
"Bethel School District","Bethel High School","Hispanic",21,20,95.2,"*","*","*","*"
"Bethel School District","Bethel High School","Asian",17,"*","*","*","*","*","*"
"Bethel School District","Bethel High School","White",202,191,94.6,6,3.0,"*","*"
"Bloomfield School District","Bloomfield High School","Black",156,132,84.6,"*","*",20,12.8
"Bloomfield School District","Bloomfield High School","Hispanic","*","*","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","Asian","*","*","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","White","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Black",10,10,100.0,"*","*","*","*"
"Bloomfield School District","The Big Picture High School","Hispanic","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Asian","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Black","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Hispanic","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Indian or Alaska Native","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","White",66,64,97.0,"*","*","*","*"
"Branford School District","Branford High School","Black",10,9,90.0,"*","*","*","*"
"Branford School District","Branford High School","Hispanic","*","*","*","*","*","*","*"
"Branford School District","Branford High School","Asian",19,18,94.7,"*","*","*","*"
