"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, Free/Reduced Price Mea"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",364,360,98.9,360,99,27.5,105,29.2,99,27.5,57,15.8,156,43.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",85,84,98.8,84,11,13.1,28,33.3,14,16.7,31,36.9,45,53.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","R",89,89,100.0,89,9,10.1,28,31.5,26,29.2,26,29.2,52,58.4
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",134,133,99.3,133,6,4.5,27,20.3,47,35.3,53,39.8,100,75.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",201,194,96.5,194,102,52.6,64,33.0,"*","*","*","*",28,14.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",104,103,99.0,102,38,37.3,40,39.2,12,11.8,12,11.8,24,23.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","R",48,46,95.8,46,20,43.5,17,37.0,"*","*","*","*",9,19.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",212,212,100.0,212,102,48.1,76,35.8,"*","*","*","*",34,16.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",107,107,100.0,107,30,28.0,38,35.5,28,26.2,11,10.3,39,36.4
"Ansonia School District","=""0020011""","Mead School","=""0020311""","R",27,27,100.0,27,9,33.3,9,33.3,"*","*","*","*",9,33.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","F",189,186,98.4,186,68,36.6,71,38.2,"*","*","*","*",47,25.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",114,112,98.2,112,30,26.8,37,33.0,27,24.1,18,16.1,45,40.2
