"Smarter Balanced Assessments, 2015-16"
"State of Connecticut, Math, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"F",14681,14562,99.2,14556,6264,43.0,4239,29.1,3069,21.1,984,6.8,4053,27.8,2393
"State of Connecticut",03,"N",22864,22576,98.7,22565,2475,11.0,4428,19.6,8055,35.7,7607,33.7,15662,69.4,2468
"State of Connecticut",03,"R",1751,1746,99.7,1746,408,23.4,535,30.6,558,32.0,245,14.0,803,46.0,2428
"State of Connecticut",04,"F",14254,14143,99.2,14140,5827,41.2,5181,36.6,2369,16.8,763,5.4,3132,22.1,2429
"State of Connecticut",04,"N",22843,22526,98.6,22512,2064,9.2,5858,26.0,7765,34.5,6825,30.3,14590,64.8,2510
"State of Connecticut",04,"R",1745,1733,99.3,1732,347,20.0,706,40.8,442,25.5,237,13.7,679,39.2,2468
"State of Connecticut",05,"F",13735,13634,99.3,13626,7670,56.3,3830,28.1,1441,10.6,685,5.0,2126,15.6,2446
"State of Connecticut",05,"N",23811,23498,98.7,23494,3758,16.0,6505,27.7,5940,25.3,7291,31.0,13231,56.3,2535
"State of Connecticut",05,"R",1835,1819,99.1,1818,641,35.3,628,34.5,322,17.7,227,12.5,549,30.2,2485
"State of Connecticut",06,"F",13255,13096,98.8,13091,7133,54.5,3941,30.1,1447,11.1,570,4.4,2017,15.4,2456
"State of Connecticut",06,"N",24390,23973,98.3,23966,3750,15.6,7002,29.2,6342,26.5,6872,28.7,13214,55.1,2558
"State of Connecticut",06,"R",1928,1907,98.9,1905,656,34.4,679,35.6,376,19.7,194,10.2,570,29.9,2502
"State of Connecticut",07,"F",13248,13045,98.5,13035,6962,53.4,3876,29.7,1654,12.7,543,4.2,2197,16.9,2471
"State of Connecticut",07,"N",25418,24882,97.9,24876,3943,15.9,7012,28.2,7124,28.6,6797,27.3,13921,56.0,2575
"State of Connecticut",07,"R",2063,2044,99.1,2043,721,35.3,730,35.7,400,19.6,192,9.4,592,29.0,2513
"State of Connecticut",08,"F",13047,12758,97.8,12753,7697,60.4,3110,24.4,1285,10.1,661,5.2,1946,15.3,2480
"State of Connecticut",08,"N",25114,24500,97.6,24485,5134,21.0,6050,24.7,5985,24.4,7316,29.9,13301,54.3,2590
"State of Connecticut",08,"R",1978,1942,98.2,1941,806,41.5,583,30.0,361,18.6,191,9.8,552,28.4,2526

