"Smarter Balanced Assessments, 2015-16"
"All Districts, Math, All Grades Combined, Free/Reduced Price Mea"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y",453,449,99.1,449,108,24.1,133,29.6,125,27.8,83,18.5,208,46.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",85,84,98.8,84,11,13.1,28,33.3,14,16.7,31,36.9,45,53.6
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Y",25,23,92.0,23,"*","*",8,34.8,7,30.4,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","N",134,133,99.3,133,"*","*","*","*",47,35.3,53,39.8,100,75.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Y",249,240,96.4,240,122,50.8,81,33.8,25,10.4,12,5.0,37,15.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","N",104,103,99.0,102,38,37.3,40,39.2,12,11.8,12,11.8,24,23.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Y",239,239,100.0,239,111,46.4,85,35.6,30,12.6,13,5.4,43,18.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","N",107,107,100.0,107,30,28.0,38,35.5,28,26.2,11,10.3,39,36.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Y",237,231,97.5,231,84,36.4,85,36.8,53,22.9,9,3.9,62,26.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","N",114,112,98.2,112,30,26.8,37,33.0,27,24.1,18,16.1,45,40.2
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Y",138,127,92.0,127,"*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","N",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Y",451,451,100.0,451,250,55.4,130,28.8,57,12.6,14,3.1,71,15.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","N",273,273,100.0,273,71,26.0,89,32.6,66,24.2,47,17.2,113,41.4
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Y",233,233,100.0,233,131,56.2,75,32.2,"*","*","*","*",27,11.6
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","N",180,178,98.9,178,61,34.3,61,34.3,"*","*","*","*",56,31.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Y",78,78,100.0,78,26,33.3,22,28.2,22,28.2,8,10.3,30,38.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""","N",153,153,100.0,153,22,14.4,48,31.4,51,33.3,32,20.9,83,54.2
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Y",27,27,100.0,27,9,33.3,"*","*",7,25.9,"*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","N",515,512,99.4,512,"*","*","*","*",121,23.6,297,58.0,418,81.6
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","N",228,228,100.0,228,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","N",203,201,99.0,201,"*","*","*","*","*","*","*","*","*","*"
