"Smarter Balanced Assessments, 2014-15"
"All Districts, Math, All Grades Combined, Gender"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",269,268,99.6,268,115,42.9,80,29.9,58,21.6,15,5.6,73,27.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","M",282,279,98.9,278,127,45.7,83,29.9,50,18.0,18,6.5,68,24.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",268,265,98.9,265,75,28.3,97,36.6,58,21.9,35,13.2,93,35.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","M",276,275,99.6,275,94,34.2,88,32.0,59,21.5,34,12.4,93,33.8
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","F",78,78,100.0,78,"*","*","*","*",21,26.9,32,41.0,53,67.9
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","M",89,87,97.8,87,"*","*","*","*",27,31.0,35,40.2,62,71.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","F",57,52,91.2,52,26,50.0,14,26.9,"*","*","*","*",12,23.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","M",55,51,92.7,51,22,43.1,11,21.6,"*","*","*","*",18,35.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","F",193,189,97.9,189,99,52.4,63,33.3,20,10.6,7,3.7,27,14.3
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","M",201,197,98.0,197,99,50.3,66,33.5,21,10.7,11,5.6,32,16.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","F",181,181,100.0,181,67,37.0,85,47.0,"*","*","*","*",29,16.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","M",180,180,100.0,180,80,44.4,61,33.9,"*","*","*","*",39,21.7
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","F",168,167,99.4,167,53,31.7,76,45.5,30,18.0,8,4.8,38,22.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","M",181,181,100.0,181,79,43.6,62,34.3,26,14.4,14,7.7,40,22.1
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","F",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","M",125,113,90.4,110,"*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","F",345,343,99.4,343,156,45.5,117,34.1,40,11.7,30,8.7,70,20.4
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","M",361,361,100.0,361,147,40.7,112,31.0,77,21.3,25,6.9,102,28.3
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","F",214,213,99.5,213,100,46.9,75,35.2,31,14.6,7,3.3,38,17.8
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","M",212,210,99.1,210,118,56.2,61,29.0,21,10.0,10,4.8,31,14.8
"Ashford School District","=""0030011""","Ashford School","=""0030111""","F",122,122,100.0,121,26,21.5,35,28.9,40,33.1,20,16.5,60,49.6
"Ashford School District","=""0030011""","Ashford School","=""0030111""","M",128,127,99.2,127,43,33.9,38,29.9,28,22.0,18,14.2,46,36.2
"Avon School District","=""0040011""","Avon High School","=""0046111""","F",114,106,93.0,106,13,12.3,24,22.6,35,33.0,34,32.1,69,65.1
"Avon School District","=""0040011""","Avon High School","=""0046111""","M",132,125,94.7,125,25,20.0,29,23.2,34,27.2,37,29.6,71,56.8
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","F",286,286,100.0,286,19,6.6,54,18.9,78,27.3,135,47.2,213,74.5
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","M",261,261,100.0,261,18,6.9,46,17.6,69,26.4,128,49.0,197,75.5
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","F",134,134,100.0,134,"*","*","*","*",51,38.1,47,35.1,98,73.1
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","M",122,122,100.0,122,"*","*","*","*",44,36.1,55,45.1,99,81.1
