"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"ELA","Y",79,79,100.0,79,25,31.6,18,22.8,21,26.6,15,19.0,36,45.6,2419
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,"Math","Y",79,78,98.7,78,13,16.7,22,28.2,32,41.0,11,14.1,43,55.1,2437
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"ELA","Y",80,80,100.0,80,26,32.5,17,21.3,24,30.0,13,16.3,37,46.3,2458
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,"Math","Y",80,80,100.0,80,11,13.8,32,40.0,29,36.3,8,10.0,37,46.3,2475
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"ELA","Y",146,146,100.0,146,61,41.8,30,20.5,46,31.5,9,6.2,55,37.7,2465
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Math","Y",146,146,100.0,146,85,58.2,46,31.5,"*","*","*","*",15,10.3,2436
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"ELA","Y",79,79,100.0,79,24,30.4,28,35.4,20,25.3,7,8.9,27,34.2,2492
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,"Math","Y",79,79,100.0,79,47,59.5,21,26.6,"*","*","*","*",11,13.9,2440
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"ELA","Y",77,74,96.1,74,22,29.7,20,27.0,25,33.8,7,9.5,32,43.2,2527
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,"Math","Y",77,74,96.1,74,35,47.3,22,29.7,10,13.5,7,9.5,17,23.0,2495
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"ELA","Y",59,59,100.0,58,"*","*",19,32.8,18,31.0,"*","*","*","*",2525
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"Math","Y",59,59,100.0,58,42,72.4,12,20.7,"*","*","*","*","*","*",2447
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"ELA","Y",31,31,100.0,31,"*","*","*","*",12,38.7,8,25.8,20,64.5,2622
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"Math","Y",31,31,100.0,31,9,29.0,"*","*",11,35.5,"*","*","*","*",2584
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"ELA","Y",82,81,98.8,81,"*","*","*","*","*","*","*","*","*","*",2430
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"ELA","N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Math","Y",82,81,98.8,81,"*","*","*","*","*","*","*","*","*","*",2431
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Math","N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"ELA","Y",65,65,100.0,65,"*","*","*","*","*","*","*","*","*","*",2470
